source	target	lib	tfidfMax	tfidfDistances
0181IbnMubarak.Jihad.JK000549-ara1	0181IbnMubarak.Jihad.ShamAY0033534-ara1	RELEASE	0.99979	[0.99979]
0181IbnMubarak.Jihad.JK000549-ara1	0181IbnMubarak.Jihad.Shia001880-ara1	RELEASE	0.98974	[0.98974]
0181IbnMubarak.Jihad.JK000549-ara1	33534.json	RAWrabicaShamAY2	0.98841	[0.98841]
0181IbnMubarak.Jihad.JK000549-ara1	0181IbnMubarak.Jihad.Shamela0003610-ara1	RELEASE	0.96275	[0.96275]
0181IbnMubarak.Jihad.JK000549-ara1	3610.json	RAWrabicaShamAY1	0.95605	[0.95605]
0181IbnMubarak.Jihad.JK000549-ara1	0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1	RELEASE	0.91734	[0.91734]
0181IbnMubarak.Jihad.JK000549-ara1	98.json	RAW_ABLibrary	0.91658	[0.91658]
0181IbnMubarak.Jihad.JK000549-ara1	0256Bukhari.AdabMufrad.Shia001922-ara1	RELEASE	0.91646	[0.91646]
0181IbnMubarak.Jihad.JK000549-ara1	12749.json	RAWrabicaShamAY2	0.9158	[0.9158]
0181IbnMubarak.Jihad.JK000549-ara1	0256Bukhari.AdabMufrad.JK000011-ara1	RELEASE	0.91484	[0.91484]
0181IbnMubarak.Jihad.JK000549-ara1	Shamela026425.txt	raw_ShamelaY19	0.91281	[0.91281]
0181IbnMubarak.Jihad.JK000549-ara1	0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1	RELEASE	0.91259	[0.91259]
0181IbnMubarak.Jihad.JK000549-ara1	0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2	RELEASE	0.9121	[0.9121]
0181IbnMubarak.Jihad.JK000549-ara1	78.json	RAWrabicaShamAY1	0.91207	[0.91207]
0181IbnMubarak.Jihad.JK000549-ara1	0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1	RELEASE	0.91182	[0.91182]
0181IbnMubarak.Jihad.JK000549-ara1	0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1	RELEASE	0.91159	[0.91159]
0181IbnMubarak.Jihad.JK000549-ara1	1405.json	RAWrabicaShamAY1	0.91129	[0.91129]
