unknown,TFIDF_cosine,libVar
Shamela149485.txt,1.0,raw_ShamelaY19
927.json,0.52181,RAW_ABLibrary
23785.json,0.45053,RAWrabicaShamAY2
32338.json,0.44184,RAWrabicaShamAY2
2452.html,0.43101,RAWrabicaRafed
2267.html,0.42949,RAWrabicaRafed
2309.html,0.42925,RAWrabicaRafed
361.html,0.42815,RAWrabicaRafed
2081.html,0.4263,RAWrabicaRafed
9300.json,0.42536,RAW_ABLibrary
1424IhsanCabbas.ShicrKhawarij.Shamela0001013-ara1,0.42504,RELEASE
1424IhsanCabbas.ShicrKhawarij.Shamela0001013-ara1,0.42356,RELEASE
9101.json,0.42262,RAW_ABLibrary
1056.json,0.42256,RAWrabicaShamAY1
365.html,0.42165,RAWrabicaRafed
9207.json,0.42148,RAW_ABLibrary
9301.json,0.42092,RAW_ABLibrary
2800.html,0.42071,RAWrabicaRafed
1013.json,0.42057,RAWrabicaShamAY1
2801.html,0.42033,RAWrabicaRafed
9080.json,0.42017,RAW_ABLibrary
0514.bok.json,0.4201,RAWrabicaSham19Y
0764Safadi.NusratThair.Shamela0000514-ara1,0.42,RELEASE
7401.json,0.41941,RAW_ABLibrary
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.41899,RELEASE
3792.html,0.41895,RAWrabicaRafed
2077.html,0.41888,RAWrabicaRafed
514.json,0.41862,RAWrabicaShamAY1
9986.bok.json,0.41858,RAWrabicaSham19Y
1184CisamDinCumari.RawdNadir.Sham19Y0013226-ara1,0.41853,RELEASE
450.automARkdown,0.41851,RAW_Ghbook
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.41797,RELEASE
004054Vols.automARkdown,0.41747,RAW_Masaha
0170KhalilFarahidi.Cayn.ShamIbadiyya0000225-ara1,0.41734,RELEASE
2347.html,0.41733,RAWrabicaRafed
1068.json,0.41717,RAWrabicaShamAY1
9986.json,0.4171,RAWrabicaShamAY1
29677.bok.json,0.41659,RAWrabicaSham19Y
31707.json,0.41638,RAWrabicaShamAY2
11296.bok.json,0.41621,RAWrabicaSham19Y
2003.html,0.4159,RAWrabicaRafed
3.json,0.41522,RAWrabicaShamAY1
2738.html,0.4152,RAWrabicaRafed
1031BahaDinCamili.Kashkul.JK009365-ara1,0.41508,RELEASE
11296.json,0.41504,RAWrabicaShamAY2
Sham30K0002807,0.41463,RAWrabica005000
7402.json,0.41368,RAW_ABLibrary
0758NajmDinTarsusi.TuhfatTurk.JK011044-ara1,0.41315,RELEASE
1366.html,0.41282,RAWrabicaRafed
12856.json,0.41271,RAWrabicaShamAY2
1527.json,0.41263,RAWrabicaShamAY1
1682.json,0.41258,RAWrabicaShamAY1
1571.json,0.41236,RAWrabicaShamAY1
23596.json,0.41194,RAWrabicaShamAY2
1044.json,0.41194,RAWrabicaShamAY1
0710IbnAydamurMustacsimi.DurrFarid.Sham19Y0020762-ara1,0.41163,RELEASE
10551.json,0.41121,RAWrabicaShamAY1
1093CabdQadirBaghdadi.KhizanatAdab.Shia004649Vols-ara1,0.41092,RELEASE
0380Khalidiyyan.AshbahWaNazair.Shamela0010806-ara1,0.41036,RELEASE
0840IbnWazirYamani.CawasimWaQawasim.Shamela0029677-ara1,0.41022,RELEASE
1998.html,0.41012,RAWrabicaRafed
7830.json,0.40982,RAWrabicaShamAY1
0429AbuMansurThacalibi.KhassKhass.Shamela0007830-ara1,0.4097,RELEASE
2896.html,0.40965,RAWrabicaRafed
3296.html,0.40937,RAWrabicaRafed
0429AbuMansurThacalibi.KhassKhass.JK009322-ara1,0.40883,RELEASE
