unknown,TFIDF_cosine,libVar
33605.json,0.99205,RAWrabicaShamAY2
0150IbnJurayj.Juz.ShamAY0033605-ara1,0.99094,RELEASE
0333IbnMarwanDinawari.MujalasaWaJawahirCilm.Shamela0009948-ara1,0.78473,RELEASE
9948.json,0.78169,RAWrabicaShamAY1
9948.bok.json,0.7792,RAWrabicaSham19Y
0333IbnMarwanDinawari.MujalasaWaJawahirCilm.ShamAY0033954-ara1,0.77802,RELEASE
0333IbnMarwanDinawari.MujalasaWaJawahirCilm.JK007082-ara1,0.77794,RELEASE
33954.json,0.77655,RAWrabicaShamAY2
0272IbnIshaqFakihi.HadithFakihi.JK011497-ara1,0.77486,RELEASE
0340IbnAcrabiBasri.Mucjam.JK011633-ara1,0.77326,RELEASE
915.json,0.77212,RAWrabicaShamAY1
Shamela021494.txt,0.7707,raw_ShamelaY19
0340IbnAcrabiBasri.Mucjam.Shamela0021494-ara1,0.76911,RELEASE
8215.json,0.76741,RAWrabicaShamAY1
0370IbnQasimKhayyat.Hadith.Shamela0029725-ara1,0.76516,RELEASE
Sham30K0008215,0.7635,RAWrabica010000
29725.json,0.76291,RAWrabicaShamAY2
0307IbnHarunRuyani.Musnad.Shamela0013161-ara1,0.7624,RELEASE
0275AbuDawudSijistani.Zuhd.Shamela0008215-ara1,0.7624,RELEASE
Shamela029725.txt,0.76117,raw_ShamelaY19
13161.json,0.76087,RAWrabicaShamAY2
0275AbuDawudSijistani.Zuhd.JK011358-ara1,0.7605,RELEASE
0350AbuBakrAzdiQadiMawsili.Hadith.ShamAY0032815-ara1,0.75792,RELEASE
Shamela030384.txt,0.75659,raw_ShamelaY19
0327AbuBakrKharaiti.MuntaqaMinMakarim.JK001171-ara1,0.75616,RELEASE
0327AbuBakrKharaiti.MuntaqaMinMakarim.Shamela0011930-ara1,0.75611,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.ShamAY0032846-ara1,0.75582,RELEASE
0322AbuBakrZubayri.Fawaid.Shamela0030384-ara1,0.7553,RELEASE
11930.json,0.75468,RAWrabicaShamAY2
30384.json,0.75465,RAWrabicaShamAY2
32815.json,0.7546,RAWrabicaShamAY2
32846.json,0.75407,RAWrabicaShamAY2
34449.json,0.75394,RAWrabicaShamAY3
2170.json,0.75382,RAWrabicaShamAY1
