unknown,TFIDF_cosine,libVar
0181IbnMubarak.Jihad.ShamAY0033534-ara1,0.99979,RELEASE
0181IbnMubarak.Jihad.Shia001880-ara1,0.98974,RELEASE
33534.json,0.98841,RAWrabicaShamAY2
0181IbnMubarak.Jihad.Shamela0003610-ara1,0.96275,RELEASE
3610.json,0.95605,RAWrabicaShamAY1
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.91734,RELEASE
98.json,0.91658,RAW_ABLibrary
0256Bukhari.AdabMufrad.Shia001922-ara1,0.91646,RELEASE
12749.json,0.9158,RAWrabicaShamAY2
0256Bukhari.AdabMufrad.JK000011-ara1,0.91484,RELEASE
Shamela026425.txt,0.91281,raw_ShamelaY19
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.91259,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.9121,RELEASE
78.json,0.91207,RAWrabicaShamAY1
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.91182,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.91159,RELEASE
1405.json,0.91129,RAWrabicaShamAY1
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.91048,RELEASE
38163.json,0.91027,RAWrabicaShamAY3
Shia001922,0.9095,RAWrabica040000
32959.json,0.90906,RAWrabicaShamAY2
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.90877,RELEASE
38131.json,0.90843,RAWrabicaShamAY3
33935.json,0.90798,RAWrabicaShamAY2
0327AbuBakrKharaiti.IctilalQulub.Shamela0001304-ara1,0.9077,RELEASE
1304.json,0.90709,RAWrabicaShamAY1
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.90702,RELEASE
Shamela151099.txt,0.90681,raw_ShamelaY19
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.90487,RELEASE
32750.json,0.90482,RAWrabicaShamAY2
33661.json,0.9039,RAWrabicaShamAY2
0181IbnMubarak.Jihad.ShamAY0033661-ara1,0.90353,RELEASE
8210.json,0.90232,RAWrabicaShamAY1
0395IbnMandahMuhammad.Tawhid.Shamela0008210-ara1,0.9022,RELEASE
0287IbnAbiCasim.Jihad.Shamela0013013-ara1,0.90183,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.90172,RELEASE
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.90129,RELEASE
13009.json,0.90121,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.90114,RELEASE
38057.json,0.90099,RAWrabicaShamAY3
0281IbnAbiDunya.TawaducWaKhumul.Shia001936-ara1,0.9009,RELEASE
8266.json,0.9008,RAWrabicaShamAY1
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.90074,RELEASE
Sham30K0008266,0.90043,RAWrabica010000
13075.json,0.90042,RAWrabicaShamAY2
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.90038,RELEASE
13013.json,0.90028,RAWrabicaShamAY2
0261Muslim.Sahih.JK000109-ara1,0.90015,RELEASE
33939.json,0.90015,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.90008,RELEASE
0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1,0.89986,RELEASE
13039.json,0.89975,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.89966,RELEASE
38104.json,0.89941,RAWrabicaShamAY3
38093.json,0.89938,RAWrabicaShamAY3
0273IbnMaja.Sunan.Shamela0001198-ara1,0.89903,RELEASE
13115.json,0.89833,RAWrabicaShamAY2
38157.json,0.89824,RAWrabicaShamAY3
12991.bok.json,0.89769,RAWrabicaSham19Y
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.89761,RELEASE
12991.json,0.89718,RAWrabicaShamAY2
33672.json,0.89704,RAWrabicaShamAY2
13175.bok.json,0.89697,RAWrabicaSham19Y
931.json,0.89695,RAW_ABLibrary
13115.bok.json,0.89674,RAWrabicaSham19Y
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.89659,RELEASE
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.89637,RELEASE
0427JuriNaysaburi.QawaricQuran.ShamAY0033672-ara1,0.89634,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.8963,RELEASE
0458Bayhaqi.DalailNubuwwa.Shamela0013115-ara1,0.8963,RELEASE
13175.json,0.89592,RAWrabicaShamAY2
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.89576,RELEASE
12748.json,0.89576,RAWrabicaShamAY2
0301AbuBakrFaryabi.Qadar.Shamela0013051-ara1,0.89574,RELEASE
0281IbnAbiDunya.HusnZannBiLlah.Shamela0013113-ara1,0.89573,RELEASE
Sham30K0002681,0.89554,RAWrabica005000
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.89553,RELEASE
0281IbnAbiDunya.IslahMal.Shamela0013187-ara1,0.89551,RELEASE
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.89551,RELEASE
32765.json,0.89548,RAWrabicaShamAY2
13051.json,0.89544,RAWrabicaShamAY2
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.89517,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1,0.89516,RELEASE
Sham30K0008210,0.89509,RAWrabica010000
1198.json,0.89497,RAWrabicaShamAY1
13035.json,0.89491,RAWrabicaShamAY2
13187.json,0.89489,RAWrabicaShamAY2
1198.bok.json,0.89473,RAWrabicaSham19Y
1719.json,0.89454,RAWrabicaShamAY1
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.8945,RELEASE
0281IbnAbiDunya.HusnZannBiLlah.Shia001940-ara1,0.89447,RELEASE
Sham30K0033993,0.89439,RAWrabica020000
0327AbuBakrKharaiti.FadilatShukr.JK000048-ara1,0.89425,RELEASE
9306.json,0.89388,RAWrabicaShamAY1
13140.json,0.89382,RAWrabicaShamAY2
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.89361,RELEASE
0281IbnAbiDunya.Warac.JK000019-ara1,0.89324,RELEASE
13140.bok.json,0.89309,RAWrabicaSham19Y
0281IbnAbiDunya.Ikhwan.Shamela0012990-ara1,0.89294,RELEASE
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.89273,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.89244,RELEASE
0281IbnAbiDunya.Juc.ShamAY0038165-ara1,0.89241,RELEASE
0281IbnAbiDunya.Ikhwan.JK000012-ara1,0.89193,RELEASE
33938.json,0.89188,RAWrabicaShamAY2
38092.json,0.89179,RAWrabicaShamAY3
13041.bok.json,0.89157,RAWrabicaSham19Y
13099.json,0.89138,RAWrabicaShamAY2
0322AbuJacfarCuqayli.DucafaKabir.Shamela0013041-ara1,0.89131,RELEASE
38085.json,0.8913,RAWrabicaShamAY3
13041.json,0.89126,RAWrabicaShamAY2
1401.json,0.89124,RAWrabicaShamAY1
0261Muslim.Sahih.ShamAY0033938-ara1,0.89123,RELEASE
38165.json,0.89119,RAWrabicaShamAY3
0535QadiMaristan.Mashyakha.Shamela0026542-ara1,0.89117,RELEASE
0261Muslim.Sahih.Shia001723Vols-ara1,0.89109,RELEASE
26542.json,0.89104,RAWrabicaShamAY2
0281IbnAbiDunya.HusnZannBiLlah.ShamAY0038085-ara1,0.89101,RELEASE
12990.json,0.89089,RAWrabicaShamAY2
21670.bok.json,0.89079,RAWrabicaSham19Y
0261Muslim.Sahih.Shamela0001727-ara1,0.89074,RELEASE
21670.json,0.89046,RAWrabicaShamAY2
32800.json,0.89039,RAWrabicaShamAY2
Shamela021670.txt,0.89036,raw_ShamelaY19
Sham30K0038957,0.89031,RAWrabica025000
0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1,0.8903,RELEASE
0281IbnAbiDunya.AmrBiMacruf.Shamela0008207-ara1,0.89012,RELEASE
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.89009,RELEASE
33576.json,0.8899,RAWrabicaShamAY2
0301AbuBakrFaryabi.Qadar.Shamela0011333-ara1,0.88989,RELEASE
33976.json,0.88985,RAWrabicaShamAY2
13078.json,0.88983,RAWrabicaShamAY2
0327AbuBakrKharaiti.IctilalQulub.JK011273-ara1,0.8898,RELEASE
0368IbnJacfarQatici.Fawaid.Shamela0013099-ara1,0.88978,RELEASE
0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1,0.88976,RELEASE
0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1,0.88964,RELEASE
0281IbnAbiDunya.Warac.ShamAY0038098-ara1,0.88958,RELEASE
4003.json,0.88957,RAWrabicaShamAY1
4003.bok.json,0.88928,RAWrabicaSham19Y
38098.json,0.88919,RAWrabicaShamAY3
0322AbuJacfarCuqayli.DucafaKabir.ShamAY0034141-ara1,0.88915,RELEASE
13078.bok.json,0.88902,RAWrabicaSham19Y
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.88899,RELEASE
0424AbuTalibYahyaHaruni.Amali.Zaydiyya0000229-ara1,0.88895,RELEASE
34141.json,0.88891,RAWrabicaShamAY2
0277IbnSufyanFasawi.Mashyakha.ShamAY0038035-ara1,0.88882,RELEASE
13091.json,0.8887,RAWrabicaShamAY2
Shamela149015.txt,0.88857,raw_ShamelaY19
Shamela026542.txt,0.88852,raw_ShamelaY19
38175.json,0.88848,RAWrabicaShamAY3
0281IbnAbiDunya.Ciyal.JK000866-ara1,0.88845,RELEASE
0277IbnSufyanFasawi.Mashyakha.Shamela0021670-ara1,0.88826,RELEASE
0281IbnAbiDunya.MudaratNas.JK001144-ara1,0.88825,RELEASE
0281IbnAbiDunya.IstinacMacruf.Shamela0006022-ara1,0.88821,RELEASE
38091.json,0.88808,RAWrabicaShamAY3
13152.json,0.88805,RAWrabicaShamAY2
0360AbuBakrAjurri.Sharica.Shamela0013035-ara1,0.88772,RELEASE
38129.json,0.88762,RAWrabicaShamAY3
13035.bok.json,0.88757,RAWrabicaSham19Y
9383.json,0.88742,RAWrabicaShamAY1
0322AbuJacfarCuqayli.DucafaKabir.Shia003078Vols-ara1,0.88721,RELEASE
1406.json,0.88712,RAWrabicaShamAY1
0343IbnSulaymanAtrabulusi.Hadith.Shamela0013182-ara1,0.887,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.JK000524-ara1,0.887,RELEASE
0398IbnCaliHamadhani.Hadith.Shamela0021685-ara1,0.88689,RELEASE
38103.json,0.88675,RAWrabicaShamAY3
937.json,0.88669,RAW_ABLibrary
38035.json,0.88642,RAWrabicaShamAY3
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.88638,RELEASE
13182.json,0.88626,RAWrabicaShamAY2
Sham30K0008207,0.886,RAWrabica010000
0375IbnQasimMiyaniji.Juz.Shamela0029728-ara1,0.88598,RELEASE
0432Mustaghfiri.DalailNubuwwa.ShamAY0034438-ara1,0.88591,RELEASE
0281IbnAbiDunya.MaradWaKaffarat.ShamAY0038113-ara1,0.88581,RELEASE
0281IbnAbiDunya.MudaratNas.ShamAY0038129-ara1,0.88576,RELEASE
38159.json,0.8855,RAWrabicaShamAY3
002296Vols.automARkdown,0.88543,RAW_Masaha
0246HusaynMarwazi.BirrWaSila.Shamela0013007-ara1,0.88535,RELEASE
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.88532,RELEASE
21685.json,0.88528,RAWrabicaShamAY2
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1,0.88521,RELEASE
38113.json,0.88509,RAWrabicaShamAY3
0282IbnIshaqJahdami.AhkamQuran.Shamela0006206-ara1,0.88503,RELEASE
34438.json,0.88492,RAWrabicaShamAY3
31641.json,0.88479,RAWrabicaShamAY2
6206.json,0.88452,RAWrabicaShamAY1
