unknown,TFIDF_cosine,libVar
34334.json,0.99887,RAWrabicaShamAY3
0182AbuYusufYacqub.Kharaj.Shamela0026333-ara1,0.99501,RELEASE
Shamela026333.txt,0.99477,raw_ShamelaY19
26333.json,0.99305,RAWrabicaShamAY2
34409.json,0.85768,RAWrabicaShamAY3
Shamela021747.txt,0.85531,raw_ShamelaY19
21747.json,0.8547,RAWrabicaShamAY2
1450Maghrawi.MawsucatMawaqifSalaf.Shamela0037325-ara1,0.85258,RELEASE
Shamela037325.txt,0.85235,raw_ShamelaY19
0584IbnMunqidhShayzari.LubabAdab.Shamela0010496-ara1,0.85039,RELEASE
Shamela096617.txt,0.84974,raw_ShamelaY19
0584IbnMunqidhShayzari.LubabAdab.JK010729-ara1,0.84915,RELEASE
10496.json,0.84864,RAWrabicaShamAY1
11496.bok.json,0.84671,RAWrabicaSham19Y
Shamela025800.txt,0.84597,raw_ShamelaY19
11496.json,0.84541,RAWrabicaShamAY2
6856.json,0.84512,RAWrabicaShamAY1
6276.json,0.84488,RAWrabicaShamAY1
0276IbnQutaybaDinawari.TawilMukhtalafHadith.Shia001931-ara1,0.84446,RELEASE
35248.json,0.84441,RAWrabicaShamAY3
34411.json,0.84357,RAWrabicaShamAY3
96918.bok.json,0.84346,RAWrabicaSham19Y
2038.json,0.84314,RAWrabicaShamAY1
002349.automARkdown,0.84288,RAW_Masaha
Shamela096918.txt,0.84276,raw_ShamelaY19
0395AbuHilalCaskari.Awail.JK010370-ara1,0.84211,RELEASE
0395AbuHilalCaskari.Awail.Shamela0010529-ara1,0.84162,RELEASE
12999.json,0.84156,RAWrabicaShamAY2
0224QasimIbnSalam.Amwal.Shamela0012999-ara1,0.84149,RELEASE
0320IbnMuhammadBayhaqi.Mahasin.Shamela0000564-ara1,0.84088,RELEASE
0320IbnMuhammadBayhaqi.Mahasin.JK009291-ara1,0.84079,RELEASE
Shamela020855.txt,0.8401,raw_ShamelaY19
10529.json,0.83968,RAWrabicaShamAY1
3897.html,0.83954,RAWrabicaRafed
Shamela021502.txt,0.8394,raw_ShamelaY19
34007.json,0.83936,RAWrabicaShamAY2
564.json,0.83934,RAWrabicaShamAY1
21502.json,0.83887,RAWrabicaShamAY2
0276IbnQutaybaDinawari.TawilMukhtalafHadith.JK000561-ara1,0.83863,RELEASE
0224QasimIbnSalam.Amwal.ShamAY0034007-ara1,0.83801,RELEASE
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.83799,RELEASE
0276IbnQutaybaDinawari.TawilMukhtalafHadith.Shamela0007292-ara1,0.83798,RELEASE
8746.json,0.83677,RAW_ABLibrary
Shamela021536.txt,0.83646,raw_ShamelaY19
0483IbnAhmadSarakhsi.SharhSiyarKabir.Shamela0005434-ara1,0.8361,RELEASE
32483.json,0.83575,RAWrabicaShamAY2
0483IbnAhmadSarakhsi.SharhSiyarKabir.Shia003154Vols-ara1,0.83561,RELEASE
495.json,0.83539,RAWrabicaShamAY1
21536.json,0.83533,RAWrabicaShamAY2
5434.json,0.83514,RAWrabicaShamAY1
10463.json,0.83483,RAWrabicaShamAY1
1661.html,0.83417,RAWrabicaRafed
33729.json,0.83404,RAWrabicaShamAY2
7292.json,0.83368,RAWrabicaShamAY1
0562IbnHamdun.TadhkiraHamduniyya.JK009325-ara1,0.83241,RELEASE
32092.json,0.83239,RAWrabicaShamAY2
0562IbnHamdun.TadhkiraHamduniyya.Shamela0010646-ara1,0.83194,RELEASE
456.json,0.83183,RAWrabicaShamAY1
1671.html,0.83147,RAWrabicaRafed
0483IbnAhmadSarakhsi.SharhSiyarKabir.JK009218-ara1,0.83144,RELEASE
37807.json,0.83141,RAWrabicaShamAY3
32109.json,0.83124,RAWrabicaShamAY2
34809.json,0.83109,RAWrabicaShamAY3
8376.json,0.83098,RAW_ABLibrary
7908.json,0.83089,RAW_ABLibrary
0380AbuBakrKalabadhi.BahrFawaid.JK009190-ara1,0.83079,RELEASE
8444.json,0.83076,RAW_ABLibrary
Shamela030897.txt,0.83056,raw_ShamelaY19
0560WazirIbnHubayraShaybani.Ifsah.Sham19Y0013572-ara1,0.82986,RELEASE
33051.json,0.82968,RAWrabicaShamAY2
Shamela035453.txt,0.82966,raw_ShamelaY19
4268.json,0.82944,RAWrabicaShamAY1
003368Vols.automARkdown,0.82941,RAW_Masaha
10664.bok.json,0.82916,RAWrabicaSham19Y
34441.json,0.82898,RAWrabicaShamAY3
33760.json,0.82888,RAWrabicaShamAY2
2034.json,0.82879,RAWrabicaShamAY1
0388AbuSulaymanKhattabi.GhunyaCanKalam.ShamAY0033606-ara1,0.82839,RELEASE
0373AbuLaythSamarqandi.TanbihGhafilin.Shamela0010488-ara1,0.82828,RELEASE
Shamela025791.txt,0.82824,raw_ShamelaY19
34348.json,0.82823,RAWrabicaShamAY3
7241.bok.json,0.82803,RAWrabicaSham19Y
25791.json,0.82793,RAWrabicaShamAY2
Sham30K0038992,0.82789,RAWrabica025000
31846.json,0.82758,RAWrabicaShamAY2
31575.json,0.82733,RAWrabicaShamAY2
0204Shafici.Risala.ShamAY0034203-ara1,0.82727,RELEASE
1404.json,0.82714,RAWrabicaShamAY1
10488.json,0.82651,RAWrabicaShamAY1
7241.json,0.82635,RAWrabicaShamAY1
33556.json,0.82623,RAWrabicaShamAY2
Sham30K0038946,0.82609,RAWrabica025000
35976.json,0.82598,RAWrabicaShamAY3
7597.bok.json,0.82582,RAWrabicaSham19Y
004050Vols.automARkdown,0.82563,RAW_Masaha
7597.json,0.82561,RAWrabicaShamAY1
Sham30K0033813,0.82546,RAWrabica020000
000609Vols.automARkdown,0.82532,RAW_Masaha
34410.json,0.82521,RAWrabicaShamAY3
0320HakimTirmidhi.NawadirUsul.ShamAY0034123-ara1,0.82492,RELEASE
33260.json,0.82454,RAWrabicaShamAY2
34063.json,0.8245,RAWrabicaShamAY2
7506.json,0.82414,RAWrabicaShamAY1
7506.bok.json,0.82406,RAWrabicaSham19Y
0204Shafici.Risala.JK000143-ara1,0.82396,RELEASE
3703.html,0.82389,RAWrabicaRafed
Sham30K0044081,0.82383,RAWrabica030000
001840.automARkdown,0.82371,RAW_Masaha
3408.html,0.82366,RAWrabicaRafed
Shamela023604.txt,0.82324,raw_ShamelaY19
Shamela096926.txt,0.82315,raw_ShamelaY19
0224QasimIbnSalam.Amwal.JK006800-ara1,0.82311,RELEASE
34432.json,0.82298,RAWrabicaShamAY3
0380AbuBakrKalabadhi.BahrFawaid.Shamela0013084-ara1,0.82278,RELEASE
Shamela148870.txt,0.82276,raw_ShamelaY19
3912.html,0.82262,RAWrabicaRafed
7779.json,0.82257,RAW_ABLibrary
34203.json,0.8225,RAWrabicaShamAY3
35103.json,0.82221,RAWrabicaShamAY3
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.82221,RELEASE
34123.json,0.82217,RAWrabicaShamAY2
