unknown,TFIDF_cosine,libVar
37814.json,0.99761,RAWrabicaShamAY3
0200AbuShis.Diwan.ShamAY0037814-ara1,0.99291,RELEASE
0198AbuNuwasShacir.Diwan.ShamAY0037852-ara1,0.54295,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.54261,RELEASE
37852.json,0.53952,RAWrabicaShamAY3
37831.json,0.53302,RAWrabicaShamAY3
0296IbnMuctazz.Diwan.ShamAY0037841-ara1,0.533,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.53249,RELEASE
37841.json,0.52998,RAWrabicaShamAY3
0362SariRaffa.Diwan.ShamAY0037885-ara1,0.52349,RELEASE
0527IbnHamdis.Diwan.JK007576-ara1,0.52053,RELEASE
0527IbnHamdis.Diwan.ShamAY0037952-ara1,0.52052,RELEASE
0362SariRaffa.Diwan.JK007606-ara1,0.52008,RELEASE
0449AbuCalaMacarri.Diwan.JK007580-ara1,0.51768,RELEASE
37834.json,0.51679,RAWrabicaShamAY3
37952.json,0.51648,RAWrabicaShamAY3
37885.json,0.51543,RAWrabicaShamAY3
37857.json,0.51535,RAWrabicaShamAY3
0360KushajimShacir.Diwan.ShamAY0037962-ara1,0.51514,RELEASE
0360KushajimShacir.Diwan.JK007626-ara1,0.51513,RELEASE
37880.json,0.51358,RAWrabicaShamAY3
0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1,0.51288,RELEASE
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1,0.51265,RELEASE
37962.json,0.51217,RAWrabicaShamAY3
37878.json,0.51196,RAWrabicaShamAY3
0584IbnMunqidhShayzari.Diwan.ShamAY0037915-ara1,0.51101,RELEASE
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.51053,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.ShamAY0037949-ara1,0.5092,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.50878,RELEASE
0231AbuTamam.Diwan.ShamAY0037821-ara1,0.50833,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.50816,RELEASE
37951.json,0.50809,RAWrabicaShamAY3
37915.json,0.50793,RAWrabicaShamAY3
37930.json,0.50765,RAWrabicaShamAY3
37889.json,0.50544,RAWrabicaShamAY3
0548IbnQaysaraniShacir.Diwan.JK007591-ara1,0.50429,RELEASE
0548IbnQaysaraniShacir.Diwan.ShamAY0037840-ara1,0.50423,RELEASE
37949.json,0.504,RAWrabicaShamAY3
37821.json,0.50338,RAWrabicaShamAY3
0328IbnCabdRabbihi.Diwan.ShamAY0037874-ara1,0.50236,RELEASE
37942.json,0.50191,RAWrabicaShamAY3
0328IbnCabdRabbihi.Diwan.JK007571-ara1,0.50186,RELEASE
0357AbuFirasHamdani.Diwan.JK007584-ara1,0.5016,RELEASE
0357AbuFirasHamdani.Diwan.ShamAY0037823-ara1,0.50007,RELEASE
37840.json,0.49998,RAWrabicaShamAY3
37874.json,0.49918,RAWrabicaShamAY3
37823.json,0.49789,RAWrabicaShamAY3
37955.json,0.49615,RAWrabicaShamAY3
0385WaWaDimashqi.Diwan.JK007611-ara1,0.49578,RELEASE
0385WaWaDimashqi.Diwan.ShamAY0037832-ara1,0.49558,RELEASE
0436SharifMurtada.Diwan.ShamAY0037891-ara1,0.49513,RELEASE
37901.json,0.49395,RAWrabicaShamAY3
37832.json,0.49353,RAWrabicaShamAY3
0436AbuFadlMikali.Diwan.JK007581-ara1,0.49323,RELEASE
37923.json,0.49309,RAWrabicaShamAY3
0173SayyidHimyari.Diwan.ShamAY0037888-ara1,0.49174,RELEASE
37817.json,0.49077,RAWrabicaShamAY3
