unknown,TFIDF_cosine,libVar
28172.bok.json,1.0,RAWrabicaSham19Y
28172.json,1.0,RAWrabicaShamAY2
0204IbnKalbi.NasabMacad.JK010486-ara1,0.99999,RELEASE
Sham30K0034006,0.9999,RAWrabica020000
Shamela028172.txt,0.9999,raw_ShamelaY19
0204IbnKalbi.JamharatAnsab.JK010504-ara1,0.93313,RELEASE
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.93311,RELEASE
0504.bok.json,0.93274,RAWrabicaSham19Y
504.json,0.93252,RAWrabicaShamAY1
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.93176,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.ShamAY0034615-ara1,0.92292,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.JK000516-ara2,0.92284,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.JK010487-ara1,0.92261,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.92257,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.92223,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shamela0008682-ara1,0.9221,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.92161,RELEASE
487.json,0.92059,RAWrabicaShamAY1
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.91997,RELEASE
34615.json,0.91785,RAWrabicaShamAY3
Shia003056,0.89534,RAWrabica045000
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.89036,RELEASE
0418WazirMaghribi.Inas.JK010492-ara1,0.89035,RELEASE
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.88827,RELEASE
492.json,0.88812,RAWrabicaShamAY1
0234AbuHasanSacdi.TasmiyatManRuwiya.JK000504-ara1,0.88239,RELEASE
0234AbuHasanSacdi.TasmiyatManRuwiya.Shamela0005893-ara1,0.88228,RELEASE
0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1,0.88199,RELEASE
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.88149,RELEASE
0456IbnHazm.JamharatAnsab.JK009221-ara1,0.88147,RELEASE
0584IbnMusaHazimi.CujalatMubtadi.Shamela0096966-ara1,0.88082,RELEASE
2922.json,0.88048,RAWrabicaShamAY1
0584IbnMusaHazimi.CujalatMubtadi.JK010497-ara1,0.88044,RELEASE
96966.bok.json,0.87972,RAWrabicaSham19Y
001960.automARkdown,0.87944,RAW_Masaha
0456IbnHazm.JamharatAnsab.Shamela0009793-ara1,0.87944,RELEASE
002330.automARkdown,0.87929,RAW_Masaha
5893.json,0.87919,RAWrabicaShamAY1
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.87906,RELEASE
