unknown,TFIDF_cosine,libVar
2075.json,0.9985,RAWrabicaShamAY1
0204Shafici.Musnad.Shamela0009344-ara1,0.99843,RELEASE
0204Shafici.Musnad.JK000494-ara1,0.97526,RELEASE
9615.json,0.96883,RAWrabicaShamAY1
0204Shafici.Musnad.Shamela0009615-ara1,0.96863,RELEASE
0204Shafici.Musnad.Shamela0021495-ara1,0.94169,RELEASE
Shamela021495.txt,0.94079,raw_ShamelaY19
21495.json,0.94059,RAWrabicaShamAY2
0264IbnYahyaMuzani.SunanMathura.Shamela0013033-ara1,0.92409,RELEASE
13033.json,0.92354,RAWrabicaShamAY2
0303Nasai.SunanSughra.Shamela0000829-ara1,0.91309,RELEASE
0303Nasai.SunanSughra.ShamAY0033998-ara1,0.91289,RELEASE
33998.json,0.91266,RAWrabicaShamAY2
843.json,0.91034,RAW_ABLibrary
0303Nasai.SunanSughra.Shia001740Vols-ara1,0.90947,RELEASE
33910.json,0.90732,RAWrabicaShamAY2
0303Nasai.SunanKubra.Shamela0008361-ara1,0.90711,RELEASE
1240.json,0.90568,RAWrabicaShamAY1
0168IbnTahman.Mashyakha.Shamela0024831-ara1,0.90295,RELEASE
38039.json,0.90084,RAWrabicaShamAY3
0168IbnTahman.Mashyakha.JK000625-ara1,0.90051,RELEASE
0303Nasai.SunanKubra.ShamAY0033997-ara1,0.89892,RELEASE
829.json,0.89889,RAWrabicaShamAY1
0317AbuQasimBaghawi.HadithMuscab.Shamela0005733-ara1,0.89822,RELEASE
0317AbuQasimBaghawi.HadithMuscab.JK007048-ara1,0.89813,RELEASE
33999.json,0.89735,RAWrabicaShamAY2
Shamela024831.txt,0.89686,raw_ShamelaY19
0275AbuDawudSijistani.Marasil.ShamAY0033999-ara1,0.89651,RELEASE
0303Nasai.SunanSughra.JK000130-ara1,0.8959,RELEASE
0463IbnCabdBarr.TaqassiHadithFiMuwatta.Sham19Y0014462-ara1,0.89583,RELEASE
5733.json,0.89423,RAWrabicaShamAY1
24831.json,0.89245,RAWrabicaShamAY2
13026.json,0.89061,RAWrabicaShamAY2
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.88871,RELEASE
6601.bok.json,0.88853,RAWrabicaSham19Y
6601.json,0.88811,RAWrabicaShamAY1
0303Nasai.FadailSahaba.Shia001748-ara1,0.88802,RELEASE
0255CabdAllahDarimi.Sunan.Shia001713Vols-ara2,0.88776,RELEASE
0287IbnAbiCasim.Zuhd.JK000503-ara1,0.88763,RELEASE
33961.json,0.88733,RAWrabicaShamAY2
33762.json,0.88697,RAWrabicaShamAY2
0303Nasai.CamalYawmWaLayla.Shamela0006772-ara1,0.88694,RELEASE
1423.bok.json,0.88676,RAWrabicaSham19Y
0287IbnAbiCasim.Zuhd.Shamela0013026-ara1,0.88624,RELEASE
0303Nasai.FadailSahaba.JK000747-ara1,0.88618,RELEASE
0303Nasai.FadailSahaba.Shamela0006601-ara1,0.88618,RELEASE
0238IbnRahawayh.Musnad.Shamela0001423-ara1,0.88613,RELEASE
0255CabdAllahDarimi.Sunan.ShamAY0033961-ara2,0.886,RELEASE
1423.json,0.88596,RAWrabicaShamAY1
6772.json,0.88544,RAWrabicaShamAY1
13159.json,0.88536,RAWrabicaShamAY2
0303Nasai.CishratNisa.ShamAY0035249-ara1,0.88517,RELEASE
0238IbnRahawayh.Musnad.Shamela0013159-ara1,0.88514,RELEASE
13170.json,0.88394,RAWrabicaShamAY2
13159.bok.json,0.88388,RAWrabicaSham19Y
0238IbnRahawayh.Musnad.JK000479-ara1,0.88357,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0013170-ara1,0.88331,RELEASE
0150AbuHanifa.Musnad.Shamela0029120-ara1,0.88325,RELEASE
0197IbnWahbQurashi.MuwattaIbnWahb.Shamela0012534-ara1,0.88309,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0010631-ara2,0.88306,RELEASE
29120.json,0.88236,RAWrabicaShamAY2
12534.json,0.8823,RAWrabicaShamAY2
6227.json,0.88105,RAWrabicaShamAY1
Shamela029120.txt,0.88066,raw_ShamelaY19
0249CabdIbnHamid.MuntakhabMinMusnad.ShamAY0033973-ara1,0.88027,RELEASE
842.json,0.8776,RAW_ABLibrary
0311IbnBajirBajiri.FadailQuran.ShamAY0033630-ara1,0.87521,RELEASE
0303Nasai.Jumca.Shamela0021577-ara1,0.87503,RELEASE
33971.json,0.87403,RAWrabicaShamAY2
0249CabdIbnHamid.MuntakhabMinMusnad.JK000486-ara1,0.87389,RELEASE
Shamela146127.txt,0.87357,raw_ShamelaY19
0581IbnKharratIshbili.AhkamWusta.Sham19Y0017903-ara1,0.87353,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shia001920-ara1,0.87287,RELEASE
Shamela021577.txt,0.87231,raw_ShamelaY19
0255CabdAllahDarimi.Sunan.JK000842-ara1,0.87207,RELEASE
0197IbnWahbQurashi.Musnad.ShamAY0033592-ara1,0.87134,RELEASE
0245LuwaynMissisi.JuzHadith.Shamela0001459-ara1,0.87133,RELEASE
33592.json,0.87094,RAWrabicaShamAY2
33630.json,0.87071,RAWrabicaShamAY2
0146MajacaIbnZubayr.MinHadith.Shamela0026745-ara1,0.8695,RELEASE
Sham30K0014275,0.86887,RAWrabica015000
0238IbnRahawayh.Musnad.Shia001913Vols-ara1,0.86833,RELEASE
1359.json,0.86546,RAWrabicaShamAY1
Shamela036114.txt,0.86397,raw_ShamelaY19
0303Nasai.Ighrab.Shamela0026871-ara1,0.86314,RELEASE
Shamela026745.txt,0.86255,raw_ShamelaY19
0303Nasai.Ighrab.ShamAY0001371-ara1,0.86214,RELEASE
0303Nasai.SunanKubra.Shia001964Vols-ara1,0.86173,RELEASE
21577.json,0.86037,RAWrabicaShamAY2
0303Nasai.SunanKubra.ShamAY0033958-ara1,0.86016,RELEASE
0303Nasai.SunanKubra.JK000475-ara1,0.86015,RELEASE
0258IbnYahyaNaysaburi.Juz.Shamela0030368-ara1,0.86015,RELEASE
0255CabdAllahDarimi.Sunan.Sham19Y0036114-ara5,0.85946,RELEASE
Shamela026871.txt,0.85932,raw_ShamelaY19
1223.json,0.85895,RAWrabicaShamAY1
Shamela021795.txt,0.85894,raw_ShamelaY19
0303Nasai.KhasaisAmirMumininCali.Shamela0005645-ara1,0.85854,RELEASE
33921.json,0.85785,RAWrabicaShamAY2
0197IbnWahbQurashi.MuwattaIbnWahb.Shamela0026865-ara1,0.85767,RELEASE
0303Nasai.KhasaisAmirMumininCali.JK000669-ara1,0.85715,RELEASE
30368.json,0.85654,RAWrabicaShamAY2
5645.json,0.85632,RAWrabicaShamAY1
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1,0.85446,RELEASE
0179MalikIbnAnas.Muwatta.ShamAY0033921-ara1,0.85421,RELEASE
Shamela030368.txt,0.85341,raw_ShamelaY19
33975.json,0.85336,RAWrabicaShamAY2
32125.json,0.85232,RAWrabicaShamAY2
26865.json,0.85226,RAWrabicaShamAY2
22848.json,0.85041,RAWrabicaShamAY2
33903.json,0.85014,RAWrabicaShamAY2
1371.json,0.85002,RAWrabicaShamAY1
1459.json,0.84994,RAWrabicaShamAY1
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.84973,RELEASE
0258IbnYahyaNaysaburi.Juz.Shamela0021684-ara1,0.84969,RELEASE
21684.json,0.8494,RAWrabicaShamAY2
0262CumarIbnShabba.TarikhMadina.ShamAY0033814-ara1,0.84931,RELEASE
0262CumarIbnShabba.TarikhMadina.Shamela0013086-ara1,0.84926,RELEASE
33814.json,0.84878,RAWrabicaShamAY2
Shamela026865.txt,0.8487,raw_ShamelaY19
22804.json,0.84842,RAWrabicaShamAY2
Shamela026664.txt,0.84822,raw_ShamelaY19
0273AbuBakrAthram.NasikhHadith.Shamela0026664-ara1,0.84796,RELEASE
26764.json,0.84786,RAWrabicaShamAY2
Shamela026764.txt,0.84753,raw_ShamelaY19
1316.json,0.84659,RAWrabicaShamAY1
Shamela022848.txt,0.84615,raw_ShamelaY19
Shia001964Vols,0.84607,RAWrabica040000
22804.bok.json,0.84555,RAWrabicaSham19Y
33947.json,0.84511,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.JK000488-ara1,0.84463,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033925-ara1,0.8441,RELEASE
33925.json,0.84396,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033947-ara1,0.84396,RELEASE
1424.json,0.84395,RAWrabicaShamAY1
13086.json,0.84372,RAWrabicaShamAY2
Shamela026366.txt,0.84335,raw_ShamelaY19
13071.json,0.84319,RAWrabicaShamAY2
0179MalikIbnAnas.Muwatta.Shamela0001699-ara1,0.84282,RELEASE
Shamela021684.txt,0.84265,raw_ShamelaY19
34127.json,0.84245,RAWrabicaShamAY2
Shamela022804.txt,0.84213,raw_ShamelaY19
0307IbnJarudNaysaburi.Muntaqa.Shamela0013071-ara1,0.84199,RELEASE
Sham30K0033994,0.84199,RAWrabica020000
0256Bukhari.Sahih.Shamela0001681-ara1,0.84183,RELEASE
33934.json,0.84138,RAWrabicaShamAY2
1337.json,0.84138,RAWrabicaShamAY1
33661.json,0.84054,RAWrabicaShamAY2
933.json,0.84044,RAW_ABLibrary
22643.json,0.8403,RAWrabicaShamAY2
0303Nasai.Wafat.Shamela0022643-ara1,0.84029,RELEASE
0181IbnMubarak.Jihad.ShamAY0033661-ara1,0.84008,RELEASE
0241IbnHanbal.Musnad.ShamAY0033963-ara5,0.8399,RELEASE
0179MalikIbnAnas.Muwatta.JK000466-ara1,0.83989,RELEASE
0179MalikIbnAnas.Muwatta.Shamela0016050-ara1,0.83981,RELEASE
16050.json,0.83965,RAWrabicaShamAY2
0161SufyanThawri.Hadith.Shamela0026548-ara1,0.83946,RELEASE
2020.json,0.83945,RAWrabicaShamAY1
0241IbnHanbal.Musnad.Shamela0025794-ara1,0.83936,RELEASE
26548.json,0.83931,RAWrabicaShamAY2
33938.json,0.83928,RAWrabicaShamAY2
33950.json,0.83922,RAWrabicaShamAY2
13157.json,0.83911,RAWrabicaShamAY2
0275AbuDawudSijistani.Sunan.Shia001733Vols-ara1,0.83908,RELEASE
0241IbnHanbal.Musnad.Shamela0013157-ara1,0.83897,RELEASE
33963.json,0.83882,RAWrabicaShamAY2
0256Bukhari.KhalqAfcal.Shamela0009697-ara1,0.83881,RELEASE
3489.html,0.83875,RAWrabicaRafed
Shamela096868.txt,0.83873,raw_ShamelaY19
0261Muslim.Sahih.Shamela0001727-ara1,0.83865,RELEASE
0303Nasai.Wafat.Shia001973-ara1,0.83855,RELEASE
0458Bayhaqi.MacrifatSunanWaAthar.ShamAY0033950-ara1,0.83843,RELEASE
0458Bayhaqi.MacrifatSunanWaAthar.Shamela0002863-ara1,0.83748,RELEASE
31638.json,0.83728,RAWrabicaShamAY2
2863.bok.json,0.83716,RAWrabicaSham19Y
0261Muslim.Sahih.ShamAY0033938-ara1,0.83707,RELEASE
0378HakimKabir.CawaliMalik.Shamela0026365-ara1,0.83705,RELEASE
0399IbnAbiZamanaynIlbiri.RiyadJanna.Shamela0009698-ara1,0.83694,RELEASE
0261Muslim.Sahih.Shia001723Vols-ara1,0.83677,RELEASE
1221.json,0.83671,RAWrabicaShamAY1
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.83661,RELEASE
Shamela022643.txt,0.8366,raw_ShamelaY19
0256Bukhari.Sahih.Shia001715Vols-ara1,0.83654,RELEASE
33997.json,0.83641,RAWrabicaShamAY2
0458Bayhaqi.MacrifatSunanWaAthar.Shia002108Vols-ara1,0.83569,RELEASE
1315.json,0.83496,RAWrabicaShamAY1
Sham30K0033991,0.83486,RAWrabica020000
0405AbuCabbasCasmi.Juz.Shamela0026563-ara1,0.83484,RELEASE
0303Nasai.Wafat.JK000723-ara1,0.83447,RELEASE
26563.json,0.83431,RAWrabicaShamAY2
Shamela026365.txt,0.83422,raw_ShamelaY19
Shamela149015.txt,0.83418,raw_ShamelaY19
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.83321,RELEASE
23678.json,0.8332,RAWrabicaShamAY2
Shamela026548.txt,0.8332,raw_ShamelaY19
9697.json,0.83312,RAWrabicaShamAY1
Shamela021809.txt,0.8327,raw_ShamelaY19
0256Bukhari.Sahih.JK000110-ara1,0.83256,RELEASE
3403.automARkdown,0.83248,RAW_Ghbook
Shamela023678.txt,0.83211,raw_ShamelaY19
Shamela022771.txt,0.83164,raw_ShamelaY19
0246IbnCumarDuri.JuzFihiQiraat.JK001122-ara1,0.83143,RELEASE
23678.bok.json,0.83139,RAWrabicaSham19Y
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.8313,RELEASE
33585.json,0.83097,RAWrabicaShamAY2
0257AbuSacidAshajj.Juz.Shamela0026353-ara1,0.83095,RELEASE
33075.json,0.83091,RAWrabicaShamAY2
4289.json,0.83079,RAWrabicaShamAY1
0282IbnIshaqJahdami.JuzMinHadithMalik.Shamela0026440-ara1,0.83071,RELEASE
0381AbuQasimJawhari.MusnadMuwatta.Shamela0021479-ara1,0.83045,RELEASE
26440.json,0.83026,RAWrabicaShamAY2
0303Nasai.Tafsir.Tafsir02100-ara1,0.83019,RELEASE
9698.json,0.83004,RAWrabicaShamAY1
1161.json,0.82993,RAWrabicaShamAY1
Shamela026075.txt,0.8298,raw_ShamelaY19
0256Bukhari.KhalqAfcal.JK000546-ara1,0.82975,RELEASE
Shamela020872.txt,0.82969,raw_ShamelaY19
Shamela026563.txt,0.82937,raw_ShamelaY19
33960.json,0.82921,RAWrabicaShamAY2
001833.automARkdown,0.82915,RAW_Masaha
1310.json,0.82886,RAWrabicaShamAY1
0458Bayhaqi.MacrifatSunanWaAthar.JK007027-ara1,0.82869,RELEASE
33973.json,0.82869,RAWrabicaShamAY2
0261Muslim.Tamyiz.Shamela0006048-ara1,0.82868,RELEASE
26039.json,0.82855,RAWrabicaShamAY2
0261Muslim.Tamyiz.JK000741-ara1,0.82839,RELEASE
Shamela144114.txt,0.82838,raw_ShamelaY19
0256Bukhari.KhalqAfcal.Shia001923-ara1,0.8283,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.Shamela0005567-ara1,0.82792,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.82773,RELEASE
0256Bukhari.TakhrijAhadithMarfuca.Shamela0008223-ara1,0.82757,RELEASE
6075.bok.json,0.82754,RAWrabicaSham19Y
0331IbnMukhalladCattar.Juz.Shamela0026359-ara1,0.82741,RELEASE
1222.json,0.82735,RAWrabicaShamAY1
1321.json,0.82735,RAWrabicaShamAY1
86.json,0.82723,RAW_ABLibrary
21544.json,0.82706,RAWrabicaShamAY2
0292AbuBakrBazzar.BahrZakhkhar.Shamela0012981-ara1,0.82705,RELEASE
13182.json,0.82696,RAWrabicaShamAY2
12981.json,0.82686,RAWrabicaShamAY2
21493.json,0.82671,RAWrabicaShamAY2
0535QawwamSunna.SiyarSalaf.Shamela0021493-ara1,0.82668,RELEASE
Shamela021479.txt,0.82666,raw_ShamelaY19
