unknown,TFIDF_cosine,libVar
0307IbnJarudNaysaburi.Muntaqa.JK000488-ara1,0.90984,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033947-ara1,0.90958,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033925-ara1,0.90953,RELEASE
33925.json,0.90903,RAWrabicaShamAY2
33947.json,0.90852,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.90816,RELEASE
33903.json,0.90725,RAWrabicaShamAY2
0256Bukhari.Sahih.Shia001715Vols-ara1,0.90266,RELEASE
0256Bukhari.Sahih.JK000110-ara1,0.90208,RELEASE
9567.bok.json,0.90203,RAWrabicaSham19Y
13037.json,0.90128,RAWrabicaShamAY2
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.90107,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.90106,RELEASE
9567.json,0.901,RAWrabicaShamAY1
0256Bukhari.Sahih.Shamela0001681-ara1,0.90069,RELEASE
33935.json,0.90048,RAWrabicaShamAY2
Shamela026425.txt,0.90009,raw_ShamelaY19
Sham30K0033991,0.89987,RAWrabica020000
13099.json,0.89966,RAWrabicaShamAY2
0256Bukhari.Sahih.JK000110-ara1,0.89935,RELEASE
78.json,0.89932,RAWrabicaShamAY1
0807NurDinHaythami.GhayatMaqsad.Shamela0009567-ara1,0.89921,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.89861,RELEASE
13175.json,0.89775,RAWrabicaShamAY2
0256Bukhari.AdabMufrad.JK000011-ara1,0.8976,RELEASE
0256Bukhari.AdabMufrad.Shia001922-ara1,0.89714,RELEASE
13175.bok.json,0.89697,RAWrabicaSham19Y
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.89659,RELEASE
38092.json,0.89429,RAWrabicaShamAY3
98.json,0.89394,RAW_ABLibrary
0287IbnAbiCasim.Jihad.Shamela0013013-ara1,0.89383,RELEASE
0241IbnHanbal.Musnad.Shamela0013157-ara1,0.89365,RELEASE
0241IbnHanbal.Musnad.Shamela0025794-ara1,0.8936,RELEASE
0368IbnJacfarQatici.Fawaid.Shamela0013099-ara1,0.89358,RELEASE
0241IbnHanbal.Musnad.ShamAY0033963-ara5,0.89274,RELEASE
33963.json,0.89266,RAWrabicaShamAY2
13157.json,0.89261,RAWrabicaShamAY2
12991.bok.json,0.89259,RAWrabicaSham19Y
13013.json,0.89206,RAWrabicaShamAY2
12991.json,0.89145,RAWrabicaShamAY2
0282HarithHaythami.BughyaBahith.JK000483-ara1,0.89113,RELEASE
0307AbuYaclaMawsili.Musnad.JK000485-ara1,0.8911,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.89096,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.89075,RELEASE
0241IbnHanbal.Musnad.Shamela0025794-ara1,0.8905,RELEASE
1405.json,0.89034,RAWrabicaShamAY1
33985.json,0.88954,RAWrabicaShamAY2
21570.bok.json,0.88918,RAWrabicaSham19Y
Shia001922,0.88889,RAWrabica040000
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.88863,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.ShamAY0038142-ara1,0.88855,RELEASE
21570.json,0.88831,RAWrabicaShamAY2
0204AbuDawudTayalisi.Musnad.Shia001885-ara1,0.88807,RELEASE
Shamela021570.txt,0.88803,raw_ShamelaY19
0275AbuDawudSijistani.Marasil.Shamela0013063-ara1,0.88771,RELEASE
1456.bok.json,0.88766,RAWrabicaSham19Y
0204AbuDawudTayalisi.Musnad.Shamela0001456-ara1,0.88744,RELEASE
0204AbuDawudTayalisi.Musnad.JK000470-ara1,0.88721,RELEASE
0204AbuDawudTayalisi.Musnad.ShamAY0033930-ara1,0.8869,RELEASE
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.88688,RELEASE
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1,0.88666,RELEASE
38142.json,0.88663,RAWrabicaShamAY3
1456.json,0.88648,RAWrabicaShamAY1
0368IbnJacfarQatici.Fawaid.JK000935-ara1,0.88638,RELEASE
0261Muslim.Sahih.Shia001723Vols-ara1,0.88538,RELEASE
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.88533,RELEASE
0197WakicIbnJarrah.Zuhd.Shamela0021545-ara1,0.88478,RELEASE
33864.json,0.88455,RAWrabicaShamAY2
13063.json,0.88443,RAWrabicaShamAY2
0261Muslim.Sahih.Shamela0001727-ara1,0.88428,RELEASE
33971.json,0.88402,RAWrabicaShamAY2
0368IbnJacfarQatici.Fawaid.JK000935-ara1,0.88393,RELEASE
0204AbuDawudTayalisi.Musnad.Shamela0001456-ara1,0.88382,RELEASE
0275AbuDawudSijistani.Marasil.JK000766-ara1,0.88374,RELEASE
0261Muslim.Sahih.ShamAY0033938-ara1,0.88354,RELEASE
0307AbuYaclaMawsili.Musnad.Shia001976Vols-ara1,0.88328,RELEASE
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.88279,RELEASE
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.88278,RELEASE
0303Nasai.SunanSughra.Shamela0000829-ara1,0.88259,RELEASE
0273IbnMaja.Sunan.Shamela0001198-ara1,0.88248,RELEASE
Shamela021545.txt,0.88226,raw_ShamelaY19
Shamela029857.txt,0.88223,raw_ShamelaY19
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1,0.88186,RELEASE
33938.json,0.88179,RAWrabicaShamAY2
