unknown,TFIDF_cosine,libVar
Sham30K0033998,0.99986,RAWrabica020000
0204Shafici.Umm.Shamela0001655-ara1,0.99823,RELEASE
1655.json,0.99817,RAWrabicaShamAY1
34255.json,0.99801,RAWrabicaShamAY3
0204Shafici.Umm.ShamAY0034255-ara1,0.99745,RELEASE
0204Shafici.Umm.Shia000820Vols-ara1,0.97436,RELEASE
0264IbnYahyaMuzani.Mukhtasar.Shamela0001661-ara1,0.8858,RELEASE
0264IbnYahyaMuzani.Mukhtasar.Shia000828-ara1,0.88548,RELEASE
1661.json,0.88384,RAWrabicaShamAY1
0204Shafici.IkhtilafHadith.ShamAY0034043-ara1,0.86852,RELEASE
0204Shafici.IkhtilafHadith.Shamela0009348-ara1,0.86619,RELEASE
0204Shafici.IkhtilafHadith.Shia001705-ara1,0.86411,RELEASE
34043.json,0.86165,RAWrabicaShamAY2
9348.json,0.85576,RAWrabicaShamAY1
0264IbnYahyaMuzani.Mukhtasar.JK001504-ara1,0.85434,RELEASE
0204Shafici.IkhtilafHadith.JK000560-ara1,0.8483,RELEASE
12895.json,0.82912,RAWrabicaShamAY2
0370IbnCaliJassas.SharhMukhtasarTahawi.Sham19Y0016546-ara1,0.82842,RELEASE
32355.json,0.82726,RAWrabicaShamAY2
Shamela035096.txt,0.82486,raw_ShamelaY19
12899.bok.json,0.81837,RAWrabicaSham19Y
12899.json,0.81739,RAWrabicaShamAY2
34266.json,0.81664,RAWrabicaShamAY3
33181.json,0.81525,RAWrabicaShamAY2
8463.json,0.81097,RAWrabicaShamAY1
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.80832,RELEASE
32483.json,0.80662,RAWrabicaShamAY2
32679.json,0.80608,RAWrabicaShamAY2
35988.json,0.806,RAWrabicaShamAY3
Sham30K0008463,0.80588,RAWrabica010000
6684.json,0.80585,RAWrabicaShamAY1
Shamela133386.txt,0.8056,raw_ShamelaY19
0474IbnKhalafBaji.MuntaqaMinSharhMuwatta.Sham19Y0006684-ara1,0.80532,RELEASE
0388AbuSulaymanKhattabi.MacalimSunan.Shamela0001442-ara1,0.80435,RELEASE
32293.json,0.80412,RAWrabicaShamAY2
0474IbnKhalafBaji.MuntaqaMinSharhMuwatta.Shamela0006684-ara1,0.80358,RELEASE
0204Shafici.Risala.ShamAY0034203-ara1,0.80244,RELEASE
38863.json,0.80191,RAWrabicaShamAY3
1442.json,0.80184,RAWrabicaShamAY1
0204Shafici.Risala.JK000143-ara1,0.80149,RELEASE
Sham30K0002489,0.80126,RAWrabica005000
Shamela037016.txt,0.80108,raw_ShamelaY19
1153.json,0.80058,RAWrabicaShamAY1
36469.json,0.80053,RAWrabicaShamAY3
18607.bok.json,0.79998,RAWrabicaSham19Y
0476AbuIshaqShirazi.MuhadhdhabFiFiqh.Shamela0011813-ara1,0.79981,RELEASE
Shamela018607.txt,0.79973,raw_ShamelaY19
106.json,0.79973,RAWrabicaShamAY1
0450AbuHasanMawardi.HawiKabir.Shamela0006157-ara1,0.79961,RELEASE
0451IbnYunusSiqilli.JamicLiMasailMudawwana.Sham19Y0018607-ara1,0.7995,RELEASE
0319IbnMundhirNaysaburi.Iqnac.Shamela0012843-ara1,0.79942,RELEASE
32407.json,0.79916,RAWrabicaShamAY2
0204Shafici.JimacCilm.ShamAY0033951-ara1,0.79902,RELEASE
6157.json,0.79885,RAWrabicaShamAY1
34203.json,0.79876,RAWrabicaShamAY3
12843.bok.json,0.79821,RAWrabicaSham19Y
0462QadiHusaynMarwarudhi.Tacliqa.Sham19Y0017812-ara1,0.79802,RELEASE
12843.json,0.7972,RAWrabicaShamAY2
33188.json,0.79688,RAWrabicaShamAY2
11816.json,0.79658,RAWrabicaShamAY2
