unknown,TFIDF_cosine,libVar
0207Waqidi.Maghazi.Shamela0023680-ara1,0.99909,RELEASE
Sham30K0033810,0.99671,RAWrabica020000
0463IbnCabdBarr.Durar.Shia002155-ara1,0.95147,RELEASE
0463IbnCabdBarr.Durar.Shamela0010695-ara1,0.95141,RELEASE
0354IbnHibbanBusti.Sira.Shamela0009898-ara1,0.94246,RELEASE
002044Vols.automARkdown,0.9423,RAW_Masaha
Shia002155,0.94068,RAWrabica040000
0463IbnCabdBarr.Durar.JK000118-ara1,0.93853,RELEASE
34650.json,0.93814,RAWrabicaShamAY3
0354IbnHibbanBusti.Thiqat.Shia003092Vols-ara1,0.93784,RELEASE
0354IbnHibbanBusti.Thiqat.Shamela0005816-ara1,0.93711,RELEASE
0354IbnHibbanBusti.Thiqat.JK000513-ara1,0.93695,RELEASE
5816.json,0.93642,RAWrabicaShamAY1
26484.json,0.9326,RAWrabicaShamAY2
Shamela026484.txt,0.93185,raw_ShamelaY19
0310Tabari.MuntakhabMinDhayl.Shia003473-ara1,0.93079,RELEASE
0310Tabari.MuntakhabMinDhayl.Shamela0001133-ara1,0.92972,RELEASE
1133.json,0.92902,RAWrabicaShamAY1
0463IbnCabdBarr.IsticabFiMacrifatAshab.Shamela0012288-ara1,0.92758,RELEASE
Sham30K0033831,0.92714,RAWrabica020000
003023Vols.automARkdown,0.92678,RAW_Masaha
0230IbnSacd.TabaqatKubra.Shamela0012416-ara3,0.92639,RELEASE
12416.json,0.92524,RAWrabicaShamAY2
Shamela023680.txt,0.92407,raw_ShamelaY19
001959.automARkdown,0.91942,RAW_Masaha
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0.91892,RELEASE
9728.json,0.91837,RAWrabicaShamAY1
7480.json,0.91745,RAW_ABLibrary
0456IbnHazm.JawamicSira.Shamela0001036-ara1,0.91714,RELEASE
0279Baladhuri.AnsabAshraf.JK010481-ara2,0.91492,RELEASE
Shia003473,0.91422,RAWrabica045000
12288.json,0.91373,RAWrabicaShamAY2
0279Baladhuri.AnsabAshraf.Shamela0009773-ara1,0.91163,RELEASE
001880Vols.automARkdown,0.91136,RAW_Masaha
Shia003092Vols,0.91044,RAWrabica045000
23700.bok.json,0.90901,RAWrabicaSham19Y
Shamela023700.txt,0.9086,raw_ShamelaY19
23700.json,0.90845,RAWrabicaShamAY2
Sham30K0033878,0.90693,RAWrabica020000
10695.json,0.90618,RAWrabicaShamAY1
0310Tabari.MuntakhabMinDhayl.JK011133-ara1,0.90606,RELEASE
10695.bok.json,0.90591,RAWrabicaSham19Y
7522.json,0.90348,RAW_ABLibrary
0240KhalifaIbnKhayyat.Tarikh.Shamela0006615-ara1,0.9025,RELEASE
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,0.90212,RELEASE
1110.bok.json,0.90187,RAWrabicaSham19Y
6615.json,0.90182,RAWrabicaShamAY1
1110.json,0.90135,RAWrabicaShamAY1
