unknown,TFIDF_cosine,libVar
263.json,0.99867,RAWrabicaShamAY1
0235IbnAbiShayba.Musnad.JK007049-ara1,0.81678,RELEASE
0235IbnAbiShayba.Musnad.Shamela0013155-ara1,0.81375,RELEASE
13155.json,0.81325,RAWrabicaShamAY2
0303Nasai.Tafsir.Tafsir02100-ara1,0.81302,RELEASE
0235IbnAbiShayba.Musnad.JK007049-ara1,0.8127,RELEASE
0303Nasai.Tafsir.Tafsir02100-ara1,0.80894,RELEASE
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033949-ara1,0.80353,RELEASE
33949.json,0.80227,RAWrabicaShamAY2
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033949-ara1,0.79962,RELEASE
Shamela022848.txt,0.79808,raw_ShamelaY19
22848.json,0.79515,RAWrabicaShamAY2
1446.json,0.79444,RAWrabicaShamAY1
29707.json,0.79297,RAWrabicaShamAY2
0748Dhahabi.TanqihTahqiq.Shamela0022848-ara1,0.79277,RELEASE
0312IbnCaliTusi.MukhtasarAhkam.Shamela0005583-ara1,0.79077,RELEASE
0312IbnCaliTusi.MukhtasarAhkam.JK000929-ara1,0.79075,RELEASE
5583.json,0.79074,RAWrabicaShamAY1
12981.bok.json,0.78985,RAWrabicaSham19Y
0292AbuBakrBazzar.BahrZakhkhar.Shamela0012981-ara1,0.78977,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.Shamela0013180-ara1,0.7892,RELEASE
13010.bok.json,0.78916,RAWrabicaSham19Y
12981.json,0.78909,RAWrabicaShamAY2
13180.json,0.78856,RAWrabicaShamAY2
13010.json,0.78842,RAWrabicaShamAY2
0369AbuShaykhIsbahani.Tawbikh.Shamela0013010-ara1,0.78842,RELEASE
0311IbnKhuzaymaNaysaburi.Sahih.Shamela0001446-ara1,0.78791,RELEASE
8623.json,0.78746,RAWrabicaShamAY1
29779.bok.json,0.78704,RAWrabicaSham19Y
Shamela029707.txt,0.78679,raw_ShamelaY19
0246AbuCaliIbnShadhdhan.Hadith.Shamela0029707-ara1,0.78666,RELEASE
0292AbuBakrBazzar.BahrZakhkhar.JK000783-ara1,0.78666,RELEASE
0312IbnCaliTusi.MukhtasarAhkam.Shamela0005583-ara1,0.78633,RELEASE
0379IbnMuzaffarBazzaz.Fawaid.ShamAY0032753-ara1,0.78598,RELEASE
