unknown,TFIDF_cosine,libVar
0213IbnJabalaShacir.Diwan.JK007622-ara1,0.92206,RELEASE
37898.json,0.89998,RAWrabicaShamAY3
0200AbuShis.Diwan.ShamAY0037814-ara1,0.39843,RELEASE
0200AbuShis.Diwan.ShamAY0037814-ara1,0.39595,RELEASE
0200AbuShis.Diwan.JK007578-ara1,0.38923,RELEASE
37814.json,0.38506,RAWrabicaShamAY3
0198AbuNuwasShacir.Diwan.ShamAY0037852-ara1,0.2743,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.27402,RELEASE
0198AbuNuwasShacir.Diwan.JK007604-ara1,0.27316,RELEASE
0449AbuCalaMacarri.Diwan.JK007580-ara1,0.27139,RELEASE
0296IbnMuctazz.Diwan.ShamAY0037841-ara1,0.27069,RELEASE
0360KushajimShacir.Diwan.ShamAY0037962-ara1,0.2696,RELEASE
0360KushajimShacir.Diwan.JK007626-ara1,0.26956,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.26933,RELEASE
1332MahmudSamiBarudi.Diwan.ShamAY0037857-ara1,0.26913,RELEASE
37852.json,0.26889,RAWrabicaShamAY3
0167BashsharIbnBurdShacir.Diwan.ShamAY0037930-ara1,0.2688,RELEASE
0296IbnMuctazz.Diwan.JK007592-ara1,0.26873,RELEASE
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1,0.26841,RELEASE
0360KushajimShacir.Diwan.JK007626-ara1,0.26762,RELEASE
0167BashsharIbnBurdShacir.Diwan.JK007613-ara1,0.2672,RELEASE
0584IbnMunqidhShayzari.Diwan.ShamAY0037915-ara1,0.26584,RELEASE
0231AbuTamam.Diwan.ShamAY0037821-ara1,0.26552,RELEASE
37841.json,0.2651,RAWrabicaShamAY3
0583SibtIbnTacawidhiShacir.Diwan.ShamAY0037949-ara1,0.26486,RELEASE
0231AbuTamam.Diwan.JK007583-ara1,0.26465,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.26459,RELEASE
1119IbnMacsum.Diwan.ShamAY0037878-ara1,0.26459,RELEASE
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.26438,RELEASE
37962.json,0.26389,RAWrabicaShamAY3
0584IbnMunqidhShayzari.Diwan.JK007587-ara1,0.26382,RELEASE
37857.json,0.2637,RAWrabicaShamAY3
0231AbuTamam.Diwan.JK007583-ara1,0.26347,RELEASE
0357AbuFirasHamdani.Diwan.JK007584-ara1,0.26343,RELEASE
0583SibtIbnTacawidhiShacir.Diwan.JK007618-ara1,0.26337,RELEASE
0357AbuFirasHamdani.Diwan.ShamAY0037823-ara1,0.26302,RELEASE
37930.json,0.26287,RAWrabicaShamAY3
0548IbnQaysaraniShacir.Diwan.ShamAY0037840-ara1,0.26279,RELEASE
0357AbuFirasHamdani.Diwan.JK007584-ara1,0.26264,RELEASE
0548IbnQaysaraniShacir.Diwan.ShamAY0037840-ara1,0.26182,RELEASE
0776LisanDinIbnKhatib.Diwan.ShamAY0037834-ara1,0.26143,RELEASE
0328IbnCabdRabbihi.Diwan.ShamAY0037874-ara1,0.26065,RELEASE
0406SharifRadi.Diwan.ShamAY0037890-ara1,0.26059,RELEASE
0406SharifRadi.Diwan.JK007608-ara1,0.26032,RELEASE
37915.json,0.25958,RAWrabicaShamAY3
37821.json,0.25949,RAWrabicaShamAY3
0093IbnAbiRabica.Diwan.ShamAY0037902-ara1,0.25929,RELEASE
37949.json,0.25921,RAWrabicaShamAY3
0548IbnQaysaraniShacir.Diwan.JK007591-ara1,0.259,RELEASE
0406SharifRadi.Diwan.JK007608-ara1,0.25897,RELEASE
0328IbnCabdRabbihi.Diwan.JK007571-ara1,0.25875,RELEASE
37878.json,0.25859,RAWrabicaShamAY3
37823.json,0.25833,RAWrabicaShamAY3
0646IbnQifti.Muhammadun.Shamela0013031-ara1,0.25778,RELEASE
