unknown,TFIDF_cosine,libVar
33686.json,0.98697,RAWrabicaShamAY2
0215IbnCabdAllahAnsari.HadithAnsari.Shamela0013110-ara1,0.98083,RELEASE
13110.json,0.97693,RAWrabicaShamAY2
0215IbnCabdAllahAnsari.HadithAnsari.JK009193-ara1,0.95957,RELEASE
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.82591,RELEASE
0330IbnIsmacilMahamili.Amali.Shamela0013081-ara1,0.82571,RELEASE
13081.bok.json,0.82561,RAWrabicaSham19Y
31636.json,0.82372,RAWrabicaShamAY2
13160.bok.json,0.82128,RAWrabicaSham19Y
0282HarithHaythami.BughyaBahith.Shamela0013160-ara1,0.82113,RELEASE
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.82091,RELEASE
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.82016,RELEASE
13160.json,0.81946,RAWrabicaShamAY2
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.81939,RELEASE
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.81809,RELEASE
0321AbuJacfarTahawi.SharhMacaniAthar.Shamela0021108-ara1,0.81372,RELEASE
Shamela021108.txt,0.81333,raw_ShamelaY19
Shia004243Vols,0.81237,RAWrabica045000
21108.json,0.81184,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.Shamela0013071-ara1,0.81129,RELEASE
0807NurDinHaythami.BughyatBahith.ShamAY0033926-ara1,0.8099,RELEASE
13071.json,0.80971,RAWrabicaShamAY2
33926.json,0.80961,RAWrabicaShamAY2
86.json,0.80888,RAW_ABLibrary
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.80788,RELEASE
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.80694,RELEASE
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.80694,RELEASE
32840.json,0.80628,RAWrabicaShamAY2
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.80578,RELEASE
85.json,0.8057,RAW_ABLibrary
0316IbnIshaqIsfaraini.Musnad.JK001486-ara1,0.80514,RELEASE
0321AbuJacfarTahawi.SharhMacaniAthar.JK000469-ara1,0.80488,RELEASE
32904.json,0.80459,RAWrabicaShamAY2
0316IbnIshaqIsfaraini.Mustrakhraj.Shamela0021618-ara1,0.80448,RELEASE
21618.bok.json,0.80429,RAWrabicaSham19Y
Shamela021618.txt,0.80426,raw_ShamelaY19
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.80342,RELEASE
0275AbuDawudSijistani.Sunan.Shia001733Vols-ara1,0.80324,RELEASE
21618.json,0.80255,RAWrabicaShamAY2
13087.json,0.8022,RAWrabicaShamAY2
4289.json,0.802,RAWrabicaShamAY1
32824.json,0.80169,RAWrabicaShamAY2
0359AbuBakrNasibi.Fawaid.ShamAY0032824-ara1,0.80132,RELEASE
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.80119,RELEASE
0267IbnCabdAllahTarqufi.Hadith.Shamela0030432-ara1,0.80089,RELEASE
0345IbnMuhammadSamarqandi.FawaidMuntaqat.Shamela0008267-ara1,0.80081,RELEASE
0325IbnCabdSamadBaghdadi.Amali.Shamela0009305-ara1,0.79983,RELEASE
0267IbnCabdAllahTarqufi.Hadith.Shamela0030432-ara1,0.79923,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.79907,RELEASE
9305.json,0.79891,RAWrabicaShamAY1
0325IbnCabdSamadBaghdadi.Amali.Shamela0009305-ara1,0.79885,RELEASE
0852IbnHajarCasqalani.MukhtasarZawaidMusnadBazzar.ShamAY0033053-ara1,0.79872,RELEASE
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.7982,RELEASE
33053.json,0.79786,RAWrabicaShamAY2
Shamela030432.txt,0.79741,raw_ShamelaY19
