unknown,TFIDF_cosine,libVar
13110.json,0.99506,RAWrabicaShamAY2
33686.json,0.98671,RAWrabicaShamAY2
0215IbnCabdAllahAnsari.HadithAnsari.ShamAY0033686-ara1,0.98083,RELEASE
0215IbnCabdAllahAnsari.HadithAnsari.JK009193-ara1,0.9771,RELEASE
0330IbnIsmacilMahamili.Amali.Shamela0013081-ara1,0.83623,RELEASE
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.83574,RELEASE
13081.bok.json,0.83526,RAWrabicaSham19Y
31636.json,0.83397,RAWrabicaShamAY2
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.82359,RELEASE
0282HarithHaythami.BughyaBahith.Shamela0013160-ara1,0.82349,RELEASE
13160.bok.json,0.82328,RAWrabicaSham19Y
0321AbuJacfarTahawi.SharhMacaniAthar.Shamela0021108-ara1,0.82287,RELEASE
13160.json,0.82169,RAWrabicaShamAY2
Shamela021108.txt,0.82106,raw_ShamelaY19
21108.json,0.82082,RAWrabicaShamAY2
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.82012,RELEASE
0307IbnJarudNaysaburi.Muntaqa.Shamela0013071-ara1,0.81646,RELEASE
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.81507,RELEASE
13071.json,0.81482,RAWrabicaShamAY2
Shia004243Vols,0.81424,RAWrabica045000
0316IbnIshaqIsfaraini.Musnad.JK001486-ara1,0.81422,RELEASE
32840.json,0.81402,RAWrabicaShamAY2
0316IbnIshaqIsfaraini.Mustrakhraj.Shamela0021618-ara1,0.81317,RELEASE
21618.bok.json,0.81269,RAWrabicaSham19Y
86.json,0.81238,RAW_ABLibrary
0321AbuJacfarTahawi.SharhMacaniAthar.JK000469-ara1,0.81226,RELEASE
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.81159,RELEASE
Shamela021618.txt,0.81157,raw_ShamelaY19
21618.json,0.81106,RAWrabicaShamAY2
32904.json,0.81085,RAWrabicaShamAY2
0345IbnMuhammadSamarqandi.FawaidMuntaqat.Shamela0008267-ara1,0.81084,RELEASE
