unknown,TFIDF_cosine,libVar
0219IbnZubayrHumaydi.Musnad.ShamAY0033965-ara1,0.99995,RELEASE
0219IbnZubayrHumaydi.Musnad.Shia001898Vols-ara1,0.9993,RELEASE
8493.json,0.9976,RAWrabicaShamAY1
0219IbnZubayrHumaydi.Musnad.Shamela0008493-ara1,0.99753,RELEASE
33965.json,0.96549,RAWrabicaShamAY2
Shia001898Vols,0.96486,RAWrabica040000
0330IbnIsmacilMahamili.Amali.Shamela0013081-ara1,0.89833,RELEASE
13081.bok.json,0.89753,RAWrabicaSham19Y
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.89697,RELEASE
31636.json,0.89668,RAWrabicaShamAY2
Shamela0008493,0.892,RAWrabica035000
21618.bok.json,0.88698,RAWrabicaSham19Y
0316IbnIshaqIsfaraini.Mustrakhraj.Shamela0021618-ara1,0.88691,RELEASE
Shamela021618.txt,0.88611,raw_ShamelaY19
0316IbnIshaqIsfaraini.Musnad.JK001486-ara1,0.886,RELEASE
21618.json,0.88561,RAWrabicaShamAY2
0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,0.88362,RELEASE
0307IbnJarudNaysaburi.Muntaqa.Shamela0013071-ara1,0.88338,RELEASE
34005.json,0.88297,RAWrabicaShamAY2
13071.json,0.88278,RAWrabicaShamAY2
0321AbuJacfarTahawi.SharhMacaniAthar.JK000469-ara1,0.87937,RELEASE
13160.bok.json,0.87911,RAWrabicaSham19Y
0282HarithHaythami.BughyaBahith.Shamela0013160-ara1,0.87903,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.8789,RELEASE
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.87835,RELEASE
0321AbuJacfarTahawi.SharhMacaniAthar.Shamela0021108-ara1,0.87829,RELEASE
13160.json,0.87821,RAWrabicaShamAY2
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.87789,RELEASE
Shamela021108.txt,0.87779,raw_ShamelaY19
31639.json,0.87708,RAWrabicaShamAY2
21108.json,0.87697,RAWrabicaShamAY2
0267IbnCabdAllahTarqufi.Hadith.Shamela0030432-ara1,0.87695,RELEASE
32904.json,0.87622,RAWrabicaShamAY2
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.87618,RELEASE
29707.json,0.87395,RAWrabicaShamAY2
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.87375,RELEASE
Shamela030432.txt,0.87282,raw_ShamelaY19
0246AbuCaliIbnShadhdhan.Hadith.Shamela0029707-ara1,0.87216,RELEASE
Shamela029707.txt,0.87209,raw_ShamelaY19
33926.json,0.86998,RAWrabicaShamAY2
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.86998,RELEASE
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.8698,RELEASE
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.86963,RELEASE
32840.json,0.86958,RAWrabicaShamAY2
5930.json,0.86918,RAWrabicaShamAY1
33948.json,0.86901,RAWrabicaShamAY2
0287IbnAbiCasim.Sunna.Shamela0005930-ara1,0.86858,RELEASE
8243.json,0.86837,RAWrabicaShamAY1
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.86771,RELEASE
10492.json,0.86734,RAWrabicaShamAY1
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.8665,RELEASE
0345IbnMuhammadSamarqandi.FawaidMuntaqat.Shamela0008267-ara1,0.86609,RELEASE
32824.json,0.86582,RAWrabicaShamAY2
Sham30K0008243,0.86564,RAWrabica010000
30432.json,0.86513,RAWrabicaShamAY2
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.86497,RELEASE
4289.json,0.86418,RAWrabicaShamAY1
32839.json,0.86383,RAWrabicaShamAY2
0487AbuQasimMasisi.HadithSabuni.ShamAY0032870-ara1,0.86347,RELEASE
0241IbnHanbal.Musnad.JK000145-ara2,0.86322,RELEASE
32870.json,0.86301,RAWrabicaShamAY2
0359AbuBakrNasibi.Fawaid.ShamAY0032824-ara1,0.86291,RELEASE
86.json,0.86254,RAW_ABLibrary
0287IbnAbiCasim.Sunna.JK000630-ara1,0.86242,RELEASE
29942.bok.json,0.86239,RAWrabicaSham19Y
0359AbuHasanIkhmimi.Fawaid.ShamAY0032839-ara1,0.86224,RELEASE
29942.json,0.86136,RAWrabicaShamAY2
0267HammadIbnIshaq.TarikatNabi.Shamela0022657-ara1,0.86122,RELEASE
0267HammadIbnIshaq.TarikatNabi.Shia001927-ara1,0.86089,RELEASE
0267HammadIbnIshaq.TarikatNabi.JK000640-ara1,0.86057,RELEASE
0385IbnShahin.TarghibFiFadailAcmal.Shamela0008209-ara1,0.86055,RELEASE
0283BaghandiKabir.AmaliBaghandi.Shamela0008202-ara1,0.86052,RELEASE
8209.json,0.8605,RAWrabicaShamAY1
0385IbnShahin.TarghibFiFadailAcmal.ShamAY0034002-ara2,0.85987,RELEASE
13082.json,0.85968,RAWrabicaShamAY2
Shia004243Vols,0.85946,RAWrabica045000
0369AbuShaykhIsbahani.AmthalFiHadith.Shamela0013082-ara1,0.85935,RELEASE
Sham30K0038834,0.8593,RAWrabica025000
0364IbnSunniDinawari.CamalYawmWaLayl.JK000943-ara1,0.85927,RELEASE
13011.json,0.85902,RAWrabicaShamAY2
22657.json,0.85876,RAWrabicaShamAY2
0290IbnAhmadIbnHanbal.FadailCuthman.Shamela0009322-ara1,0.85847,RELEASE
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.85839,RELEASE
34002.json,0.85837,RAWrabicaShamAY2
0273IbnMaja.Sunan.JK000141-ara1,0.85805,RELEASE
0311IbnFilBalisi.Juz.Shamela0026741-ara1,0.85788,RELEASE
9322.json,0.85781,RAWrabicaShamAY1
9322.bok.json,0.85774,RAWrabicaSham19Y
1272.json,0.85772,RAWrabicaShamAY1
Shamela029942.txt,0.85769,raw_ShamelaY19
Sham30K0008209,0.85764,RAWrabica010000
10637.json,0.85755,RAWrabicaShamAY1
32921.json,0.85736,RAWrabicaShamAY2
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0.85733,RELEASE
0313IbnIshaqSarraj.Musnad.Shamela0001383-ara1,0.857,RELEASE
Sham30K0038948,0.8569,RAWrabica025000
Shamela022657.txt,0.85665,raw_ShamelaY19
26741.json,0.85657,RAWrabicaShamAY2
Shamela026741.txt,0.85605,raw_ShamelaY19
0313IbnIshaqSarraj.Musnad.JK009385-ara1,0.8559,RELEASE
9305.json,0.8558,RAWrabicaShamAY1
0307AbuYaclaMawsili.Mafarid.Shamela0013069-ara1,0.85547,RELEASE
0241IbnHanbal.Musnad.Shia001707Vols-ara6,0.85522,RELEASE
33053.json,0.85521,RAWrabicaShamAY2
0360Tabarani.Duca.JK000675-ara1,0.85513,RELEASE
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.85494,RELEASE
0360Tabarani.Duca.Shamela0013016-ara1,0.85446,RELEASE
0325IbnCabdSamadBaghdadi.Amali.Shamela0009305-ara1,0.85445,RELEASE
0344IbnSammak.Fawaid.Shamela0029940-ara1,0.85441,RELEASE
0360Tabarani.Duca.Shia002067-ara1,0.85402,RELEASE
12862.json,0.85394,RAWrabicaShamAY2
0307AbuYaclaMawsili.Mafarid.JK000639-ara1,0.85343,RELEASE
0292Bahshal.TarikhWasit.Shamela0011766-ara1,0.85325,RELEASE
5803.json,0.85302,RAWrabicaShamAY1
13016.json,0.85295,RAWrabicaShamAY2
0578IbnBashkuwal.GhawamidAsma.Shamela0005803-ara1,0.85287,RELEASE
13170.json,0.85287,RAWrabicaShamAY2
Sham30K0008267,0.8528,RAWrabica010000
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0013170-ara1,0.85277,RELEASE
0381IbnMuqriIsbahani.Fawaid.Shamela0029942-ara1,0.85267,RELEASE
0578IbnBashkuwal.GhawamidAsma.JK000726-ara1,0.85256,RELEASE
13087.json,0.85246,RAWrabicaShamAY2
Shamela029940.txt,0.85226,raw_ShamelaY19
0275AbuDawudSijistani.Sunan.JK000142-ara1,0.85205,RELEASE
0311IbnKhuzaymaNaysaburi.Tawhid.Shamela0013011-ara1,0.85154,RELEASE
0275AbuDawudSijistani.Sunan.Shia001733Vols-ara1,0.85124,RELEASE
21765.bok.json,0.85124,RAWrabicaSham19Y
8267.json,0.85093,RAWrabicaShamAY1
0249CabdIbnHamid.MuntakhabMinMusnad.JK000486-ara1,0.85089,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0010631-ara2,0.85067,RELEASE
13069.json,0.85025,RAWrabicaShamAY2
21765.json,0.85024,RAWrabicaShamAY2
Shamela021765.txt,0.85002,raw_ShamelaY19
0360Tabarani.MucjamKabir.Shamela0001353-ara1,0.84975,RELEASE
0329AbuBakrIbnBahlul.Amali.ShamAY0032779-ara1,0.84953,RELEASE
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.84859,RELEASE
32779.json,0.84851,RAWrabicaShamAY2
Shamela029779.txt,0.84811,raw_ShamelaY19
0372AbuBakrDaqqaq.Hadith.ShamAY0032754-ara1,0.84788,RELEASE
0287IbnAbiCasim.Awail.Shamela0013001-ara1,0.84786,RELEASE
29940.json,0.84769,RAWrabicaShamAY2
Sham30K0044037,0.84765,RAWrabica030000
32749.json,0.8475,RAWrabicaShamAY2
32754.json,0.84736,RAWrabicaShamAY2
29779.bok.json,0.84733,RAWrabicaSham19Y
0392IbnAbiShurayhHarawi.AhathidMia.Shamela0029734-ara1,0.84727,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shia001920-ara1,0.84721,RELEASE
003960.automARkdown,0.84714,RAW_Masaha
0359AbuBakrNasibi.Fawaid.Shamela0029779-ara1,0.84699,RELEASE
0562IbnHasanIsbahaniThaqafi.CarusAjza.Shamela0026746-ara1,0.8467,RELEASE
29779.json,0.84666,RAWrabicaShamAY2
29940.bok.json,0.84663,RAWrabicaSham19Y
Shia002067,0.84648,RAWrabica040000
0430AbuNucaymIsbahani.ImamaWaRaddCalaRafida.Shamela0006449-ara1,0.84645,RELEASE
1361.json,0.84642,RAWrabicaShamAY1
13059.json,0.84638,RAWrabicaShamAY2
0430AbuNucaymIsbahani.ImamaWaRaddCalaRafida.Shamela0008221-ara1,0.8463,RELEASE
8221.json,0.84624,RAWrabicaShamAY1
0316IbnAbiDawudSijistani.Bacth.Shamela0008251-ara1,0.84515,RELEASE
Shamela029734.txt,0.84507,raw_ShamelaY19
85.json,0.84505,RAW_ABLibrary
21703.json,0.84466,RAWrabicaShamAY2
11766.json,0.84465,RAWrabicaShamAY2
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.84446,RELEASE
8221.bok.json,0.84409,RAWrabicaSham19Y
32891.json,0.84375,RAWrabicaShamAY2
0348IbnSalmanNajjad.Hadith.ShamAY0032891-ara1,0.84356,RELEASE
Sham30K0034122,0.84309,RAWrabica020000
Shamela021703.txt,0.84305,raw_ShamelaY19
Sham30K0008221,0.84293,RAWrabica010000
21703.bok.json,0.84286,RAWrabicaSham19Y
32924.json,0.84269,RAWrabicaShamAY2
0364IbnSunniDinawari.CamalYawmWaLayl.Shamela0013132-ara1,0.84259,RELEASE
0307IbnJarudNaysaburi.Muntaqa.Shia001989-ara1,0.84244,RELEASE
0348IbnSalmanNajjad.Amali.Shamela0029721-ara1,0.84221,RELEASE
2350.html,0.84217,RAWrabicaRafed
0292Bahshal.TarikhWasit.JK000661-ara1,0.84215,RELEASE
13132.json,0.84196,RAWrabicaShamAY2
32929.json,0.84186,RAWrabicaShamAY2
0282IbnIshaqJahdami.FadlSalat.JK000692-ara1,0.84183,RELEASE
0398IbnCaliHamadhani.AhadithMusaIbnHarun.ShamAY0032924-ara1,0.84161,RELEASE
29859.json,0.84147,RAWrabicaShamAY2
9012.json,0.84134,RAW_ABLibrary
Shamela026746.txt,0.8413,raw_ShamelaY19
0198SufyanIbnCuyayna.JuzFihiHadith.ShamAY0032777-ara1,0.84074,RELEASE
0360Tabarani.MakarimAkhlaq.Shamela0009324-ara1,0.84056,RELEASE
9324.json,0.8405,RAWrabicaShamAY1
0238MuhammadBarjlani.KaramWaJawd.JK000047-ara1,0.84034,RELEASE
0360Ramhurmuzi.MuhaddithFasil.JK000771-ara1,0.84024,RELEASE
0360AbuBakrAjurri.FawaidMuntakhaba.ShamAY0032929-ara1,0.84004,RELEASE
1733.json,0.83997,RAWrabicaShamAY1
1225.json,0.83988,RAWrabicaShamAY1
0287IbnAbiCasim.Awail.Shia001959-ara1,0.83984,RELEASE
9324.bok.json,0.83968,RAWrabicaSham19Y
32777.json,0.83968,RAWrabicaShamAY2
0360Ramhurmuzi.MuhaddithFasil.Shia002033-ara1,0.83967,RELEASE
0272Fakihi.AkhbarMakka.Shamela0022579-ara1,0.839,RELEASE
0360AbuBakrAnbari.Hadith.Shamela0029781-ara1,0.83887,RELEASE
0360Tabarani.MucjamKabir.Shamela0001733-ara1,0.83873,RELEASE
0535QawwamSunna.DalailNubuwwa.Shamela0006569-ara1,0.83864,RELEASE
002186Vols.automARkdown,0.83859,RAW_Masaha
0282IbnIshaqJahdami.FadlSalat.Shamela0001462-ara1,0.83851,RELEASE
0360Ramhurmuzi.MuhaddithFasil.Shamela0013059-ara1,0.8383,RELEASE
0430AbuNucaymIsbahani.HilyatAwliya.Shamela0010495-ara1,0.83815,RELEASE
6569.json,0.83794,RAWrabicaShamAY1
0279Tirmidhi.ShamailMuhammadiyya.JK000139-ara1,0.83776,RELEASE
0307AbuYaclaMawsili.Mafarid.Shia001975-ara1,0.8377,RELEASE
22579.bok.json,0.83741,RAWrabicaSham19Y
Shamela022579.txt,0.83691,raw_ShamelaY19
0316IbnAbiDawudSijistani.Bacth.JK011319-ara1,0.83688,RELEASE
0316IbnAbiDawudSijistani.Bacth.ShamAY0033692-ara1,0.83675,RELEASE
8233.json,0.83644,RAWrabicaShamAY1
32787.json,0.83625,RAWrabicaShamAY2
32875.json,0.83616,RAWrabicaShamAY2
22579.json,0.83571,RAWrabicaShamAY2
0272Fakihi.AkhbarMakka.JK000934-ara1,0.83557,RELEASE
0396IbnHasanDimashqi.Ahadith.Shamela0030022-ara1,0.83532,RELEASE
Shamela029721.txt,0.83524,raw_ShamelaY19
32919.json,0.83514,RAWrabicaShamAY2
0385IbnShahin.SharhMadhahib.Shamela0013124-ara1,0.8351,RELEASE
0294IbnHarunBazzaz.Fawaid.ShamAY0033671-ara1,0.83491,RELEASE
0393AbuTahirMukhallis.SabcatMajalis.Shamela0008233-ara1,0.8349,RELEASE
0360Ramhurmuzi.AmthalHadith.JK000422-ara1,0.83481,RELEASE
0262YacqubIbnShayba.MusnadCumarIbnKhattab.Shamela0013172-ara1,0.83467,RELEASE
33671.json,0.83466,RAWrabicaShamAY2
9886.json,0.83464,RAWrabicaShamAY1
Shia001927,0.83444,RAWrabica040000
22804.bok.json,0.83379,RAWrabicaSham19Y
0262YacqubIbnShayba.MusnadCumarIbnKhattab.JK000713-ara1,0.83367,RELEASE
22804.json,0.83365,RAWrabicaShamAY2
29847.json,0.83359,RAWrabicaShamAY2
0360Ramhurmuzi.AmthalHadith.ShamAY0033533-ara1,0.83322,RELEASE
0376AbuCamrHiri.Fawaid.ShamAY0032919-ara1,0.83297,RELEASE
30022.json,0.83281,RAWrabicaShamAY2
0246HishamSulami.HadithHisham.Shamela0013112-ara1,0.8326,RELEASE
7819.json,0.83257,RAWrabicaShamAY1
33533.json,0.83249,RAWrabicaShamAY2
Sham30K0044145,0.83189,RAWrabica030000
Sham30K0008251,0.83189,RAWrabica010000
0533IbnTahirAbuQasimShahhami.Ahadith.ShamAY0032847-ara1,0.83181,RELEASE
29721.json,0.8318,RAWrabicaShamAY2
Shia001949,0.83169,RAWrabica040000
Shamela029859.txt,0.83163,raw_ShamelaY19
Shamela022804.txt,0.83156,raw_ShamelaY19
0310IbnAhmadDulabi.KunaWaAsma.JK007016-ara1,0.83153,RELEASE
1360.bok.json,0.83145,RAWrabicaSham19Y
Shamela029713.txt,0.83141,raw_ShamelaY19
1360.json,0.83141,RAWrabicaShamAY1
32847.json,0.83126,RAWrabicaShamAY2
13112.json,0.8311,RAWrabicaShamAY2
13162.bok.json,0.83109,RAWrabicaSham19Y
Shamela029781.txt,0.83105,raw_ShamelaY19
0430AbuNucaymIsbahani.FadailKhulafaRashidin.Shamela0008237-ara1,0.83099,RELEASE
33700.json,0.83097,RAWrabicaShamAY2
6449.json,0.83076,RAWrabicaShamAY1
0360Tabarani.MusnadShamiyyin.Shamela0013162-ara1,0.83076,RELEASE
0310IbnCaliMadaini.Fawaid.Shamela0029713-ara1,0.83073,RELEASE
0360Ramhurmuzi.AmthalHadith.Shamela0013083-ara1,0.8307,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.83057,RELEASE
Sham30K0044098,0.83047,RAWrabica030000
0331IbnMukhalladCattar.MuntaqaHadith.Shamela0029859-ara1,0.83022,RELEASE
4182.json,0.83016,RAWrabicaShamAY1
0360Tabarani.MucjamKabir.JK000474-ara1,0.83012,RELEASE
21544.json,0.82993,RAWrabicaShamAY2
13001.json,0.82991,RAWrabicaShamAY2
0313IbnZaydanKufi.Musnad.Shamela0021488-ara1,0.82932,RELEASE
Sham30K0008237,0.82928,RAWrabica010000
0180IbnJacfarAnsari.HadithIsmacil.Shamela0021544-ara1,0.82914,RELEASE
0310IbnAhmadDulabi.KunaWaAsma.Shamela0013056-ara1,0.82912,RELEASE
13056.json,0.82898,RAWrabicaShamAY2
0240AbuHafsIbnZuraraTarsusi.Nuskha.ShamAY0032875-ara1,0.82894,RELEASE
32752.json,0.82894,RAWrabicaShamAY2
0369AbuShaykhIsbahani.TabaqatMuhaddithin.Shamela0004182-ara1,0.82884,RELEASE
0303IbnSufyanNasawi.Arbacuna.Shamela0008205-ara1,0.82875,RELEASE
13162.json,0.82871,RAWrabicaShamAY2
0303IbnSufyanNasawi.Arbacuna.JK000566-ara1,0.82859,RELEASE
26559.json,0.82843,RAWrabicaShamAY2
Shamela029847.txt,0.8284,raw_ShamelaY19
0255CabdAllahDarimi.Sunan.Shia001713Vols-ara2,0.82811,RELEASE
0535QawwamSunna.DalailNubuwwa.JK000657-ara1,0.82807,RELEASE
0238MuhammadBarjlani.KaramWaJawd.Shamela0007819-ara1,0.82804,RELEASE
13083.json,0.82776,RAWrabicaShamAY2
Shamela021544.txt,0.82769,raw_ShamelaY19
0311AbuBakrKhallal.Sunna.Shamela0001077-ara1,0.82768,RELEASE
