unknown,TFIDF_cosine,libVar
9294.json,0.98591,RAWrabicaShamAY1
12524.json,0.91722,RAWrabicaShamAY2
0235IbnAbiShayba.Adab.Shamela0000638-ara1,0.9172,RELEASE
0224QasimIbnSalam.FadailQuran.Shamela0012524-ara1,0.91669,RELEASE
0197WakicIbnJarrah.Zuhd.Shamela0021545-ara1,0.91236,RELEASE
Shamela021545.txt,0.91151,raw_ShamelaY19
638.json,0.90824,RAWrabicaShamAY1
21545.json,0.90823,RAWrabicaShamAY2
0235IbnAbiShayba.Adab.JK009175-ara1,0.90672,RELEASE
0235IbnAbiShayba.Musannaf.Shia001904Vols-ara1,0.90416,RELEASE
0235IbnAbiShayba.Musannaf.ShamAY0033966-ara1,0.90367,RELEASE
0235IbnAbiShayba.Musannaf.Shamela0009944-ara1,0.90296,RELEASE
31642.json,0.90237,RAWrabicaShamAY2
0235IbnAbiShayba.Musannaf.ShamAY0033931-ara1,0.90233,RELEASE
0235IbnAbiShayba.Musannaf.ShamAY0033967-ara1,0.90222,RELEASE
0235IbnAbiShayba.Musannaf.JK000786-ara1,0.90206,RELEASE
33967.json,0.90169,RAWrabicaShamAY2
33931.json,0.90166,RAWrabicaShamAY2
33852.json,0.89964,RAWrabicaShamAY2
0233YahyaIbnMacin.HadithYahya.JK001484-ara1,0.89932,RELEASE
33966.json,0.89879,RAWrabicaShamAY2
0228IbnHammadKhuzaci.Fitan.Shamela0013047-ara1,0.89842,RELEASE
13047.json,0.89825,RAWrabicaShamAY2
0228IbnHammadKhuzaci.Fitan.JK000025-ara1,0.89817,RELEASE
0228IbnHammadKhuzaci.Fitan.Shia003470-ara1,0.89811,RELEASE
13047.bok.json,0.89807,RAWrabicaSham19Y
0228IbnHammadKhuzaci.Fitan.ShamAY0033953-ara1,0.89754,RELEASE
33984.json,0.89698,RAWrabicaShamAY2
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.89696,RELEASE
0227IbnMansurKhurasani.Sunan.JK001473-ara1,0.89615,RELEASE
