unknown,TFIDF_cosine,libVar
33931.json,0.99994,RAWrabicaShamAY2
0235IbnAbiShayba.Musannaf.ShamAY0033967-ara1,0.99992,RELEASE
33967.json,0.99987,RAWrabicaShamAY2
0235IbnAbiShayba.Musannaf.Shamela0009944-ara1,0.99859,RELEASE
31642.json,0.99858,RAWrabicaShamAY2
0235IbnAbiShayba.Musannaf.Shia001904Vols-ara1,0.99757,RELEASE
0235IbnAbiShayba.Musannaf.ShamAY0033966-ara1,0.99694,RELEASE
33966.json,0.99387,RAWrabicaShamAY2
0235IbnAbiShayba.Musannaf.JK000786-ara1,0.98785,RELEASE
Shia001904Vols,0.98701,RAWrabica040000
0235IbnAbiShayba.Adab.JK009175-ara1,0.93651,RELEASE
0235IbnAbiShayba.Adab.Shamela0000638-ara1,0.92667,RELEASE
0219AbuNucaymIbnDukayn.Salat.JK009197-ara1,0.92168,RELEASE
0219AbuNucaymIbnDukayn.Salat.Shamela0009644-ara1,0.92163,RELEASE
0430AbuNucaymIsbahani.Salat.ShamAY0033694-ara1,0.91957,RELEASE
638.json,0.91952,RAWrabicaShamAY1
9644.json,0.91056,RAWrabicaShamAY1
33694.json,0.91001,RAWrabicaShamAY2
0233YahyaIbnMacin.HadithYahya.Shamela0009294-ara1,0.90233,RELEASE
12524.json,0.89987,RAWrabicaShamAY2
0224QasimIbnSalam.FadailQuran.Shamela0012524-ara1,0.89943,RELEASE
0227IbnMansurKhurasani.Sunan.JK001473-ara1,0.89895,RELEASE
13133.json,0.88687,RAWrabicaShamAY2
0197WakicIbnJarrah.Zuhd.JK011365-ara1,0.88467,RELEASE
13027.json,0.88373,RAWrabicaShamAY2
0243HannadIbnSari.Zuhd.Shamela0013027-ara1,0.88352,RELEASE
0243HannadIbnSari.Zuhd.JK000085-ara1,0.88223,RELEASE
Shamela021545.txt,0.88029,raw_ShamelaY19
0197WakicIbnJarrah.Zuhd.Shamela0021545-ara1,0.88023,RELEASE
0224QasimIbnSalam.FadailQuran.JK011565-ara1,0.8801,RELEASE
26577.json,0.87735,RAWrabicaShamAY2
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.87673,RELEASE
21545.json,0.87536,RAWrabicaShamAY2
Shamela026577.txt,0.87499,raw_ShamelaY19
0228IbnHammadKhuzaci.Fitan.JK000025-ara1,0.87418,RELEASE
0228IbnHammadKhuzaci.Fitan.Shamela0013047-ara1,0.87284,RELEASE
13047.bok.json,0.87274,RAWrabicaSham19Y
13047.json,0.87204,RAWrabicaShamAY2
9294.json,0.87111,RAWrabicaShamAY1
33852.json,0.87109,RAWrabicaShamAY2
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.87012,RELEASE
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.86992,RELEASE
0228IbnHammadKhuzaci.Fitan.Shia003470-ara1,0.86918,RELEASE
0228IbnHammadKhuzaci.Fitan.ShamAY0033953-ara1,0.86829,RELEASE
0279Tirmidhi.CilalKabir.Shamela0013131-ara1,0.86694,RELEASE
0279Tirmidhi.CilalKabir.JK000679-ara1,0.86667,RELEASE
13131.json,0.86646,RAWrabicaShamAY2
Sham30K0002559,0.86636,RAWrabica005000
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.86629,RELEASE
33984.json,0.8653,RAWrabicaShamAY2
33960.json,0.86466,RAWrabicaShamAY2
33953.json,0.86422,RAWrabicaShamAY2
1160.json,0.86387,RAWrabicaShamAY1
0273IbnMaja.Sunan.Shamela0001198-ara1,0.8621,RELEASE
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.86179,RELEASE
0285IbrahimHarbi.GharibHadith.Shia003903Vols-ara1,0.86095,RELEASE
38030.json,0.85948,RAWrabicaShamAY3
0273AbuBakrAthram.Sunan.Shamela0026550-ara1,0.8594,RELEASE
Sham30K0033906,0.85651,RAWrabica020000
0227IbnMansurKhurasani.TafsirMinSunanSacid.JK000784-ara1,0.85565,RELEASE
0227IbnMansurKhurasani.Sunan.ShamAY0033972-ara1,0.85432,RELEASE
26550.json,0.8541,RAWrabicaShamAY2
0227IbnMansurKhurasani.Sunan.ShamAY0038067-ara1,0.85402,RELEASE
33972.json,0.85287,RAWrabicaShamAY2
38104.json,0.8527,RAWrabicaShamAY3
33576.json,0.85265,RAWrabicaShamAY2
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.85161,RELEASE
32934.json,0.85126,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.85102,RELEASE
33959.json,0.85072,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.85072,RELEASE
38067.json,0.85028,RAWrabicaShamAY3
13075.json,0.84972,RAWrabicaShamAY2
