unknown,TFIDF_cosine,libVar
Shamela026808.txt,0.99973,raw_ShamelaY19
26808.json,0.9973,RAWrabicaShamAY2
34338.json,0.88879,RAWrabicaShamAY3
0597IbnJawzi.SifatSafwa.Shamela0012031-ara1,0.87641,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.Shamela0005567-ara1,0.87446,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.8744,RELEASE
5567.json,0.87384,RAWrabicaShamAY1
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.87215,RELEASE
0179MalikIbnAnas.Muwatta.ShamAY0033921-ara1,0.86752,RELEASE
Shamela124910.txt,0.86546,raw_ShamelaY19
0581IbnKharratIshbili.AhkamSughra.Sham19Y0017729-ara1,0.86422,RELEASE
33921.json,0.86351,RAWrabicaShamAY2
0581IbnKharratIshbili.AhkamSughra.Sham19Y0017729-ara1,0.86207,RELEASE
Shamela037831.txt,0.86171,raw_ShamelaY19
0535QawwamSunna.SiyarSalaf.Shamela0021493-ara1,0.85938,RELEASE
17616.bok.json,0.8586,RAWrabicaSham19Y
003104.automARkdown,0.85742,RAW_Masaha
Sham30K0002504,0.85731,RAWrabica005000
12031.bok.json,0.85699,RAWrabicaSham19Y
1175.json,0.85697,RAWrabicaShamAY1
0656IbnCabdQawiMundhiri.MukhtasarSahihMuslim.Sham19Y0017616-ara1,0.85694,RELEASE
37299.json,0.85669,RAWrabicaShamAY3
0535QawwamSunna.SiyarSalaf.Shamela0021493-ara1,0.85663,RELEASE
Shamela021493.txt,0.85628,raw_ShamelaY19
32321.json,0.85615,RAWrabicaShamAY2
21493.json,0.8561,RAWrabicaShamAY2
37295.json,0.85543,RAWrabicaShamAY3
12031.json,0.85481,RAWrabicaShamAY2
001838.automARkdown,0.85448,RAW_Masaha
8528.bok.json,0.85448,RAWrabicaSham19Y
8528.json,0.85443,RAWrabicaShamAY1
Shamela127656.txt,0.85396,raw_ShamelaY19
0600CabdGhaniMuqaddasi.CumdatAhkam.Sham19Y0011194-ara1,0.85383,RELEASE
0656AbuCabbasAnsariQurtubi.IkhtisarSahihBukhari.Sham19Y0127656-ara1,0.8535,RELEASE
0497IbnFarajIbnTallacQurtubi.AqdiyatRasul.Shamela0009769-ara1,0.85339,RELEASE
6075.bok.json,0.85201,RAWrabicaSham19Y
Shamela098086.txt,0.85141,raw_ShamelaY19
0497IbnFarajIbnTallacQurtubi.AqdiyatRasul.Shamela0009769-ara1,0.85138,RELEASE
6075.json,0.8509,RAWrabicaShamAY1
1364CamirIbnKHamisMaliki.GhayatMatlub.ShamIbadiyya0000459-ara1,0.84999,RELEASE
0535QawwamSunna.MabcathWaMaghazi.ShamAY0034434-ara1,0.84908,RELEASE
37393.json,0.84901,RAWrabicaShamAY3
Shamela021543.txt,0.84876,raw_ShamelaY19
Shamela122394.txt,0.84845,raw_ShamelaY19
Shamela021502.txt,0.84835,raw_ShamelaY19
5919.json,0.84831,RAWrabicaShamAY1
