unknown,TFIDF_cosine,libVar
33596.json,0.99935,RAWrabicaShamAY2
11147.json,0.87216,RAWrabicaShamAY2
0751IbnQayyimJawziyya.HadiArwah.JK000083-ara1,0.86643,RELEASE
8407.json,0.86583,RAW_ABLibrary
0643DiyaDinMuqaddasi.SifatJanna.Shamela0012740-ara1,0.8655,RELEASE
12740.json,0.86325,RAWrabicaShamAY2
9698.json,0.84717,RAWrabicaShamAY1
0399IbnAbiZamanaynIlbiri.RiyadJanna.Shamela0009698-ara1,0.84701,RELEASE
0399IbnAbiZamanaynIlbiri.RiyadJanna.Shamela0009698-ara1,0.84522,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0034123-ara1,0.83827,RELEASE
34425.json,0.83602,RAWrabicaShamAY3
34123.json,0.83531,RAWrabicaShamAY2
0373AbuLaythSamarqandi.TanbihGhafilin.Shamela0010488-ara1,0.83333,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0034123-ara1,0.83262,RELEASE
0795IbnRajabHanbali.AhwalQubur.ShamAY0033761-ara3,0.83221,RELEASE
10488.json,0.83048,RAWrabicaShamAY1
10900.json,0.82968,RAWrabicaShamAY2
8377.json,0.829,RAW_ABLibrary
1671.html,0.82896,RAWrabicaRafed
0373AbuLaythSamarqandi.TanbihGhafilin.Shamela0010488-ara1,0.82849,RELEASE
3408.html,0.82814,RAWrabicaRafed
34809.json,0.82797,RAWrabicaShamAY3
4445.json,0.82577,RAWrabicaShamAY1
0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya.Shamela0013023-ara1,0.8254,RELEASE
777.json,0.82509,RAW_ABLibrary
34852.json,0.82485,RAWrabicaShamAY3
3414.html,0.82472,RAWrabicaRafed
34848.json,0.8245,RAWrabicaShamAY3
001924Vols.automARkdown,0.82445,RAW_Masaha
0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya.JK001435-ara1,0.82414,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.Shamela0005567-ara1,0.82391,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.82381,RELEASE
0181IbnMubarak.Jihad.ShamAY0033661-ara1,0.82379,RELEASE
0181IbnMubarak.Zuhd.JK006954-ara1,0.8232,RELEASE
Shamela021502.txt,0.82267,raw_ShamelaY19
13023.json,0.82263,RAWrabicaShamAY2
21502.json,0.82228,RAWrabicaShamAY2
0774IbnKathir.Bidaya.Shamela0004445-ara1,0.82205,RELEASE
5567.json,0.82197,RAWrabicaShamAY1
23708.json,0.82171,RAWrabicaShamAY2
Shamela023708.txt,0.82146,raw_ShamelaY19
10463.json,0.82143,RAWrabicaShamAY1
33661.json,0.82135,RAWrabicaShamAY2
Shamela021536.txt,0.82127,raw_ShamelaY19
0785IbnMuhammadShamsDinManbiji.TasliyatAhlMasaib.Shamela0021502-ara1,0.82092,RELEASE
21536.json,0.82075,RAWrabicaShamAY2
33761.json,0.82065,RAWrabicaShamAY2
Sham30K0002628,0.82062,RAWrabica005000
8352.json,0.82061,RAW_ABLibrary
32125.json,0.82061,RAWrabicaShamAY2
Sham30K0002623,0.82045,RAWrabica005000
0671AbuCabdAllahQurtubi.TadhkiraFiAhwalMawta.ShamAY0033760-ara1,0.81974,RELEASE
33754.json,0.8195,RAWrabicaShamAY2
0380AbuBakrKalabadhi.BahrFawaid.Shamela0013084-ara1,0.81912,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.81896,RELEASE
