unknown,TFIDF_cosine,libVar
0238IbnRahawayh.Musnad.Shamela0013159-ara1,0.99918,RELEASE
13159.bok.json,0.99917,RAWrabicaSham19Y
13159.json,0.99916,RAWrabicaShamAY2
0238IbnRahawayh.Musnad.Shia001913Vols-ara1,0.96112,RELEASE
38039.json,0.91526,RAWrabicaShamAY3
13155.json,0.90807,RAWrabicaShamAY2
0235IbnAbiShayba.Musnad.Shamela0013155-ara1,0.90757,RELEASE
0235IbnAbiShayba.Musnad.JK007049-ara1,0.90548,RELEASE
0204Shafici.Musnad.Shamela0009344-ara1,0.88602,RELEASE
0204Shafici.Musnad.Shia001706-ara1,0.88357,RELEASE
2075.json,0.88308,RAWrabicaShamAY1
0204Shafici.Musnad.JK000494-ara1,0.88103,RELEASE
0303Nasai.Tafsir.Tafsir02100-ara1,0.87689,RELEASE
9323.json,0.87656,RAWrabicaShamAY1
0353IbnMuhammadMakki.Fawaid.Shamela0009323-ara1,0.87561,RELEASE
0204Shafici.Musnad.Shamela0009615-ara1,0.87434,RELEASE
9615.json,0.87138,RAWrabicaShamAY1
Sham30K0038985,0.87031,RAWrabica025000
32818.json,0.86816,RAWrabicaShamAY2
12981.json,0.86702,RAWrabicaShamAY2
0292AbuBakrBazzar.BahrZakhkhar.Shamela0012981-ara1,0.86686,RELEASE
0168IbnTahman.Mashyakha.Shamela0024831-ara1,0.86662,RELEASE
12981.bok.json,0.86652,RAWrabicaSham19Y
22848.json,0.8636,RAWrabicaShamAY2
0168IbnTahman.Mashyakha.JK000625-ara1,0.86337,RELEASE
Shamela022848.txt,0.86254,raw_ShamelaY19
0292AbuBakrBazzar.BahrZakhkhar.JK000783-ara1,0.86188,RELEASE
24831.json,0.86069,RAWrabicaShamAY2
Shamela024831.txt,0.859,raw_ShamelaY19
13033.json,0.85764,RAWrabicaShamAY2
0264IbnYahyaMuzani.SunanMathura.Shamela0013033-ara1,0.85746,RELEASE
1500Anonymous.MiatHadithSaqitaMinSunanKubra.Shamela0008623-ara1,0.85587,RELEASE
0312BaghandiSaghir.HadithShaybanIbnFarrukh.ShamAY0032818-ara1,0.85579,RELEASE
8623.json,0.85451,RAWrabicaShamAY1
29120.json,0.85006,RAWrabicaShamAY2
0150AbuHanifa.Musnad.Shamela0029120-ara1,0.84994,RELEASE
33998.json,0.84965,RAWrabicaShamAY2
0303Nasai.SunanSughra.Shamela0000829-ara1,0.84918,RELEASE
0303Nasai.SunanSughra.ShamAY0033998-ara1,0.84908,RELEASE
0204Shafici.Musnad.Shamela0021495-ara1,0.84816,RELEASE
13066.json,0.84789,RAWrabicaShamAY2
21495.json,0.84786,RAWrabicaShamAY2
0335IbnKulaybShashi.Musnad.Shamela0013066-ara1,0.84719,RELEASE
Shamela029120.txt,0.84591,raw_ShamelaY19
Shamela021495.txt,0.84466,raw_ShamelaY19
0303Nasai.SunanSughra.Shia001740Vols-ara1,0.84427,RELEASE
33910.json,0.84415,RAWrabicaShamAY2
33971.json,0.84296,RAWrabicaShamAY2
0317AbuQasimBaghawi.HadithMuscab.JK007048-ara1,0.84244,RELEASE
0317AbuQasimBaghawi.HadithMuscab.Shamela0005733-ara1,0.84233,RELEASE
0181IbnMubarak.Musnad.JK000568-ara1,0.84166,RELEASE
