unknown,TFIDF_cosine,libVar
35784.json,0.96089,RAWrabicaShamAY3
0370IbnBishrAmidi.MutalifWaMukhtalif.JK010675-ara1,0.64607,RELEASE
0370IbnBishrAmidi.MutalifWaMukhtalif.Shamela0010913-ara1,0.64599,RELEASE
0370IbnBishrAmidi.MutalifWaMukhtalif.Shamela0010913-ara1,0.64541,RELEASE
10913.json,0.63632,RAWrabicaShamAY2
0384IbnCimranMarzubani.MucjamShucara.Shamela0026552-ara1,0.63574,RELEASE
0384IbnCimranMarzubani.MucjamShucara.JK010275-ara1,0.63555,RELEASE
0384IbnCimranMarzubani.MucjamShucara.Shamela0026552-ara1,0.63538,RELEASE
26552.json,0.62638,RAWrabicaShamAY2
Shamela026552.txt,0.6263,raw_ShamelaY19
002348.automARkdown,0.61288,RAW_Masaha
0456IbnHazm.JawamicSira.JK011036-ara1,0.61052,RELEASE
1036.bok.json,0.60876,RAWrabicaSham19Y
1036.json,0.60819,RAWrabicaShamAY1
0296MuhammadIbnJarrah.ManIsmuhCamr.JK009209-ara1,0.60584,RELEASE
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.6039,RELEASE
0418WazirMaghribi.Inas.JK010492-ara1,0.60386,RELEASE
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.60382,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shia003457-ara1,0.60363,RELEASE
0296MuhammadIbnJarrah.ManIsmuhCamr.Shamela0000677-ara1,0.60357,RELEASE
0296MuhammadIbnJarrah.ManIsmuhCamr.Shamela0000677-ara1,0.60314,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.60228,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.60203,RELEASE
0463IbnCabdBarr.InbahCalaQabail.Shia002117-ara1,0.60193,RELEASE
0463IbnCabdBarr.InbahCalaQabail.JK000948-ara1,0.60189,RELEASE
0463IbnCabdBarr.InbahCalaQabail.Shamela0006696-ara1,0.60183,RELEASE
492.json,0.60109,RAWrabicaShamAY1
0463IbnCabdBarr.InbahCalaQabail.Shia002117-ara1,0.60084,RELEASE
677.json,0.59973,RAWrabicaShamAY1
0245MuhammadIbnHabib.Muhabbar.JK011200-ara1,0.59947,RELEASE
0475IbnMakula.IkmalFiRafcIrtiyab.Shia003146Vols-ara1,0.59926,RELEASE
0456IbnHazm.JawamicSira.Shamela0001036-ara1,0.59861,RELEASE
0418WazirMaghribi.AdabKhawas.Shamela0012392-ara1,0.5979,RELEASE
0230IbnSacd.TabaqatKubra.Shamela0007666-ara5,0.59773,RELEASE
6696.json,0.59771,RAWrabicaShamAY1
0511SalmaSahari.Ansab.Shamela0000491-ara1,0.59667,RELEASE
12205.bok.json,0.59659,RAWrabicaSham19Y
7450.json,0.59653,RAWrabicaShamAY1
0511SalmaSahari.Ansab.JK010491-ara1,0.59649,RELEASE
0510CawtabiSuhari.Ansab.ShamIbadiyya0000248-ara1,0.59635,RELEASE
Shia003457,0.59518,RAWrabica045000
0511SalmaSahari.Ansab.JK010491-ara1,0.59446,RELEASE
0510CawtabiSuhari.Ansab.ShamIbadiyya0000248-ara1,0.59432,RELEASE
0491.bok.json,0.59423,RAWrabicaSham19Y
491.json,0.5931,RAWrabicaShamAY1
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1,0.59095,RELEASE
0195MuarrijSadusi.HadhfMinNasabQuraysh.JK010496-ara1,0.59062,RELEASE
0195MuarrijSadusi.HadhfMinNasabQuraysh.Shamela0000496-ara1,0.59026,RELEASE
12205.json,0.58986,RAWrabicaShamAY2
3214.html,0.58974,RAWrabicaRafed
0496.bok.json,0.58955,RAWrabicaSham19Y
12392.json,0.58809,RAWrabicaShamAY2
001959.automARkdown,0.58792,RAW_Masaha
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0.58747,RELEASE
496.json,0.58723,RAWrabicaShamAY1
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0.58721,RELEASE
0463IbnCabdBarr.Durar.Shamela0010695-ara1,0.58612,RELEASE
0213IbnHisham.SiraNabawiyya.Shia003667Vols-ara1,0.58609,RELEASE
9728.json,0.58607,RAWrabicaShamAY1
0230IbnSacd.TabaqatKubra.JK000744-ara5,0.58603,RELEASE
0463IbnCabdBarr.IsticabFiMacrifatAshab.JK000778-ara1,0.58587,RELEASE
0463IbnCabdBarr.IsticabFiMacrifatAshab.Zaydiyya0000058-ara1,0.58568,RELEASE
0463IbnCabdBarr.Durar.Shamela0010695-ara1,0.58551,RELEASE
Sham30K0034037,0.58503,RAWrabica020000
0240KhalifaIbnKhayyat.Tabaqat.Shamela0008682-ara1,0.58402,RELEASE
0463IbnCabdBarr.IsticabFiMacrifatAshab.JK000778-ara1,0.58386,RELEASE
0645TilimsaniBurri.Jawhara.Shamela0026484-ara1,0.58368,RELEASE
10695.bok.json,0.58312,RAWrabicaSham19Y
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.5831,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.58287,RELEASE
10695.json,0.58261,RAWrabicaShamAY1
0213IbnHisham.SiraNabawiyya.ShamAY0034440-ara1,0.58084,RELEASE
0213IbnHisham.SiraNabawiyya.Shamela0007450-ara1,0.58033,RELEASE
0230IbnSacd.TabaqatKubra.Shamela0009352-ara5,0.58006,RELEASE
31576.json,0.57993,RAWrabicaShamAY2
0213IbnHisham.SiraNabawiyya.JK000797-ara1,0.57956,RELEASE
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1,0.57948,RELEASE
7480.json,0.57903,RAW_ABLibrary
9352.bok.json,0.57901,RAWrabicaSham19Y
Shia003146Vols,0.57849,RAWrabica045000
0240KhalifaIbnKhayyat.Tabaqat.ShamAY0034615-ara1,0.57843,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.JK000516-ara2,0.57827,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.57826,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.JK010487-ara1,0.57819,RELEASE
003361Vols.automARkdown,0.57819,RAW_Masaha
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.57817,RELEASE
0213IbnHisham.SiraNabawiyya.Shamela0023833-ara1,0.57765,RELEASE
9352.json,0.5764,RAWrabicaShamAY1
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.57596,RELEASE
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,0.57592,RELEASE
26484.json,0.57584,RAWrabicaShamAY2
7522.json,0.57578,RAW_ABLibrary
0240KhalifaIbnKhayyat.Tarikh.Shamela0006615-ara1,0.57571,RELEASE
23833.bok.json,0.57566,RAWrabicaSham19Y
Shamela026484.txt,0.57542,raw_ShamelaY19
487.json,0.57533,RAWrabicaShamAY1
0475IbnMakula.TahdhibMustamirr.JK000773-ara1,0.57527,RELEASE
0475IbnMakula.IkmalFiRafcIrtiyab.Shamela0022659-ara1,0.57521,RELEASE
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.5752,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.57515,RELEASE
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.57492,RELEASE
0240KhalifaIbnKhayyat.Tarikh.JK000412-ara1,0.57477,RELEASE
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.57441,RELEASE
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.57415,RELEASE
37388.json,0.57411,RAWrabicaShamAY3
0562Samcani.Ansab.Shamela0012317-ara1,0.57409,RELEASE
0204IbnKalbi.JamharatAnsab.JK010504-ara1,0.57409,RELEASE
0276IbnQutaybaDinawari.Macarif.JK001136-ara1,0.57405,RELEASE
0562Samcani.Ansab.Sham30K0002009-ara1,0.57369,RELEASE
0562Samcani.Ansab.Sham30K0012317-ara1,0.57355,RELEASE
0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1,0.5733,RELEASE
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.57326,RELEASE
Shamela023833.txt,0.57316,raw_ShamelaY19
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.57311,RELEASE
0562Samcani.Ansab.ShamAY0034668-ara1,0.57296,RELEASE
6615.json,0.57265,RAWrabicaShamAY1
0584IbnMusaHazimi.CujalatMubtadi.Shamela0096966-ara1,0.57257,RELEASE
