unknown,TFIDF_cosine,libVar
0245MuhammadIbnHabib.MukhtalafQabail.Shamela0026540-ara1,0.99996,RELEASE
Shamela026540.txt,0.99989,raw_ShamelaY19
26540.json,0.99939,RAWrabicaShamAY2
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.97668,RELEASE
0418WazirMaghribi.Inas.JK010492-ara1,0.97667,RELEASE
492.json,0.9766,RAWrabicaShamAY1
0240KhalifaIbnKhayyat.Tabaqat.Shamela0008682-ara1,0.92574,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.ShamAY0034615-ara1,0.92507,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.JK000516-ara2,0.92505,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.92433,RELEASE
34615.json,0.92302,RAWrabicaShamAY3
0550AbuHajjajAshcari.TacrifFiAnsab.JK010487-ara1,0.9114,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.91138,RELEASE
487.json,0.91068,RAWrabicaShamAY1
96966.bok.json,0.90643,RAWrabicaSham19Y
0584IbnMusaHazimi.CujalatMubtadi.Shamela0096966-ara1,0.90632,RELEASE
2060.json,0.90616,RAWrabicaShamAY1
0584IbnMusaHazimi.CujalatMubtadi.JK010497-ara1,0.90584,RELEASE
Shamela096966.txt,0.90511,raw_ShamelaY19
Shia003056,0.89654,RAWrabica045000
0463IbnCabdBarr.InbahCalaQabail.Shamela0006696-ara1,0.89544,RELEASE
0463IbnCabdBarr.InbahCalaQabail.JK000948-ara1,0.89535,RELEASE
0463IbnCabdBarr.InbahCalaQabail.Shia002117-ara1,0.89526,RELEASE
6696.json,0.8946,RAWrabicaShamAY1
0475IbnMakula.IkmalFiRafcIrtiyab.Shamela0022659-ara1,0.88675,RELEASE
Shamela022659.txt,0.88607,raw_ShamelaY19
31576.json,0.88437,RAWrabicaShamAY2
2612.html,0.88058,RAWrabicaRafed
0204IbnKalbi.NasabMacad.Shamela0028172-ara1,0.87787,RELEASE
0475IbnMakula.IkmalFiRafcIrtiyab.Shia003146Vols-ara1,0.87774,RELEASE
0204IbnKalbi.NasabMacad.JK010486-ara1,0.87764,RELEASE
8258.json,0.87726,RAW_ABLibrary
28172.bok.json,0.87619,RAWrabicaSham19Y
0475IbnMakula.IkmalFiRafcIrtiyab.JK000582-ara1,0.87469,RELEASE
0234AbuHasanSacdi.TasmiyatManRuwiya.JK000504-ara1,0.8742,RELEASE
0234AbuHasanSacdi.TasmiyatManRuwiya.Shamela0005893-ara1,0.87411,RELEASE
Shamela028172.txt,0.87323,raw_ShamelaY19
28172.json,0.87323,RAWrabicaShamAY2
5893.json,0.87258,RAWrabicaShamAY1
Sham30K0034006,0.87238,RAWrabica020000
Sham30K0044040,0.86857,RAWrabica030000
1036.json,0.86791,RAWrabicaShamAY1
1036.bok.json,0.86754,RAWrabicaSham19Y
0456IbnHazm.JawamicSira.JK011036-ara1,0.86752,RELEASE
0385Daraqutni.DhikrAsmaTabicin.JK001323-ara1,0.86734,RELEASE
0370IbnBishrAmidi.MutalifWaMukhtalif.Shamela0010913-ara1,0.86361,RELEASE
0370IbnBishrAmidi.MutalifWaMukhtalif.JK010675-ara1,0.86352,RELEASE
0405HakimNaysaburi.TasmiyatManAkhrajahum.JK000759-ara1,0.86301,RELEASE
0385Daraqutni.DhikrAsmaTabicin.Shamela0005881-ara1,0.86298,RELEASE
0405HakimNaysaburi.TasmiyatManAkhrajahum.Shamela0005853-ara1,0.86283,RELEASE
Sham30K0039090,0.86265,RAWrabica025000
0245MuhammadIbnHabib.Muhabbar.Shia003457-ara1,0.86118,RELEASE
10913.json,0.86097,RAWrabicaShamAY2
8682.json,0.85791,RAWrabicaShamAY1
5881.bok.json,0.85781,RAWrabicaSham19Y
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.85748,RELEASE
5881.json,0.85725,RAWrabicaShamAY1
0204IbnKalbi.JamharatAnsab.JK010504-ara1,0.85431,RELEASE
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.85429,RELEASE
0504.bok.json,0.85411,RAWrabicaSham19Y
0456IbnHazm.JawamicSira.Shamela0001036-ara1,0.85357,RELEASE
504.json,0.85326,RAWrabicaShamAY1
2235.html,0.85235,RAWrabicaRafed
Shamela096233.txt,0.8492,raw_ShamelaY19
12205.bok.json,0.84815,RAWrabicaSham19Y
0245MuhammadIbnHabib.Muhabbar.JK011200-ara1,0.84806,RELEASE
9147.json,0.84765,RAW_ABLibrary
12205.json,0.84672,RAWrabicaShamAY2
001959.automARkdown,0.84582,RAW_Masaha
9728.json,0.84563,RAWrabicaShamAY1
Shamela0008682,0.84549,RAWrabica035000
0456IbnHazm.JawamicSira.Shamela0009728-ara1,0.84503,RELEASE
8945.json,0.84457,RAW_ABLibrary
7480.json,0.84333,RAW_ABLibrary
5853.json,0.84261,RAWrabicaShamAY1
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.84242,RELEASE
0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna.Shamela0096233-ara1,0.84228,RELEASE
9352.bok.json,0.83938,RAWrabicaSham19Y
9352.json,0.83926,RAWrabicaShamAY1
34667.json,0.83897,RAWrabicaShamAY3
0230IbnSacd.TabaqatKubra.Shamela0009352-ara5,0.83847,RELEASE
2467.html,0.83778,RAWrabicaRafed
Shia002117,0.83652,RAWrabica040000
0230IbnSacd.TabaqatKubra.Shamela0007666-ara5,0.83628,RELEASE
0230IbnSacd.TabaqatKubra.JK000744-ara5,0.8358,RELEASE
Shia003457,0.83454,RAWrabica045000
0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1,0.82842,RELEASE
34014.json,0.82814,RAWrabicaShamAY2
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.82811,RELEASE
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.82805,RELEASE
2922.json,0.82714,RAWrabicaShamAY1
3225.html,0.82705,RAWrabicaRafed
Shia003146Vols,0.8261,RAWrabica045000
5777.bok.json,0.82535,RAWrabicaSham19Y
5777.json,0.82476,RAWrabicaShamAY1
4092.json,0.82448,RAWrabicaShamAY1
9230.json,0.82321,RAW_ABLibrary
0475IbnMakula.TahdhibMustamirr.JK000773-ara1,0.82313,RELEASE
0463KhatibBaghdadi.GhunyatMultamis.Shamela0005777-ara1,0.82288,RELEASE
0463KhatibBaghdadi.GhunyatMultamis.JK007120-ara1,0.82287,RELEASE
2465.html,0.82261,RAWrabicaRafed
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.82218,RELEASE
5798.json,0.82187,RAWrabicaShamAY1
2703.html,0.81999,RAWrabicaRafed
0347IbnYunusSadafi.Tarikh.Shamela0011686-ara1,0.81744,RELEASE
004774Vols.automARkdown,0.81669,RAW_Masaha
Shamela096165.txt,0.81555,raw_ShamelaY19
11686.json,0.81411,RAWrabicaShamAY2
0385Daraqutni.MutalifWaMukhtalif.Shamela0012581-ara1,0.81299,RELEASE
2718.html,0.81216,RAWrabicaRafed
12581.bok.json,0.81178,RAWrabicaSham19Y
Sham30K0002761,0.8113,RAWrabica005000
38027.json,0.8112,RAWrabicaShamAY3
5809.json,0.8109,RAWrabicaShamAY1
1293.json,0.81081,RAWrabicaShamAY1
9793.bok.json,0.81077,RAWrabicaSham19Y
