unknown,TFIDF_cosine,libVar
26929.json,0.99805,RAWrabicaShamAY2
Shamela026929.txt,0.99573,raw_ShamelaY19
26929.bok.json,0.99347,RAWrabicaSham19Y
0240KhalifaIbnKhayyat.Tabaqat.ShamAY0034615-ara1,0.82013,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.JK000516-ara2,0.82006,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shamela0008682-ara1,0.81926,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.8188,RELEASE
34615.json,0.81435,RAWrabicaShamAY3
0236AbuCabdAllahZubayri.NasabQuraysh.Shamela0002922-ara1,0.81416,RELEASE
0240KhalifaIbnKhayyat.Tabaqat.Shia003056-ara1,0.81408,RELEASE
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.81362,RELEASE
2922.json,0.81247,RAWrabicaShamAY1
0236AbuCabdAllahZubayri.NasabQuraysh.JK009223-ara1,0.80989,RELEASE
0204IbnKalbi.JamharatAnsab.JK010504-ara1,0.80981,RELEASE
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.8098,RELEASE
0504.bok.json,0.80855,RAWrabicaSham19Y
504.json,0.80742,RAWrabicaShamAY1
0204IbnKalbi.JamharatAnsab.Shamela0000504-ara1,0.8053,RELEASE
Shia003056,0.79629,RAWrabica045000
9352.json,0.79185,RAWrabicaShamAY1
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.79135,RELEASE
0418WazirMaghribi.Inas.JK010492-ara1,0.79134,RELEASE
8258.json,0.79104,RAW_ABLibrary
0550AbuHajjajAshcari.TacrifFiAnsab.JK010487-ara1,0.78983,RELEASE
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.78977,RELEASE
0230IbnSacd.TabaqatKubra.Shamela0009352-ara5,0.78964,RELEASE
492.json,0.78901,RAWrabicaShamAY1
9352.bok.json,0.78866,RAWrabicaSham19Y
0245MuhammadIbnHabib.MukhtalafQabail.JK010501-ara1,0.788,RELEASE
0245MuhammadIbnHabib.MukhtalafQabail.Shamela0026540-ara1,0.78795,RELEASE
487.json,0.78692,RAWrabicaShamAY1
0418WazirMaghribi.Inas.Shamela0000492-ara1,0.78689,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shia003457-ara1,0.78589,RELEASE
2612.html,0.78551,RAWrabicaRafed
0550AbuHajjajAshcari.TacrifFiAnsab.Shamela0000487-ara1,0.78503,RELEASE
0230IbnSacd.TabaqatKubra.JK000744-ara5,0.78473,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.78468,RELEASE
0245MuhammadIbnHabib.MukhtalafQabail.Shamela0026540-ara1,0.78283,RELEASE
0245MuhammadIbnHabib.Muhabbar.Shamela0012205-ara1,0.78138,RELEASE
Shamela026540.txt,0.78116,raw_ShamelaY19
