unknown,TFIDF_cosine,libVar
0246HishamSulami.HadithHisham.Shamela0013112-ara1,0.93793,RELEASE
13112.json,0.93462,RAWrabicaShamAY2
0282HarithHaythami.BughyaBahith.Shamela0013160-ara1,0.85364,RELEASE
13160.bok.json,0.85266,RAWrabicaSham19Y
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.85265,RELEASE
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.85066,RELEASE
13160.json,0.85035,RAWrabicaShamAY2
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.84724,RELEASE
4289.json,0.84681,RAWrabicaShamAY1
0807NurDinHaythami.BughyatBahith.ShamAY0033926-ara1,0.84577,RELEASE
0180IbnJacfarAnsari.HadithIsmacil.Shamela0021544-ara1,0.845,RELEASE
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.84485,RELEASE
33926.json,0.84462,RAWrabicaShamAY2
Shamela021544.txt,0.84365,raw_ShamelaY19
21544.json,0.84252,RAWrabicaShamAY2
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.83562,RELEASE
13087.json,0.83437,RAWrabicaShamAY2
86.json,0.83415,RAW_ABLibrary
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.83328,RELEASE
5776.json,0.8321,RAWrabicaShamAY1
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0013170-ara1,0.82902,RELEASE
0852IbnHajarCasqalani.MatalibCaliya.JK006801-ara1,0.82793,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0010631-ara2,0.82715,RELEASE
13170.json,0.82608,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.Shamela0013071-ara1,0.82593,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.JK000486-ara1,0.82352,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shia001920-ara1,0.82323,RELEASE
0311IbnKhuzaymaNaysaburi.Tawhid.Shamela0013011-ara1,0.8229,RELEASE
13071.json,0.8227,RAWrabicaShamAY2
13011.json,0.82255,RAWrabicaShamAY2
0267HammadIbnIshaq.TarikatNabi.Shamela0022657-ara1,0.82068,RELEASE
0267HammadIbnIshaq.TarikatNabi.Shia001927-ara1,0.82055,RELEASE
0267HammadIbnIshaq.TarikatNabi.JK000640-ara1,0.82026,RELEASE
Sham30K0038834,0.81916,RAWrabica025000
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.81905,RELEASE
0329IbnMuhammadMarwaziHamid.Muntaqa.Shamela0005776-ara1,0.81802,RELEASE
0267HammadIbnIshaq.TarikatNabi.Shamela0022657-ara1,0.81795,RELEASE
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.81737,RELEASE
0294IbnNasrMarwazi.TaczimQadrSalat.JK000724-ara1,0.81729,RELEASE
Shia004243Vols,0.81708,RAWrabica045000
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.81703,RELEASE
Shamela022657.txt,0.81668,raw_ShamelaY19
22657.json,0.81652,RAWrabicaShamAY2
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.81646,RELEASE
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.81518,RELEASE
0330IbnIsmacilMahamili.Amali.Shamela0013081-ara1,0.81458,RELEASE
85.json,0.81447,RAW_ABLibrary
32904.json,0.81407,RAWrabicaShamAY2
