unknown,TFIDF_cosine,libVar
0398IbnZurca.SufistiqaLiAristutalis.GRAR000027-ara1,0.78695,RELEASE
0398IbnZurca.SufistiqaLiAristutalis.GRAR000027-ara1,0.78509,RELEASE
Shamela021503.txt,0.77046,raw_ShamelaY19
Shamela037697.txt,0.76818,raw_ShamelaY19
0471CabdQahirJurjani.DalailIcjaz.Shamela0037697-ara1,0.76805,RELEASE
21503.json,0.76774,RAWrabicaShamAY2
0471CabdQahirJurjani.DalailIcjaz.JK001019-ara1,0.76539,RELEASE
0471CabdQahirJurjani.DalailIcjaz.ShamAY0034098-ara1,0.76409,RELEASE
34098.json,0.76405,RAWrabicaShamAY2
Sham30K0014344,0.76048,RAWrabica015000
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.75712,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0012055-ara1,0.75676,RELEASE
8633.json,0.75551,RAW_ABLibrary
1040.json,0.75548,RAWrabicaShamAY1
8634.json,0.75504,RAW_ABLibrary
2081.html,0.75405,RAWrabicaRafed
0471CabdQahirJurjani.DalailIcjaz.Shamela0022664-ara1,0.75273,RELEASE
Shamela022664.txt,0.7521,raw_ShamelaY19
8635.json,0.74998,RAW_ABLibrary
3319.html,0.7497,RAWrabicaRafed
1056.json,0.74877,RAWrabicaShamAY1
004743.automARkdown,0.7452,RAW_Masaha
001015.automARkdown,0.74194,RAW_Masaha
8636.json,0.74125,RAW_ABLibrary
698.json,0.74002,RAWrabicaShamAY1
0595IbnRushdHafid.TalkhisKhitaba.JK010698-ara1,0.73905,RELEASE
3614.html,0.738,RAWrabicaRafed
8657.json,0.7379,RAW_ABLibrary
000998Vols.automARkdown,0.73766,RAW_Masaha
0460ShaykhTusi.Iqtisad.Shia000025-ara1,0.73748,RELEASE
003448Vols.automARkdown,0.73719,RAW_Masaha
0460ShaykhTusi.Iqtisad.Shia000025-ara1,0.73672,RELEASE
865.json,0.73584,RAWrabicaShamAY1
Shamela037475.txt,0.73522,raw_ShamelaY19
12834.json,0.73497,RAWrabicaShamAY2
3616.html,0.73479,RAWrabicaRafed
0436SharifMurtada.ShafiFiImama.Shia003996Vols-ara1,0.73452,RELEASE
15918.automARkdown,0.73452,RAW_Ghbook
0637IbnAthirDiyaDin.JamicKabir.Shamela0037475-ara1,0.7345,RELEASE
8632.json,0.73392,RAW_ABLibrary
0436SharifMurtada.Dharica.Shia002746Vols-ara1,0.73371,RELEASE
8628.json,0.73336,RAW_ABLibrary
0436SharifMurtada.ShafiFiImama.Shia003996Vols-ara1,0.73312,RELEASE
0436SharifMurtada.Dharica.Shia002746Vols-ara1,0.7328,RELEASE
15619.automARkdown,0.73215,RAW_Ghbook
8522.json,0.73191,RAW_ABLibrary
0466IbnSinanKhafaji.SirrFasaha.Shamela0011239-ara1,0.73112,RELEASE
1746.html,0.73103,RAWrabicaRafed
8631.json,0.73049,RAW_ABLibrary
3615.html,0.73023,RAWrabicaRafed
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.73005,RELEASE
0466IbnSinanKhafaji.SirrFasaha.JK001090-ara1,0.72963,RELEASE
1039.json,0.72954,RAWrabicaShamAY1
35972.json,0.7294,RAWrabicaShamAY3
12055.bok.json,0.72867,RAWrabicaSham19Y
3481.html,0.72776,RAWrabicaRafed
8647.json,0.72603,RAW_ABLibrary
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1,0.72561,RELEASE
1140.html,0.7256,RAWrabicaRafed
Shamela020986.txt,0.72509,raw_ShamelaY19
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.72503,RELEASE
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.72497,RELEASE
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.72495,RELEASE
38891.json,0.72484,RAWrabicaShamAY3
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.72453,RELEASE
8187.json,0.72428,RAWrabicaShamAY1
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.72404,RELEASE
0392IbnJinniMawsili.Khasais.JK001302-ara1,0.72348,RELEASE
0392IbnJinniMawsili.Khasais.Shamela0009986-ara1,0.72347,RELEASE
0428IbnSina.Ilahiyyat.ALCorpus00013-ara1,0.72328,RELEASE
11239.json,0.72319,RAWrabicaShamAY2
8187.bok.json,0.72302,RAWrabicaSham19Y
8424.json,0.72287,RAW_ABLibrary
8622.json,0.72278,RAW_ABLibrary
0471CabdQahirJurjani.AsrarBalagha.Shamela0008187-ara1,0.72224,RELEASE
0471CabdQahirJurjani.AsrarBalagha.JK006906-ara1,0.72146,RELEASE
0656IbnAbiHadid.FalakDair.Shamela0010550-ara1,0.72132,RELEASE
8455.json,0.72061,RAW_ABLibrary
38985.json,0.72039,RAWrabicaShamAY3
0436SharifMurtada.TanzihAnbiya.Shia003689-ara1,0.72026,RELEASE
8326.json,0.72016,RAW_ABLibrary
0436SharifMurtada.TanzihAnbiya.Shia003689-ara1,0.72014,RELEASE
0595IbnRushdHafid.DaruriFiUsulFiqh.Shamela0001703-ara1,0.72014,RELEASE
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.72009,RELEASE
0521IbnMuhammadBatalyawsi.RasailFiLugha.Sham19Y0018275-ara1,0.71997,RELEASE
0436SharifMurtada.ShafiFiImama.Zaydiyya0000119-ara1,0.71986,RELEASE
6364.json,0.7191,RAWrabicaShamAY1
Shamela021506.txt,0.71899,raw_ShamelaY19
34078.json,0.71885,RAWrabicaShamAY2
0456IbnHazm.TaqribLiHaddMantiq.Shamela0001028-ara1,0.71809,RELEASE
1703.json,0.71803,RAWrabicaShamAY1
0631SayyidDinAmidiThaclabi.GhayatMaram.JK000324-ara1,0.71796,RELEASE
0631SayyidDinAmidiThaclabi.AhkamFiUsulAhkam.Shia002924Vols-ara1,0.7179,RELEASE
3315.html,0.71782,RAWrabicaRafed
1028.json,0.7178,RAWrabicaShamAY1
8390.json,0.71751,RAW_ABLibrary
6364.bok.json,0.71743,RAWrabicaSham19Y
21506.bok.json,0.71737,RAWrabicaSham19Y
0460ShaykhTusi.CiddatUsul.Shia002748Vols-ara1,0.71736,RELEASE
