unknown,TFIDF_cosine,libVar
13102.json,0.98658,RAWrabicaShamAY2
0254MuammalIbnIhab.JuzMuammal.Shia001921-ara1,0.97558,RELEASE
0254MuammalIbnIhab.JuzMuammal.JK000606-ara1,0.97441,RELEASE
0389Makhladi.Fawaid.ShamAY0032921-ara1,0.88946,RELEASE
32921.json,0.88668,RAWrabicaShamAY2
0414AbuSacidNaqqash.FawaidCiraqiyyin.JK000600-ara1,0.8745,RELEASE
0287IbnAbiCasim.Sunna.Shamela0005930-ara1,0.87264,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shia002094-ara1,0.87185,RELEASE
5930.json,0.87117,RAWrabicaShamAY1
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.86992,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0001453-ara1,0.86887,RELEASE
0414AbuSacidNaqqash.FawaidCiraqiyyin.Shamela0013146-ara1,0.86838,RELEASE
1453.json,0.8683,RAWrabicaShamAY1
0369AbuShaykhIsbahani.AmthalFiHadith.Shamela0013082-ara1,0.86799,RELEASE
0287IbnAbiCasim.Sunna.JK000630-ara1,0.86758,RELEASE
0430CabdMalikIbnBishranUmawi.Amali.Shamela0012842-ara1,0.86705,RELEASE
13146.bok.json,0.86671,RAWrabicaSham19Y
0360Tabarani.MakarimAkhlaq.Shamela0009324-ara1,0.86532,RELEASE
13146.json,0.86529,RAWrabicaShamAY2
12842.json,0.86364,RAWrabicaShamAY2
0311IbnFilBalisi.Juz.Shamela0026741-ara1,0.86316,RELEASE
9324.bok.json,0.86308,RAWrabicaSham19Y
9324.json,0.863,RAWrabicaShamAY1
0386IbnCumarHarbi.FawaidMuntaqa.Shamela0001360-ara1,0.86186,RELEASE
0458Bayhaqi.ArbacunaSughra.JK000733-ara1,0.8612,RELEASE
1360.json,0.86105,RAWrabicaShamAY1
Sham30K0038948,0.86086,RAWrabica025000
1360.bok.json,0.86046,RAWrabicaSham19Y
32752.json,0.86029,RAWrabicaShamAY2
13082.json,0.86027,RAWrabicaShamAY2
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.86014,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.86002,RELEASE
26741.json,0.85958,RAWrabicaShamAY2
Shamela026741.txt,0.8587,raw_ShamelaY19
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.85848,RELEASE
0414AbuQasimRazi.Fawaid.JK000624-ara1,0.85808,RELEASE
0458Bayhaqi.ArbacunaSughra.Shamela0012992-ara1,0.85745,RELEASE
0458Bayhaqi.ArbacunaSughra.Shia002107-ara1,0.85744,RELEASE
0348IbnSalmanNajjad.Hadith.ShamAY0032891-ara1,0.85744,RELEASE
33700.json,0.85737,RAWrabicaShamAY2
0414AbuQasimRazi.Fawaid.Shamela0013147-ara1,0.8572,RELEASE
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.85687,RELEASE
0341IbnHamidHawrani.Juz.Shamela0026559-ara1,0.8567,RELEASE
31639.json,0.85659,RAWrabicaShamAY2
0362IbnMuhammadMuzakki.Muzakkiyyat.Shamela0026921-ara1,0.85624,RELEASE
0376AbuCamrHiri.Fawaid.ShamAY0032919-ara1,0.85612,RELEASE
32919.json,0.85604,RAWrabicaShamAY2
