unknown,TFIDF_cosine,libVar
0255Jahiz.Hijab.Shamela0010428BK14-ara1,0.98879,RELEASE
0276IbnQutaybaDinawari.CuyunAkhbar.JK010342-ara1,0.68222,RELEASE
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.68112,RELEASE
0325IbnIshaqWashsha.Muwashsha.Shamela0026102-ara1,0.67886,RELEASE
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.67836,RELEASE
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.67742,RELEASE
002985Vols.automARkdown,0.67654,RAW_Masaha
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1,0.67366,RELEASE
0325IbnIshaqWashsha.Muwashsha.Shamela0026102-ara1,0.67315,RELEASE
0325IbnIshaqWashsha.Muwashsha.JK010551-ara1,0.67313,RELEASE
23789.json,0.67135,RAWrabicaShamAY2
26102.bok.json,0.67097,RAWrabicaSham19Y
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.67092,RELEASE
Shamela023789.txt,0.67073,raw_ShamelaY19
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1,0.67067,RELEASE
0255Jahiz.BayanWaTabyin.JK001009-ara1,0.66858,RELEASE
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.66835,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033779-ara1,0.66821,RELEASE
0718AbuIshaqWatwat.GhurarKhasais.Shamela0001349-ara1,0.6682,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033801-ara1,0.66815,RELEASE
0255Jahiz.BayanWaTabyin.Zaydiyya0000478-ara1,0.66759,RELEASE
Shamela026102.txt,0.6672,raw_ShamelaY19
0453AbuIshaqHusri.ZuhrAdab.JK009230-ara1,0.66673,RELEASE
26102.json,0.66649,RAWrabicaShamAY2
10768.bok.json,0.66573,RAWrabicaSham19Y
23790.json,0.66409,RAWrabicaShamAY2
824.json,0.66395,RAW_ABLibrary
Shamela023790.txt,0.66293,raw_ShamelaY19
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.66246,RELEASE
1349.json,0.66206,RAWrabicaShamAY1
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1,0.66199,RELEASE
33779.json,0.66123,RAWrabicaShamAY2
33801.json,0.66116,RAWrabicaShamAY2
10768.json,0.66106,RAWrabicaShamAY2
0395AbuHilalCaskari.DiwanMacani.Shamela0006909-ara1,0.66067,RELEASE
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.66031,RELEASE
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1,0.6583,RELEASE
0395AbuHilalCaskari.DiwanMacani.Shamela0006909-ara1,0.65784,RELEASE
0625SafiDinHalabi.UnsMasjun.Sham19Y0120146-ara1,0.65778,RELEASE
0395AbuHilalCaskari.DiwanMacani.JK006921-ara1,0.65772,RELEASE
0255Jahiz.MahasinWaAddad.Shamela0010511-ara2,0.65761,RELEASE
0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,0.65715,RELEASE
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.65703,RELEASE
0658IbnAbbar.IctabKitab.JK010583-ara1,0.65644,RELEASE
558.json,0.65611,RAWrabicaShamAY1
0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,0.65586,RELEASE
002334.automARkdown,0.65585,RAW_Masaha
0285IbnYazidMubarrad.TacaziWaMarai.ShamIbadiyya0000610-ara1,0.65571,RELEASE
Sham30K0033843,0.65539,RAWrabica020000
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1,0.65534,RELEASE
7903.json,0.65528,RAW_ABLibrary
0285IbnYazidMubarrad.Tacazi.Shamela0021554-ara1,0.65498,RELEASE
10511.bok.json,0.6549,RAWrabicaSham19Y
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.65429,RELEASE
0285IbnYazidMubarrad.TacaziWaMarai.ShamIbadiyya0000610-ara1,0.65408,RELEASE
6909.json,0.65391,RAWrabicaShamAY1
10511.json,0.6537,RAWrabicaShamAY1
0285IbnYazidMubarrad.Tacazi.JK009367-ara1,0.65343,RELEASE
0285IbnYazidMubarrad.Tacazi.Shamela0021554-ara1,0.65339,RELEASE
0854IbnCarabshah.FakihatKhulafa.JK010770-ara1,0.65304,RELEASE
003365Vols.automARkdown,0.65288,RAW_Masaha
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1,0.65246,RELEASE
10614.json,0.65204,RAWrabicaShamAY1
8190.json,0.65187,RAWrabicaShamAY1
Sham30K0039083,0.65152,RAWrabica025000
21554.bok.json,0.65092,RAWrabicaSham19Y
0538JarAllahZamakhshari.RabicAbrar.JK010561-ara1,0.65058,RELEASE
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1,0.65025,RELEASE
