unknown,TFIDF_cosine,libVar
0255Jahiz.IstinjazWacd.Shamela0010428BK42-ara1,0.97606,RELEASE
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.37641,RELEASE
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.37605,RELEASE
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.36675,RELEASE
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.36644,RELEASE
10428.json,0.36592,RAWrabicaShamAY1
0414AbuHayyanTawhidi.AkhlaqWazirayn.Shamela0012541-ara1,0.36516,RELEASE
0255Jahiz.HakamaynWaTaswibCali.Shamela0010709BK3-ara2,0.36015,RELEASE
10709.json,0.35988,RAWrabicaShamAY1
10709.bok.json,0.35945,RAWrabicaSham19Y
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.35806,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.35769,RELEASE
0255Jahiz.Bukhala.Shamela0010501-ara1,0.35728,RELEASE
0335IbnWahbKatib.BurhanFiWujuhBayan.Sham19Y0020986-ara1,0.35515,RELEASE
0414AbuHayyanTawhidi.AkhlaqWazirayn.JK009310-ara2,0.35504,RELEASE
0414AbuHayyanTawhidi.AkhlaqWazirayn.Shamela0012541-ara1,0.35476,RELEASE
0899ZarruqShihabDinFasi.CuddatMurid.Sham19Y0123663-ara1,0.35448,RELEASE
0255Jahiz.Hayawan.Shamela0023775-ara1,0.35398,RELEASE
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.35316,RELEASE
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.35287,RELEASE
0751IbnQayyimJawziyya.Fawaid.JK000060-ara1,0.35247,RELEASE
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.35219,RELEASE
12541.json,0.35145,RAWrabicaShamAY2
0255Jahiz.HakamaynWaTaswibCali.Shamela0010709BK3-ara2,0.35131,RELEASE
8436.json,0.34888,RAW_ABLibrary
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.34875,RELEASE
0456IbnHazm.AkhlaqWaSiyar.ShamAY0033746-ara1,0.34865,RELEASE
6854.json,0.34852,RAWrabicaShamAY1
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.34828,RELEASE
0414AbuHayyanTawhidi.Imtac.JK009314-ara2,0.34807,RELEASE
0255Jahiz.Bukhala.JK007061-ara1,0.34798,RELEASE
0255Jahiz.Bukhala.Shamela0010501-ara1,0.3479,RELEASE
