unknown,TFIDF_cosine,libVar
0256Bukhari.DucafaSaghir.JK000507-ara1,0.99996,RELEASE
10542.json,0.99959,RAWrabicaShamAY1
0256Bukhari.DucafaSaghir.Shia003070-ara1,0.99906,RELEASE
0256Bukhari.Ducafa.Shamela0008632-ara1,0.98876,RELEASE
Shia003070,0.91557,RAWrabica045000
38186.json,0.90711,RAWrabicaShamAY3
34014.json,0.90198,RAWrabicaShamAY2
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.90184,RELEASE
0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna.Shamela0096233-ara1,0.89757,RELEASE
Shamela096233.txt,0.8954,raw_ShamelaY19
10843.json,0.89149,RAWrabicaShamAY2
0405AbuFadlHarawi.MucjamFiMushtabah.Shamela0005804-ara1,0.89058,RELEASE
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.8892,RELEASE
34667.json,0.888,RAWrabicaShamAY3
5804.json,0.88428,RAWrabicaShamAY1
5804.bok.json,0.88392,RAWrabicaSham19Y
5843.json,0.88308,RAWrabicaShamAY1
0256Bukhari.TarikhKabir.JK000133-ara1,0.8829,RELEASE
0430AbuNucaymIsbahani.Ducafa.Shamela0005843-ara1,0.88244,RELEASE
0430AbuNucaymIsbahani.Ducafa.JK000502-ara1,0.88204,RELEASE
0374IbnHusaynAzdi.DhikrIsmKullAshab.Shamela0026918-ara1,0.88198,RELEASE
26918.json,0.88058,RAWrabicaShamAY2
Shamela026918.txt,0.88052,raw_ShamelaY19
0463KhatibBaghdadi.GhunyatMultamis.JK007120-ara1,0.88008,RELEASE
0463KhatibBaghdadi.GhunyatMultamis.Shamela0005777-ara1,0.88005,RELEASE
0385Daraqutni.MutalifWaMukhtalif.Shamela0012581-ara1,0.87981,RELEASE
12581.bok.json,0.87929,RAWrabicaSham19Y
1293.json,0.87867,RAWrabicaShamAY1
5798.json,0.87853,RAWrabicaShamAY1
0475IbnMakula.TahdhibMustamirr.JK000773-ara1,0.87803,RELEASE
5777.json,0.87797,RAWrabicaShamAY1
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.87789,RELEASE
5777.bok.json,0.87784,RAWrabicaSham19Y
2054.json,0.87743,RAWrabicaShamAY1
0385Daraqutni.DhikrAsmaTabicin.Shamela0005881-ara1,0.87538,RELEASE
