unknown,TFIDF_cosine,libVar
004778Vols.automARkdown,0.82939,RAW_Masaha
0283AbuIshaqThaqafi.Gharat.Shia001270Vols-ara1,0.80864,RELEASE
0283AbuIshaqThaqafi.Gharat.Shia001270Vols-ara1,0.80675,RELEASE
1335.html,0.79989,RAWrabicaRafed
8889.json,0.79714,RAW_ABLibrary
004561Vols.automARkdown,0.79525,RAW_Masaha
8347.json,0.7949,RAW_ABLibrary
919.json,0.79458,RAW_ABLibrary
001457.automARkdown,0.79041,RAW_Masaha
7700.json,0.79002,RAW_ABLibrary
8517.json,0.78922,RAW_ABLibrary
8451.json,0.78845,RAW_ABLibrary
8356.json,0.78788,RAW_ABLibrary
7903.json,0.78749,RAW_ABLibrary
1173IbnHusaynKhwajuiMazandarani.JamicShatat.Shia004039-ara1,0.78527,RELEASE
8513.json,0.78524,RAW_ABLibrary
7779.json,0.78366,RAW_ABLibrary
755.json,0.78299,RAW_ABLibrary
8893.json,0.78153,RAW_ABLibrary
8887.json,0.78103,RAW_ABLibrary
9175.json,0.77838,RAW_ABLibrary
7908.json,0.77825,RAW_ABLibrary
8890.json,0.77822,RAW_ABLibrary
8888.json,0.77788,RAW_ABLibrary
7902.json,0.77699,RAW_ABLibrary
002490.automARkdown,0.77688,RAW_Masaha
8892.json,0.77679,RAW_ABLibrary
744.json,0.7757,RAW_ABLibrary
748.json,0.77442,RAW_ABLibrary
787.json,0.77389,RAW_ABLibrary
15608.automARkdown,0.77352,RAW_Ghbook
7898.json,0.77329,RAW_ABLibrary
8524.json,0.77302,RAW_ABLibrary
8444.json,0.7727,RAW_ABLibrary
8392.json,0.77268,RAW_ABLibrary
8361.json,0.77156,RAW_ABLibrary
7909.json,0.77117,RAW_ABLibrary
8884.json,0.77116,RAW_ABLibrary
1091MuhammadMuhsinFaydKashani.UsulAsila.Shia002758-ara1,0.77099,RELEASE
7649.json,0.77081,RAW_ABLibrary
8320.json,0.76996,RAW_ABLibrary
8590.json,0.7696,RAW_ABLibrary
8319.json,0.76943,RAW_ABLibrary
8746.json,0.76896,RAW_ABLibrary
8913.json,0.76875,RAW_ABLibrary
8309.json,0.76867,RAW_ABLibrary
8895.json,0.76857,RAW_ABLibrary
9771.json,0.76808,RAW_ABLibrary
8360.json,0.76785,RAW_ABLibrary
765.json,0.76709,RAW_ABLibrary
7913.json,0.76707,RAW_ABLibrary
004739Vols.automARkdown,0.76704,RAW_Masaha
94.json,0.76686,RAW_ABLibrary
7423.json,0.76642,RAW_ABLibrary
8844.json,0.76603,RAW_ABLibrary
8371.json,0.76517,RAW_ABLibrary
8581.json,0.76385,RAW_ABLibrary
763.json,0.76373,RAW_ABLibrary
756.json,0.76371,RAW_ABLibrary
7609.json,0.76365,RAW_ABLibrary
7773.json,0.76309,RAW_ABLibrary
7648.json,0.76283,RAW_ABLibrary
7873.json,0.76273,RAW_ABLibrary
8393.json,0.76239,RAW_ABLibrary
74.json,0.76204,RAW_ABLibrary
7912.json,0.76184,RAW_ABLibrary
7926.json,0.7617,RAW_ABLibrary
8652.json,0.76101,RAW_ABLibrary
8591.json,0.76097,RAW_ABLibrary
7466.json,0.76083,RAW_ABLibrary
7797.json,0.76077,RAW_ABLibrary
8376.json,0.76048,RAW_ABLibrary
7539.json,0.76045,RAW_ABLibrary
8829.json,0.75997,RAW_ABLibrary
762.json,0.75943,RAW_ABLibrary
7897.json,0.75852,RAW_ABLibrary
7856.json,0.75813,RAW_ABLibrary
747.json,0.75807,RAW_ABLibrary
7485.json,0.75788,RAW_ABLibrary
8585.json,0.75784,RAW_ABLibrary
7481.json,0.75776,RAW_ABLibrary
776.json,0.75774,RAW_ABLibrary
8375.json,0.75768,RAW_ABLibrary
779.json,0.75717,RAW_ABLibrary
7854.json,0.75707,RAW_ABLibrary
7424.json,0.75697,RAW_ABLibrary
2797.html,0.75655,RAWrabicaRafed
8589.json,0.75558,RAW_ABLibrary
8482.json,0.7554,RAW_ABLibrary
8883.json,0.75505,RAW_ABLibrary
8529.json,0.75492,RAW_ABLibrary
8439.json,0.7543,RAW_ABLibrary
8476.json,0.75428,RAW_ABLibrary
8565.json,0.75351,RAW_ABLibrary
758.json,0.75259,RAW_ABLibrary
7802.json,0.75251,RAW_ABLibrary
8601.json,0.75233,RAW_ABLibrary
8399.json,0.75203,RAW_ABLibrary
8588.json,0.75188,RAW_ABLibrary
8683.json,0.75187,RAW_ABLibrary
7608.json,0.75133,RAW_ABLibrary
15561.automARkdown,0.75123,RAW_Ghbook
93.json,0.75097,RAW_ABLibrary
8438.json,0.75064,RAW_ABLibrary
001287.automARkdown,0.75052,RAW_Masaha
8412.json,0.75024,RAW_ABLibrary
7490.json,0.74973,RAW_ABLibrary
7623.json,0.74936,RAW_ABLibrary
