unknown,TFIDF_cosine,libVar
34157.json,0.97611,RAWrabicaShamAY2
0241IbnHanbal.MinSualatIbnMuhammadAthram.Shamela0025873-ara1,0.92906,RELEASE
0241IbnHanbal.MinSualatIbnMuhammadAthram.Shamela0025873-ara1,0.92848,RELEASE
Shamela025873.txt,0.92316,raw_ShamelaY19
25873.json,0.92277,RAWrabicaShamAY2
25873.bok.json,0.92206,RAWrabicaSham19Y
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.79218,RELEASE
Shamela039268.txt,0.7918,raw_ShamelaY19
0458Bayhaqi.MadkhalIlaCilmSunan.Sham19Y0039268-ara1,0.79079,RELEASE
39268.bok.json,0.78712,RAWrabicaSham19Y
26726.json,0.7843,RAWrabicaShamAY2
9543.json,0.78383,RAWrabicaShamAY1
Shamela026726.txt,0.78325,raw_ShamelaY19
0526IbnAbiYacla.TabaqatHanabila.Shamela0009543-ara1,0.78303,RELEASE
0611SharafDinMuqaddasi.Arbacin.Shamela0026726-ara1,0.78252,RELEASE
Sham30K0033825,0.78125,RAWrabica020000
0311AbuBakrKhallal.MuntakhabMinCilal.ShamAY0034173-ara1,0.77952,RELEASE
0311AbuBakrKhallal.MuntakhabMinCilal.ShamAY0034173-ara1,0.77838,RELEASE
2890.html,0.77792,RAWrabicaRafed
34173.json,0.77606,RAWrabicaShamAY2
Sham30K0002786,0.77594,RAWrabica005000
Shamela122397.txt,0.77438,raw_ShamelaY19
35817.json,0.77429,RAWrabicaShamAY3
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.7736,RELEASE
0292SacidBardhaci.SualatLiAbiZurca.ShamAY0034145-ara1,0.77298,RELEASE
33699.json,0.77245,RAWrabicaShamAY2
0470IbnMuhammadIbnMandahIsbahani.Mustakhraj.Sham19Y0122397-ara1,0.77243,RELEASE
0241IbnHanbal.Musnad.Shamela0098139-ara3,0.77197,RELEASE
13179.json,0.77173,RAWrabicaShamAY2
34145.json,0.77164,RAWrabicaShamAY2
33598.json,0.77089,RAWrabicaShamAY2
Shamela098139.txt,0.76948,raw_ShamelaY19
0292SacidBardhaci.SualatLiAbiZurca.ShamAY0034145-ara1,0.76922,RELEASE
0761IbnKaykaldiCalai.ArbacinMughniyya.ShamAY0033598-ara1,0.76901,RELEASE
13053.json,0.76768,RAWrabicaShamAY2
0405HakimNaysaburi.MacrifatCulumHadith.Shamela0013179-ara1,0.76748,RELEASE
3401.html,0.76734,RAWrabicaRafed
0458Bayhaqi.QadaWaQadar.Shamela0013053-ara1,0.76573,RELEASE
23700.bok.json,0.76566,RAWrabicaSham19Y
23700.json,0.76555,RAWrabicaShamAY2
0405HakimNaysaburi.MacrifatCulumHadith.JK000108-ara1,0.76515,RELEASE
98139.bok.json,0.76461,RAWrabicaSham19Y
26490.json,0.76438,RAWrabicaShamAY2
Shamela026490.txt,0.7642,raw_ShamelaY19
31623.json,0.76414,RAWrabicaShamAY2
Shamela026842.txt,0.76413,raw_ShamelaY19
0277IbnSufyanFasawi.MacrifaWaTarikh.JK010384-ara1,0.76381,RELEASE
0555IbnMuhammadHamadhaniTai.ArbacunaFiIrshad.Shamela0026842-ara1,0.76371,RELEASE
37568.bok.json,0.76357,RAWrabicaSham19Y
33818.json,0.76341,RAWrabicaShamAY2
1079.json,0.76335,RAWrabicaShamAY1
0277IbnSufyanFasawi.MacrifaWaTarikh.JK003510-ara1,0.76301,RELEASE
0507IbnQaysarani.Samac.Shamela0006277-ara1,0.76296,RELEASE
0617RadiDinTusi.Arbacuna.Shamela0026490-ara1,0.76291,RELEASE
0405HakimNaysaburi.MacrifatCulumHadith.Shia002093-ara1,0.76286,RELEASE
26842.json,0.76262,RAWrabicaShamAY2
0463IbnCabdBarr.IsticabFiMacrifatAshab.Shamela0012288-ara1,0.76255,RELEASE
6277.json,0.76249,RAWrabicaShamAY1
Shamela037568.txt,0.76243,raw_ShamelaY19
0555IbnMuhammadHamadhaniTai.ArbacunaFiIrshad.Shamela0026842-ara1,0.76235,RELEASE
32968.json,0.76185,RAWrabicaShamAY2
Shamela023700.txt,0.76163,raw_ShamelaY19
38868.json,0.76151,RAWrabicaShamAY3
