unknown,TFIDF_cosine,libVar
9356.json,0.99942,RAWrabicaShamAY1
9356.bok.json,0.9993,RAWrabicaSham19Y
0319AbuQasimKacbi.QubulAkhbar.Sham19Y0014538-ara1,0.87124,RELEASE
0319AbuQasimKacbi.QubulAkhbar.Sham19Y0014538-ara1,0.86908,RELEASE
12994.json,0.86795,RAWrabicaShamAY2
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.86491,RELEASE
0281IbnAbiDunya.IshrafFiManazil.Shamela0012994-ara1,0.86262,RELEASE
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.86254,RELEASE
0281IbnAbiDunya.IshrafFiManazil.ShamAY0038145-ara1,0.86002,RELEASE
38145.json,0.85563,RAWrabicaShamAY3
0412Sulami.TabaqatSufiyya.JK009213-ara1,0.85335,RELEASE
35252.json,0.85216,RAWrabicaShamAY3
0281IbnAbiDunya.Muhtadarin.ShamAY0038114-ara1,0.84844,RELEASE
0412Sulami.TabaqatSufiyya.JK001243-ara1,0.84564,RELEASE
0412Sulami.TabaqatSufiyya.Shamela0006686-ara1,0.8456,RELEASE
0281IbnAbiDunya.Awliya.ShamAY0038128-ara2,0.84506,RELEASE
6686.json,0.84433,RAWrabicaShamAY1
31688.json,0.84412,RAWrabicaShamAY2
0412Sulami.TabaqatSufiyya.Shamela0006686-ara1,0.84407,RELEASE
Sham30K0002659,0.84205,RAWrabica005000
38114.json,0.84191,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.84187,RELEASE
38128.json,0.84086,RAWrabicaShamAY3
13035.json,0.84084,RAWrabicaShamAY2
0281IbnAbiDunya.Warac.ShamAY0038098-ara1,0.84083,RELEASE
0360AbuBakrAjurri.Sharica.JK009158-ara1,0.84076,RELEASE
0181IbnMubarak.Jihad.Shia001880-ara1,0.83943,RELEASE
0241IbnHanbal.Warac.ShamAY0033617-ara1,0.83928,RELEASE
0241IbnHanbal.CilalWaMacrifa.ShamAY0034149-ara2,0.83893,RELEASE
0241IbnHanbal.JamicFiCilal.Shamela0010272-ara2,0.83893,RELEASE
13078.json,0.83869,RAWrabicaShamAY2
13078.bok.json,0.83858,RAWrabicaSham19Y
0241IbnHanbal.CilalWaMacrifa.Shia003057Vols-ara1,0.83813,RELEASE
0241IbnHanbal.Warac.JK000307-ara2,0.83775,RELEASE
34857.json,0.83766,RAWrabicaShamAY3
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.83762,RELEASE
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.83732,RELEASE
0360AbuBakrAjurri.Sharica.Shamela0013035-ara1,0.837,RELEASE
0181IbnMubarak.Jihad.Shia001880-ara1,0.83671,RELEASE
10272.json,0.83663,RAWrabicaShamAY1
0281IbnAbiDunya.Warac.JK000019-ara1,0.83639,RELEASE
0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1,0.83632,RELEASE
38098.json,0.83621,RAWrabicaShamAY3
Shamela151099.txt,0.83607,raw_ShamelaY19
1124.json,0.83596,RAWrabicaShamAY1
13035.bok.json,0.83573,RAWrabicaSham19Y
0281IbnAbiDunya.DhammDunya.ShamAY0038174-ara1,0.83569,RELEASE
Shamela037620.txt,0.83566,raw_ShamelaY19
34149.json,0.83566,RAWrabicaShamAY2
2331.json,0.83499,RAWrabicaShamAY1
0230IbnSacd.TabaqatKubra.Shamela0001689-ara4,0.83456,RELEASE
0360AbuBakrAjurri.Sharica.Shamela0013035-ara1,0.83452,RELEASE
0281IbnAbiDunya.Cuzla.ShamAY0038169-ara1,0.83419,RELEASE
0281IbnAbiDunya.Warac.JK000019-ara1,0.83383,RELEASE
0384IbnCaliTanukhi.FarajBacdaShidda.Shamela0012828-ara1,0.83334,RELEASE
33734.json,0.83327,RAWrabicaShamAY2
0281IbnAbiDunya.DhammDunya.ShamAY0038174-ara1,0.83266,RELEASE
1450KhalidRibat.JamicIbnHanbalAdabWaZuhd.Sham19Y0020882-ara1,0.83194,RELEASE
Shamela020882.txt,0.8315,raw_ShamelaY19
0384IbnCaliTanukhi.FarajBacdaShidda.Shamela0012828-ara1,0.83139,RELEASE
0275IbnMuhammadMarwazi.Warac.JK001283-ara1,0.83135,RELEASE
0241IbnHanbal.Warac.Shamela0006785-ara1,0.83126,RELEASE
38131.json,0.83111,RAWrabicaShamAY3
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.83108,RELEASE
38174.json,0.83099,RAWrabicaShamAY3
12828.json,0.83093,RAWrabicaShamAY2
0281IbnAbiDunya.Warac.Shia001939-ara1,0.83054,RELEASE
0281IbnAbiDunya.Juc.ShamAY0038165-ara1,0.83048,RELEASE
0311AbuBakrKhallal.AmrBiMacruf.Shamela0008248-ara1,0.83046,RELEASE
0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1,0.83046,RELEASE
38175.json,0.83017,RAWrabicaShamAY3
1450KhalidRibat.JamicIbnHanbalAdabWaZuhd.Sham19Y0020882-ara1,0.82998,RELEASE
0311AbuBakrKhallal.AmrBiMacruf.ShamAY0033905-ara1,0.82996,RELEASE
38169.json,0.82995,RAWrabicaShamAY3
0275IbnMuhammadMarwazi.Warac.JK001283-ara1,0.82901,RELEASE
0241IbnHanbal.Warac.Shamela0006785-ara1,0.8289,RELEASE
33905.json,0.82887,RAWrabicaShamAY2
Sham30K0033921,0.82865,RAWrabica020000
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.82865,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.82862,RELEASE
38869.json,0.82852,RAWrabicaShamAY3
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.82829,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1,0.82802,RELEASE
33617.json,0.82802,RAWrabicaShamAY2
0281IbnAbiDunya.Hawatif.ShamAY0038066-ara1,0.82792,RELEASE
35248.json,0.82732,RAWrabicaShamAY3
33976.json,0.8273,RAWrabicaShamAY2
0281IbnAbiDunya.Manamat.ShamAY0038050-ara1,0.82724,RELEASE
0281IbnAbiDunya.FarajBacdaShidda.ShamAY0038052-ara1,0.82723,RELEASE
38057.json,0.8271,RAWrabicaShamAY3
1719.json,0.82705,RAWrabicaShamAY1
Sham30K0034083,0.82695,RAWrabica020000
0311AbuBakrKhallal.AmrBiMacruf.Shamela0008248-ara1,0.82693,RELEASE
0311AbuBakrKhallal.AmrBiMacruf.JK011299-ara1,0.82683,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.82612,RELEASE
0281IbnAbiDunya.Hawatif.Shamela0028237-ara1,0.82597,RELEASE
9306.json,0.8259,RAWrabicaShamAY1
0181IbnMubarak.Jihad.ShamAY0033534-ara1,0.82578,RELEASE
0363IbnHusaynSijistani.ManaqibShafici.Shamela0026768-ara1,0.82573,RELEASE
0315IbnFaydGhassani.AkhbarWaHikayat.JK000523-ara1,0.82571,RELEASE
0181IbnMubarak.Jihad.JK000549-ara1,0.82548,RELEASE
0405IbnHusaynHamadhani.FawaidWaAkhbar.Shamela0026505-ara1,0.82526,RELEASE
8248.json,0.82511,RAWrabicaShamAY1
6785.json,0.82507,RAWrabicaShamAY1
26505.json,0.82452,RAWrabicaShamAY2
0281IbnAbiDunya.Muhtadarin.JK001153-ara1,0.82448,RELEASE
38165.json,0.82427,RAWrabicaShamAY3
0315IbnFaydGhassani.AkhbarWaHikayat.Shamela0005650-ara1,0.82417,RELEASE
0315IbnFaydGhassani.AkhbarWaHikayat.JK000523-ara1,0.82416,RELEASE
0363IbnHusaynSijistani.ManaqibShafici.Shamela0026768-ara1,0.82392,RELEASE
0181IbnMubarak.Jihad.ShamAY0033661-ara1,0.8239,RELEASE
13058.bok.json,0.82382,RAWrabicaSham19Y
Sham30K0008248,0.82382,RAWrabica010000
28237.json,0.8236,RAWrabicaShamAY2
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.82359,RELEASE
0405IbnHusaynHamadhani.FawaidWaAkhbar.Shamela0026505-ara1,0.82338,RELEASE
33661.json,0.82303,RAWrabicaShamAY2
26768.json,0.82298,RAWrabicaShamAY2
38052.json,0.82296,RAWrabicaShamAY3
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.82254,RELEASE
Shamela028237.txt,0.82243,raw_ShamelaY19
13058.json,0.82207,RAWrabicaShamAY2
5650.json,0.82204,RAWrabicaShamAY1
38066.json,0.82193,RAWrabicaShamAY3
0390IbnZakariyaNahrawani.JalisSalih.Shamela0007301-ara1,0.82131,RELEASE
