unknown,TFIDF_cosine,libVar
33818.json,0.99998,RAWrabicaShamAY2
0277IbnSufyanFasawi.MacrifaWaTarikh.JK003510-ara1,0.99748,RELEASE
0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,0.96039,RELEASE
0279IbnAbiKhaythama.TarikhKabir.Shamela0001440-ara1,0.92377,RELEASE
1440.json,0.92292,RAWrabicaShamAY1
0306Wakic.AkhbarQudat.Shamela0000150-ara1,0.92071,RELEASE
0395IbnMandahMuhammad.MacrifatSahaba.Shamela0021481-ara1,0.92011,RELEASE
150.json,0.91986,RAWrabicaShamAY1
0306Wakic.AkhbarQudat.JK007001-ara1,0.91985,RELEASE
0306Wakic.AkhbarQudat.Shia003426Vols-ara1,0.91957,RELEASE
Shamela021481.txt,0.91893,raw_ShamelaY19
21481.json,0.91877,RAWrabicaShamAY2
38099.json,0.91579,RAWrabicaShamAY3
0256Bukhari.TarikhSaghir.Shamela0005782-ara1,0.91047,RELEASE
0256Bukhari.TarikhSaghir.JK000531-ara1,0.91042,RELEASE
0458AbuYaclaIbnFarra.Amali.Shamela0026579-ara1,0.90899,RELEASE
5782.json,0.90889,RAWrabicaShamAY1
0256Bukhari.TarikhSaghir.Shia003060Vols-ara1,0.90814,RELEASE
1330.json,0.90806,RAWrabicaShamAY1
Shamela026579.txt,0.90783,raw_ShamelaY19
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.90717,RELEASE
Sham30K0002717,0.90521,RAWrabica005000
0360Tabarani.MucjamKabir.ShamAY0033908-ara2,0.9046,RELEASE
0543IbnIbrahimHamadhaniJurqani.Abatil.Shamela0009642-ara1,0.90459,RELEASE
38163.json,0.90329,RAWrabicaShamAY3
0463KhatibBaghdadi.AsmaMubhama.Shamela0005815-ara1,0.9028,RELEASE
9642.json,0.9027,RAWrabicaShamAY1
0333AbuCarabTamimi.Mihan.Shamela0006706-ara1,0.90236,RELEASE
0333AbuCarabTamimi.Mihan.JK001147-ara1,0.90234,RELEASE
33908.json,0.902,RAWrabicaShamAY2
0463IbnCabdBarr.IsticabFiMacrifatAshab.Shamela0012288-ara1,0.90187,RELEASE
5815.json,0.90128,RAWrabicaShamAY1
0310Tabari.MuntakhabMinDhayl.Shia003473-ara1,0.9012,RELEASE
34589.json,0.90106,RAWrabicaShamAY3
6706.json,0.90085,RAWrabicaShamAY1
0310Tabari.MuntakhabMinDhayl.Shamela0001133-ara1,0.89993,RELEASE
Sham30K0033931,0.89951,RAWrabica020000
Sham30K0033831,0.89916,RAWrabica020000
0279IbnAbiKhaythama.TarikhKabir.Shamela0008477-ara1,0.89864,RELEASE
1133.json,0.89858,RAWrabicaShamAY1
0492AbuHasanKhulci.Khulciyyat.Shamela0030592Vols-ara1,0.89812,RELEASE
0458Bayhaqi.DalailNubuwwa.Shamela0013115-ara1,0.89773,RELEASE
8477.json,0.89745,RAWrabicaShamAY1
13115.bok.json,0.89727,RAWrabicaSham19Y
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.89693,RELEASE
0463KhatibBaghdadi.MuwaddihAwham.Shamela0006025-ara1,0.89691,RELEASE
Shia003426Vols,0.89632,RAWrabica045000
6025.json,0.89628,RAWrabicaShamAY1
32959.json,0.89571,RAWrabicaShamAY2
0483IbnMuhammadIbnMaghaziliWasiti.ManaqibCali.Shamela0026456-ara1,0.89509,RELEASE
1271.json,0.89427,RAWrabicaShamAY1
931.json,0.89355,RAW_ABLibrary
Shamela026456.txt,0.89346,raw_ShamelaY19
79.json,0.89343,RAWrabicaShamAY1
13115.json,0.89334,RAWrabicaShamAY2
0395IbnMandahMuhammad.Tawhid.Shamela0008210-ara1,0.89327,RELEASE
0362AbuFarajIsbahani.MaqatilTalibiyyin.JK010351-ara1,0.89277,RELEASE
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0.89277,RELEASE
30487.json,0.89243,RAWrabicaShamAY2
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.89226,RELEASE
30506.bok.json,0.89221,RAWrabicaSham19Y
30484.json,0.89208,RAWrabicaShamAY2
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.892,RELEASE
9076.json,0.89197,RAWrabicaShamAY1
Shamela030484.txt,0.89184,raw_ShamelaY19
Shamela030487.txt,0.89184,raw_ShamelaY19
0281IbnAbiDunya.TawaducWaKhumul.Shia001936-ara1,0.89176,RELEASE
8210.json,0.89145,RAWrabicaShamAY1
Shamela151099.txt,0.89132,raw_ShamelaY19
30506.json,0.89126,RAWrabicaShamAY2
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.8911,RELEASE
30515.bok.json,0.89108,RAWrabicaSham19Y
Shamela030506.txt,0.89087,raw_ShamelaY19
32750.json,0.8908,RAWrabicaShamAY2
003295.automARkdown,0.89046,RAW_Masaha
30515.json,0.89036,RAWrabicaShamAY2
35229.json,0.89032,RAWrabicaShamAY3
13179.json,0.88994,RAWrabicaShamAY2
0360Khawlani.TarikhDaraya.Shamela0008249-ara1,0.88987,RELEASE
30519.bok.json,0.88985,RAWrabicaSham19Y
0371AhmadJurjani.Mucjam.JK000760-ara1,0.88977,RELEASE
Shamela030515.txt,0.88971,raw_ShamelaY19
