unknown,TFIDF_cosine,libVar
13023.json,0.99969,RAWrabicaShamAY2
0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya.JK001435-ara1,0.97393,RELEASE
0280CuthmanIbnSacidDarimi.RaddCalaJahmiyya.Sham19Y0018089-ara1,0.93223,RELEASE
32551.json,0.91122,RAWrabicaShamAY2
0320HakimTirmidhi.NawadirUsul.ShamAY0034123-ara1,0.90392,RELEASE
34123.json,0.90369,RAWrabicaShamAY2
0311IbnKhuzaymaNaysaburi.Tawhid.Shamela0013011-ara1,0.89165,RELEASE
3408.html,0.88673,RAWrabicaRafed
Shamela023678.txt,0.88628,raw_ShamelaY19
23678.bok.json,0.88544,RAWrabicaSham19Y
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.88502,RELEASE
23678.json,0.88498,RAWrabicaShamAY2
33729.json,0.88426,RAWrabicaShamAY2
13011.json,0.8839,RAWrabicaShamAY2
35075.json,0.88279,RAWrabicaShamAY3
9697.json,0.88063,RAWrabicaShamAY1
0280CuthmanIbnSacidDarimi.NaqdImam.Sham19Y0018091-ara1,0.87986,RELEASE
0256Bukhari.KhalqAfcal.Shamela0009697-ara1,0.87959,RELEASE
13084.json,0.87941,RAWrabicaShamAY2
13087.json,0.87934,RAWrabicaShamAY2
4289.json,0.8791,RAWrabicaShamAY1
13084.bok.json,0.87859,RAWrabicaSham19Y
0380AbuBakrKalabadhi.BahrFawaid.Shamela0013084-ara1,0.87857,RELEASE
Shamela022800.txt,0.87835,raw_ShamelaY19
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.87811,RELEASE
0280CuthmanIbnSacidDarimi.NaqdImam.JK001333-ara1,0.8775,RELEASE
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.87729,RELEASE
12989.bok.json,0.87697,RAWrabicaSham19Y
Shamela036998.txt,0.87612,raw_ShamelaY19
0360Tabarani.AhadithTiwal.Shia002032-ara1,0.8758,RELEASE
103.json,0.87535,RAWrabicaShamAY1
1671.html,0.8751,RAWrabicaRafed
Shamela037009.txt,0.87489,raw_ShamelaY19
12989.json,0.87486,RAWrabicaShamAY2
33873.json,0.87418,RAWrabicaShamAY2
104.json,0.87363,RAWrabicaShamAY1
0360Tabarani.AhadithTiwal.Shamela0012989-ara1,0.87338,RELEASE
0294IbnNasrMarwazi.QiyamRamadan.Shamela0012872-ara1,0.87335,RELEASE
37435.json,0.8729,RAWrabicaShamAY3
31635.json,0.87289,RAWrabicaShamAY2
0256Bukhari.KhalqAfcal.Shia001923-ara1,0.87278,RELEASE
0256Bukhari.KhalqAfcal.JK000546-ara1,0.87268,RELEASE
0458Bayhaqi.Ictiqad.JK000698-ara1,0.87126,RELEASE
Shamela021502.txt,0.87094,raw_ShamelaY19
33932.json,0.87078,RAWrabicaShamAY2
34009.json,0.87073,RAWrabicaShamAY2
13160.bok.json,0.87073,RAWrabicaSham19Y
33926.json,0.87056,RAWrabicaShamAY2
0282HarithHaythami.BughyaBahith.Shamela0013160-ara1,0.87053,RELEASE
13160.json,0.8705,RAWrabicaShamAY2
21502.json,0.87043,RAWrabicaShamAY2
1672.html,0.87028,RAWrabicaRafed
33724.json,0.87019,RAWrabicaShamAY2
0458Bayhaqi.Ictiqad.Shamela0012997-ara1,0.86943,RELEASE
0373AbuLaythSamarqandi.TanbihGhafilin.Shamela0010488-ara1,0.86922,RELEASE
0458Bayhaqi.Ictiqad.ShamAY0034009-ara1,0.86893,RELEASE
002238Vols.automARkdown,0.86876,RAW_Masaha
10488.json,0.86859,RAWrabicaShamAY1
3410.html,0.86828,RAWrabicaRafed
3414.html,0.86808,RAWrabicaRafed
6829.json,0.86764,RAWrabicaShamAY1
10463.json,0.86746,RAWrabicaShamAY1
38045.json,0.86705,RAWrabicaShamAY3
33974.json,0.8661,RAWrabicaShamAY2
8619.json,0.86599,RAW_ABLibrary
Shamela023604.txt,0.86594,raw_ShamelaY19
Shamela021544.txt,0.86571,raw_ShamelaY19
34424.json,0.86566,RAWrabicaShamAY3
4445.json,0.86557,RAWrabicaShamAY1
0311IbnKhuzaymaNaysaburi.Tawhid.ShamAY0033974-ara1,0.8654,RELEASE
3489.html,0.86525,RAWrabicaRafed
3412.html,0.86478,RAWrabicaRafed
6856.json,0.86452,RAWrabicaShamAY1
33556.json,0.86421,RAWrabicaShamAY2
Shamela022771.txt,0.8642,raw_ShamelaY19
1450Maghrawi.MawsucatMawaqifSalaf.Shamela0037325-ara1,0.86362,RELEASE
32483.json,0.86343,RAWrabicaShamAY2
0388AbuSulaymanKhattabi.AclamHadith.Sham19Y0016946-ara1,0.86338,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0010631-ara2,0.86335,RELEASE
Shamela037325.txt,0.86327,raw_ShamelaY19
34063.json,0.86274,RAWrabicaShamAY2
21544.json,0.86272,RAWrabicaShamAY2
12997.json,0.86235,RAWrabicaShamAY2
0180IbnJacfarAnsari.HadithIsmacil.Shamela0021544-ara1,0.86228,RELEASE
32579.json,0.86172,RAWrabicaShamAY2
8427.json,0.86169,RAW_ABLibrary
Shamela023708.txt,0.86165,raw_ShamelaY19
0488IbnFutuhHumaydi.JamcBaynaSahihayn.Shamela0005567-ara1,0.86141,RELEASE
0488IbnFutuhHumaydi.JamcBaynaSahihayn.JK007065-ara1,0.86131,RELEASE
23708.json,0.86102,RAWrabicaShamAY2
5567.json,0.86071,RAWrabicaShamAY1
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0013170-ara1,0.86058,RELEASE
13170.json,0.86041,RAWrabicaShamAY2
1669.html,0.85979,RAWrabicaRafed
34447.json,0.85975,RAWrabicaShamAY3
001924Vols.automARkdown,0.85864,RAW_Masaha
Shia001923,0.85863,RAWrabica040000
0311IbnKhuzaymaNaysaburi.Tawhid.JK009159-ara1,0.85859,RELEASE
0294IbnNasrMarwazi.TaczimQadrSalat.JK000724-ara1,0.85852,RELEASE
32552.json,0.85832,RAWrabicaShamAY2
1661.html,0.85831,RAWrabicaRafed
0380AbuBakrKalabadhi.BahrFawaid.JK009190-ara1,0.85826,RELEASE
3409.html,0.85817,RAWrabicaRafed
8376.json,0.85803,RAWrabicaShamAY1
0249CabdIbnHamid.MuntakhabMinMusnad.Shia001920-ara1,0.85802,RELEASE
6449.json,0.85772,RAWrabicaShamAY1
Shamela144114.txt,0.85742,raw_ShamelaY19
0388AbuSulaymanKhattabi.GhunyaCanKalam.ShamAY0033606-ara1,0.85727,RELEASE
6569.json,0.85723,RAWrabicaShamAY1
0535QawwamSunna.DalailNubuwwa.Shamela0006569-ara1,0.85721,RELEASE
35987.json,0.85632,RAWrabicaShamAY3
1404.json,0.85515,RAWrabicaShamAY1
13032.json,0.85514,RAWrabicaShamAY2
0294IbnNasrMarwazi.Sunna.Shamela0013032-ara1,0.85512,RELEASE
Sham30K0008376,0.85486,RAWrabica010000
0581IbnKharratIshbili.AhkamWusta.Sham19Y0017903-ara1,0.85456,RELEASE
Shamela018632.txt,0.85428,raw_ShamelaY19
33845.json,0.85426,RAWrabicaShamAY2
0294IbnNasrMarwazi.Sunna.JK000659-ara1,0.85423,RELEASE
32009.json,0.85409,RAWrabicaShamAY2
Shamela020855.txt,0.85408,raw_ShamelaY19
7506.bok.json,0.85362,RAWrabicaSham19Y
Shamela038099.txt,0.85359,raw_ShamelaY19
7506.json,0.85331,RAWrabicaShamAY1
Shamela021714.txt,0.85327,raw_ShamelaY19
23604.json,0.85308,RAWrabicaShamAY2
21714.json,0.85307,RAWrabicaShamAY2
0249CabdIbnHamid.MuntakhabMinMusnad.JK000486-ara1,0.85293,RELEASE
21714.bok.json,0.8529,RAWrabicaSham19Y
000520.automARkdown,0.85287,RAW_Masaha
Sham30K0002504,0.85243,RAWrabica005000
1667.html,0.85242,RAWrabicaRafed
Shamela124910.txt,0.85221,raw_ShamelaY19
