unknown,TFIDF_cosine,libVar
0280IbnTayfur.BallaghatNisa.Shamela0012848-ara1,0.99995,RELEASE
12848.json,0.99991,RAWrabicaShamAY2
0280IbnTayfur.BallaghatNisa.Shia003485-ara1,0.99023,RELEASE
1748.html,0.98992,RAWrabicaRafed
004699.automARkdown,0.97965,RAW_Masaha
Shia003485,0.88171,RAWrabica045000
0256ZubayrIbnBakkar.AkhbarMuwaffaqiyyat.Shamela0028453-ara1,0.8462,RELEASE
28453.bok.json,0.84371,RAWrabicaSham19Y
28453.json,0.84243,RAWrabicaShamAY2
Shamela028453.txt,0.84215,raw_ShamelaY19
0328IbnCabdRabbihi.TabaicNisa.Shamela0006945-ara1,0.8402,RELEASE
0328IbnCabdRabbihi.TabaicNisa.JK000009-ara1,0.84005,RELEASE
6945.bok.json,0.83906,RAWrabicaSham19Y
6945.json,0.83802,RAWrabicaShamAY1
002349.automARkdown,0.83796,RAW_Masaha
0320IbnMuhammadBayhaqi.Mahasin.Shamela0000564-ara1,0.83731,RELEASE
0320IbnMuhammadBayhaqi.Mahasin.JK009291-ara1,0.83726,RELEASE
564.json,0.83574,RAWrabicaShamAY1
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.83502,RELEASE
0390IbnZakariyaNahrawani.JalisSalih.Shamela0007301-ara1,0.83499,RELEASE
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.83443,RELEASE
7301.json,0.8332,RAWrabicaShamAY1
35248.json,0.83311,RAWrabicaShamAY3
8746.json,0.83196,RAW_ABLibrary
33734.json,0.83087,RAWrabicaShamAY2
Sham30K0002659,0.82955,RAWrabica005000
11317.json,0.82785,RAWrabicaShamAY2
0564IbnNasrIbnDajajiHanbali.SafatMulah.Shamela0005355-ara1,0.82692,RELEASE
0584IbnMunqidhShayzari.LubabAdab.JK010729-ara1,0.82586,RELEASE
34857.json,0.82535,RAWrabicaShamAY3
0384IbnCaliTanukhi.FarajBacdaShidda.Shamela0012828-ara1,0.82473,RELEASE
0413ShaykhMufid.Ikhtisas.Shia001300-ara1,0.82415,RELEASE
5355.json,0.82375,RAWrabicaShamAY1
0300Anonymous.AkhbarDawlaCabbasiyya.Shia003471-ara1,0.82365,RELEASE
0395AbuHilalCaskari.Awail.JK010370-ara1,0.82359,RELEASE
0300Anonymous.AkhbarDawlaCabbasiyya.Shamela0012226-ara1,0.82347,RELEASE
0255Jahiz.MahasinWaAddad.Shamela0010511-ara2,0.82346,RELEASE
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1,0.82258,RELEASE
10511.bok.json,0.82235,RAWrabicaSham19Y
002334.automARkdown,0.82229,RAW_Masaha
0584IbnMunqidhShayzari.LubabAdab.Shamela0010496-ara1,0.82215,RELEASE
12828.json,0.8219,RAWrabicaShamAY2
10511.json,0.82167,RAWrabicaShamAY1
0285IbnYazidMubarrad.Tacazi.JK009367-ara1,0.82153,RELEASE
0285IbnYazidMubarrad.Tacazi.Shamela0021554-ara1,0.82152,RELEASE
0285IbnYazidMubarrad.TacaziWaMarai.ShamIbadiyya0000610-ara1,0.82097,RELEASE
21554.bok.json,0.82051,RAWrabicaSham19Y
10496.json,0.82019,RAWrabicaShamAY1
0395AbuHilalCaskari.Awail.Shamela0010529-ara1,0.81988,RELEASE
1509.json,0.81929,RAWrabicaShamAY1
21554.json,0.8186,RAWrabicaShamAY2
Shamela021563.txt,0.81855,raw_ShamelaY19
33737.json,0.81842,RAWrabicaShamAY2
Shamela021554.txt,0.8182,raw_ShamelaY19
10529.json,0.81814,RAWrabicaShamAY1
35252.json,0.81799,RAWrabicaShamAY3
2365.automARkdown,0.81795,RAW_Ghbook
Sham30K0033856,0.81615,RAWrabica020000
0562IbnHamdun.TadhkiraHamduniyya.JK009325-ara1,0.81452,RELEASE
33780.json,0.81008,RAWrabicaShamAY2
33750.json,0.80991,RAWrabicaShamAY2
0360Tabarani.AhadithTiwal.Shia002032-ara1,0.8099,RELEASE
0255Jahiz.MahasinWaAddad.ShamAY0033780-ara1,0.80954,RELEASE
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.80951,RELEASE
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.80939,RELEASE
1671.html,0.80856,RAWrabicaRafed
0562IbnHamdun.TadhkiraHamduniyya.Shamela0010646-ara1,0.80791,RELEASE
002238Vols.automARkdown,0.80727,RAW_Masaha
558.json,0.80701,RAWrabicaShamAY1
9384.json,0.80654,RAWrabicaShamAY1
96918.bok.json,0.80555,RAWrabicaSham19Y
0276IbnQutaybaDinawari.CuyunAkhbar.JK010342-ara1,0.80551,RELEASE
34809.json,0.80527,RAWrabicaShamAY3
2038.json,0.80521,RAWrabicaShamAY1
Shamela096918.txt,0.80501,raw_ShamelaY19
33599.json,0.80477,RAWrabicaShamAY2
32109.json,0.80468,RAWrabicaShamAY2
000537Vols.automARkdown,0.80454,RAW_Masaha
1350.html,0.80352,RAWrabicaRafed
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.80336,RELEASE
0488IbnFutuhHumaydi.DhahabMasbuk.ShamAY0033560-ara1,0.80313,RELEASE
0384IbnCaliTanukhi.FarajBacdaShidda.Shia001282Vols-ara1,0.803,RELEASE
592.json,0.80291,RAWrabicaShamAY1
34441.json,0.80271,RAWrabicaShamAY3
0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,0.80266,RELEASE
0212IbnMuzahimMinqari.WaqcatSiffin.Shia003666-ara1,0.80214,RELEASE
004550.automARkdown,0.80185,RAW_Masaha
0360Tabarani.AhadithTiwal.Shamela0012989-ara1,0.8017,RELEASE
002985Vols.automARkdown,0.80148,RAW_Masaha
23789.json,0.80062,RAWrabicaShamAY2
0323IbnCabdCazizBasri.Saqifa.Shia001749-ara1,0.80056,RELEASE
001954.automARkdown,0.80025,RAW_Masaha
12989.bok.json,0.80018,RAWrabicaSham19Y
Shamela023789.txt,0.7998,raw_ShamelaY19
33560.json,0.79882,RAWrabicaShamAY2
002064Vols.automARkdown,0.79866,RAW_Masaha
1669.html,0.79826,RAWrabicaRafed
33724.json,0.79781,RAWrabicaShamAY2
32088.json,0.79766,RAWrabicaShamAY2
7908.json,0.79761,RAW_ABLibrary
12989.json,0.7975,RAWrabicaShamAY2
Shamela022771.txt,0.79748,raw_ShamelaY19
7909.json,0.79707,RAW_ABLibrary
002185.automARkdown,0.79695,RAW_Masaha
001842Vols.automARkdown,0.79607,RAW_Masaha
32092.json,0.79522,RAWrabicaShamAY2
Shamela037325.txt,0.79491,raw_ShamelaY19
0406IbnMuhammadNaysaburi.CuqalaMajanin.JK010625-ara1,0.79491,RELEASE
6938.json,0.79489,RAWrabicaShamAY1
0406IbnMuhammadNaysaburi.CuqalaMajanin.Shamela0001593-ara1,0.79476,RELEASE
0400IbnJarirTabariSaghir.DalailImama.Shia001286-ara1,0.7947,RELEASE
1450Maghrawi.MawsucatMawaqifSalaf.Shamela0037325-ara1,0.79442,RELEASE
8444.json,0.79371,RAW_ABLibrary
7240.json,0.79344,RAWrabicaShamAY1
Shamela021536.txt,0.79336,raw_ShamelaY19
7466.json,0.79331,RAW_ABLibrary
35207.json,0.79324,RAWrabicaShamAY3
001840.automARkdown,0.79303,RAW_Masaha
001923.automARkdown,0.79293,RAW_Masaha
1730.html,0.79216,RAWrabicaRafed
21536.json,0.79195,RAWrabicaShamAY2
34432.json,0.79182,RAWrabicaShamAY3
33051.json,0.79173,RAWrabicaShamAY2
0384IbnCaliTanukhi.Mustajad.Shamela0000768-ara1,0.79146,RELEASE
0384IbnCaliTanukhi.Mustajad.JK010768-ara1,0.79132,RELEASE
0414AbuSacidNaqqash.FununCajaib.JK009216-ara1,0.7913,RELEASE
7898.json,0.79111,RAW_ABLibrary
Shamela096617.txt,0.79078,raw_ShamelaY19
0768.bok.json,0.79051,RAWrabicaSham19Y
34338.json,0.79033,RAWrabicaShamAY3
Shamela021502.txt,0.79023,raw_ShamelaY19
000451Vols.automARkdown,0.79021,RAW_Masaha
0285IbnYazidMubarrad.Fadil.JK010735-ara1,0.78994,RELEASE
768.json,0.78969,RAWrabicaShamAY1
0222IbnBakkarDabi.AkhbarWafidat.Shamela0006717-ara1,0.78954,RELEASE
Sham30K0002829,0.78942,RAWrabica005000
21502.json,0.78942,RAWrabicaShamAY2
0222IbnBakkarDabi.AkhbarWafidat.JK001280-ara1,0.78915,RELEASE
0285IbnYazidMubarrad.Fadil.ShamIbadiyya0000640-ara1,0.78851,RELEASE
003026.automARkdown,0.78842,RAW_Masaha
23653.json,0.78835,RAWrabicaShamAY2
1661.html,0.78826,RAWrabicaRafed
0285IbnYazidMubarrad.Fadil.Shamela0010508-ara1,0.78824,RELEASE
0212IbnMuzahimMinqari.WaqcatSiffin.ShamAY0033834-ara1,0.78809,RELEASE
003007Vols.automARkdown,0.78786,RAW_Masaha
7897.json,0.78757,RAW_ABLibrary
23802.json,0.78749,RAWrabicaShamAY2
1720.html,0.78718,RAWrabicaRafed
0500HusaynIbnCabdWahhab.CuyunMucjizat.Shia001336-ara1,0.78701,RELEASE
