unknown,TFIDF_cosine,libVar
38119.json,0.99357,RAWrabicaShamAY3
0281IbnAbiDunya.CaqlWaFadluh.JK000612-ara1,0.98194,RELEASE
0281IbnAbiDunya.IslahMal.Shamela0013187-ara1,0.91262,RELEASE
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.91222,RELEASE
13187.json,0.91052,RAWrabicaShamAY2
13041.bok.json,0.90966,RAWrabicaSham19Y
0322AbuJacfarCuqayli.DucafaKabir.Shamela0013041-ara1,0.90936,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.ShamAY0034141-ara1,0.90883,RELEASE
13041.json,0.9081,RAWrabicaShamAY2
34141.json,0.90724,RAWrabicaShamAY2
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.90709,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.Shia003078Vols-ara1,0.90622,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.JK000524-ara1,0.90619,RELEASE
4003.bok.json,0.90454,RAWrabicaSham19Y
4003.json,0.90436,RAWrabicaShamAY1
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.9039,RELEASE
38157.json,0.90383,RAWrabicaShamAY3
0327AbuBakrKharaiti.IctilalQulub.JK011273-ara1,0.90375,RELEASE
8477.json,0.90257,RAWrabicaShamAY1
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.9021,RELEASE
0279IbnAbiKhaythama.TarikhKabir.Shamela0008477-ara1,0.90192,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.Shia001936-ara1,0.90144,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.9012,RELEASE
13009.json,0.9,RAWrabicaShamAY2
1304.json,0.89984,RAWrabicaShamAY1
0281IbnAbiDunya.Ikhwan.Shamela0012990-ara1,0.89932,RELEASE
0327AbuBakrKharaiti.IctilalQulub.Shamela0001304-ara1,0.89931,RELEASE
0281IbnAbiDunya.Juc.ShamAY0038165-ara1,0.89918,RELEASE
0281IbnAbiDunya.Warac.ShamAY0038098-ara1,0.89906,RELEASE
0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1,0.89872,RELEASE
0281IbnAbiDunya.Ikhwan.JK000012-ara1,0.89809,RELEASE
12546.bok.json,0.89689,RAWrabicaSham19Y
0439IbnMuhammadKhallal.DhikrManLamYakunLahuIllaHadithWahid.Shamela0012546-ara1,0.89671,RELEASE
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.89565,RELEASE
12990.json,0.89537,RAWrabicaShamAY2
12546.json,0.89516,RAWrabicaShamAY2
38165.json,0.895,RAWrabicaShamAY3
38175.json,0.89495,RAWrabicaShamAY3
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.89495,RELEASE
38098.json,0.89364,RAWrabicaShamAY3
9306.json,0.8936,RAWrabicaShamAY1
0281IbnAbiDunya.Warac.JK000019-ara1,0.89352,RELEASE
38163.json,0.8933,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.89307,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.89293,RELEASE
002296Vols.automARkdown,0.8926,RAW_Masaha
0281IbnAbiDunya.MudaratNas.ShamAY0038129-ara1,0.89252,RELEASE
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.89236,RELEASE
Sham30K0033906,0.89223,RAWrabica020000
0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1,0.89176,RELEASE
32959.json,0.89165,RAWrabicaShamAY2
13078.bok.json,0.89141,RAWrabicaSham19Y
31641.json,0.89109,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.88894,RELEASE
38091.json,0.88883,RAWrabicaShamAY3
13078.json,0.88845,RAWrabicaShamAY2
38093.json,0.88842,RAWrabicaShamAY3
38129.json,0.88816,RAWrabicaShamAY3
38057.json,0.88747,RAWrabicaShamAY3
0281IbnAbiDunya.IshrafFiManazil.ShamAY0038145-ara1,0.88722,RELEASE
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.88703,RELEASE
Shia003078Vols,0.88645,RAWrabica045000
38104.json,0.88639,RAWrabicaShamAY3
12749.json,0.88628,RAWrabicaShamAY2
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.88592,RELEASE
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.88584,RELEASE
0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1,0.88573,RELEASE
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.88542,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.88532,RELEASE
13034.bok.json,0.88526,RAWrabicaSham19Y
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.88524,RELEASE
0281IbnAbiDunya.MudaratNas.JK001144-ara1,0.88473,RELEASE
38145.json,0.88426,RAWrabicaShamAY3
32750.json,0.88421,RAWrabicaShamAY2
0281IbnAbiDunya.Tawba.ShamAY0038061-ara3,0.8839,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.88388,RELEASE
13039.json,0.88382,RAWrabicaShamAY2
0327AbuBakrKharaiti.FadilatShukr.JK000048-ara1,0.88376,RELEASE
0281IbnAbiDunya.IshrafFiManazil.Shamela0012994-ara1,0.88365,RELEASE
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.88349,RELEASE
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.88348,RELEASE
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.88331,RELEASE
13034.json,0.88329,RAWrabicaShamAY2
0398IbnCaliHamadhani.Hadith.Shamela0021685-ara1,0.88315,RELEASE
13152.json,0.88286,RAWrabicaShamAY2
1405.json,0.88253,RAWrabicaShamAY1
38076.json,0.88237,RAWrabicaShamAY3
0306Wakic.AkhbarQudat.Shamela0000150-ara1,0.88214,RELEASE
13075.json,0.88197,RAWrabicaShamAY2
150.json,0.88193,RAWrabicaShamAY1
34661.json,0.88188,RAWrabicaShamAY3
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.88188,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.88176,RELEASE
38131.json,0.88172,RAWrabicaShamAY3
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.88153,RELEASE
Shamela021685.txt,0.88132,raw_ShamelaY19
0354IbnHibbanBusti.Majruhin.Sham19Y0151099-ara1,0.88113,RELEASE
13140.bok.json,0.88113,RAWrabicaSham19Y
0480IbnAhmadHakimHaskani.ShawahidTanzil.Shia002550Vols-ara1,0.88103,RELEASE
Shamela151099.txt,0.88096,raw_ShamelaY19
0306Wakic.AkhbarQudat.JK007001-ara1,0.88076,RELEASE
38053.json,0.88069,RAWrabicaShamAY3
0281IbnAbiDunya.Ikhwan.ShamAY0038053-ara1,0.88067,RELEASE
0281IbnAbiDunya.Warac.Shia001939-ara1,0.88065,RELEASE
0365IbnCadiJurjani.KamilFiDucafa.ShamAY0034661-ara1,0.88057,RELEASE
0306Wakic.AkhbarQudat.Shia003426Vols-ara1,0.8805,RELEASE
0375IbnQasimMiyaniji.Juz.Shamela0029728-ara1,0.88041,RELEASE
32765.json,0.88006,RAWrabicaShamAY2
21685.json,0.87947,RAWrabicaShamAY2
13140.json,0.87944,RAWrabicaShamAY2
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.8793,RELEASE
0281IbnAbiDunya.Tahajjud.ShamAY0038106-ara1,0.87917,RELEASE
0281IbnAbiDunya.IslahMal.ShamAY0038076-ara1,0.87886,RELEASE
Shamela029728.txt,0.87883,raw_ShamelaY19
Shamela029991.txt,0.87876,raw_ShamelaY19
0341AbuHasanIbnMaqabiri.Hadith.ShamAY0032800-ara1,0.87861,RELEASE
6899.json,0.87843,RAWrabicaShamAY1
0471IbnCaliBalkhi.Wakhshiyyat.Shamela0029991-ara1,0.87838,RELEASE
38061.json,0.87824,RAWrabicaShamAY3
Shamela026514.txt,0.87819,raw_ShamelaY19
0281IbnAbiDunya.QasrAmal.Shamela0006899-ara1,0.87757,RELEASE
Sham30K0034083,0.87734,RAWrabica020000
32800.json,0.87708,RAWrabicaShamAY2
0385IbnShahin.Afrad.Shamela0026514-ara1,0.87684,RELEASE
38106.json,0.87676,RAWrabicaShamAY3
0281IbnAbiDunya.MatarWaRacd.ShamAY0038120-ara1,0.87644,RELEASE
0281IbnAbiDunya.Mutamannin.ShamAY0038133-ara2,0.87634,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.87588,RELEASE
33976.json,0.87586,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.JK000054-ara1,0.87578,RELEASE
26514.json,0.8755,RAWrabicaShamAY2
Shamela021485.txt,0.87541,raw_ShamelaY19
Shamela026425.txt,0.87536,raw_ShamelaY19
0273IbnMaja.Sunan.Shamela0001198-ara1,0.8752,RELEASE
0281IbnAbiDunya.Cuzla.ShamAY0038169-ara1,0.87501,RELEASE
0281IbnAbiDunya.Tahajjud.JK001127-ara1,0.87485,RELEASE
Sham30K0039018,0.87436,RAWrabica025000
0281IbnAbiDunya.Ciyal.JK000866-ara1,0.87432,RELEASE
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.87423,RELEASE
98.json,0.87421,RAW_ABLibrary
Sham30K0008266,0.87417,RAWrabica010000
0395IbnMandahMuhammad.Tawhid.JK011329-ara1,0.87414,RELEASE
78.json,0.8741,RAWrabicaShamAY1
Shamela021672.txt,0.87407,raw_ShamelaY19
0281IbnAbiDunya.Shukr.ShamAY0038160-ara1,0.87406,RELEASE
8355.json,0.87389,RAW_ABLibrary
0400IbnMuhammadLihyani.Hadith.Shamela0021672-ara1,0.87358,RELEASE
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.87338,RELEASE
0458Bayhaqi.DalailNubuwwa.JK006838-ara1,0.87323,RELEASE
9595.json,0.87248,RAWrabicaShamAY1
Sham30K0002681,0.87228,RAWrabica005000
21672.json,0.87213,RAWrabicaShamAY2
0360Tabarani.MucjamAwsat.JK000883-ara1,0.87192,RELEASE
9595.bok.json,0.87167,RAWrabicaSham19Y
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.87164,RELEASE
29991.bok.json,0.87121,RAWrabicaSham19Y
0281IbnAbiDunya.SifatNar.ShamAY0038137-ara1,0.87117,RELEASE
12748.json,0.87102,RAWrabicaShamAY2
004652Vols.automARkdown,0.87095,RAW_Masaha
38120.json,0.87092,RAWrabicaShamAY3
Shamela0008477,0.87086,RAWrabica035000
35229.json,0.87086,RAWrabicaShamAY3
0281IbnAbiDunya.IstinacMacruf.ShamAY0038077-ara1,0.87082,RELEASE
38133.json,0.8705,RAWrabicaShamAY3
Sham30K0033993,0.87044,RAWrabica020000
0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1,0.87018,RELEASE
8266.json,0.86994,RAWrabicaShamAY1
38160.json,0.8698,RAWrabicaShamAY3
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.86964,RELEASE
