unknown,TFIDF_cosine,libVar
38104.json,0.98416,RAWrabicaShamAY3
13075.json,0.9835,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.98342,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.98327,RELEASE
1401.json,0.95908,RAWrabicaShamAY1
Sham30K0038957,0.95869,RAWrabica025000
Sham30K0033906,0.95621,RAWrabica020000
9595.json,0.95354,RAWrabicaShamAY1
9595.bok.json,0.95333,RAWrabicaSham19Y
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.95298,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.95264,RELEASE
Shamela098138.txt,0.95254,raw_ShamelaY19
0273IbnMaja.Sunan.Shamela0098138-ara1,0.95193,RELEASE
Shamela029857.txt,0.95135,raw_ShamelaY19
35229.json,0.95059,RAWrabicaShamAY3
13175.bok.json,0.94922,RAWrabicaSham19Y
38157.json,0.9491,RAWrabicaShamAY3
33959.json,0.94909,RAWrabicaShamAY2
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.94871,RELEASE
38129.json,0.94848,RAWrabicaShamAY3
0273IbnMaja.Sunan.Shamela0001198-ara1,0.94808,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.94776,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.94774,RELEASE
1198.json,0.94756,RAWrabicaShamAY1
0281IbnAbiDunya.MudaratNas.Shamela0013152-ara1,0.94743,RELEASE
13175.json,0.9474,RAWrabicaShamAY2
13009.json,0.94738,RAWrabicaShamAY2
1198.bok.json,0.9472,RAWrabicaSham19Y
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.94685,RELEASE
0281IbnAbiDunya.MudaratNas.JK001144-ara1,0.94683,RELEASE
38093.json,0.94645,RAWrabicaShamAY3
38113.json,0.94622,RAWrabicaShamAY3
13152.json,0.94593,RAWrabicaShamAY2
0281IbnAbiDunya.MaradWaKaffarat.Shamela0013064-ara1,0.94591,RELEASE
1405.json,0.94561,RAWrabicaShamAY1
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.94557,RELEASE
0281IbnAbiDunya.MudaratNas.ShamAY0038129-ara1,0.9455,RELEASE
13039.json,0.94549,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.94547,RELEASE
0281IbnAbiDunya.MaradWaKaffarat.ShamAY0038113-ara1,0.94541,RELEASE
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1,0.94509,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.94487,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.9448,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.94365,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.94348,RELEASE
0371AhmadJurjani.Mucjam.JK000760-ara1,0.94338,RELEASE
38163.json,0.9432,RAWrabicaShamAY3
Shamela021570.txt,0.94299,raw_ShamelaY19
21570.bok.json,0.94278,RAWrabicaSham19Y
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.94274,RELEASE
1325.json,0.9424,RAWrabicaShamAY1
21570.json,0.94219,RAWrabicaShamAY2
33852.json,0.94218,RAWrabicaShamAY2
0281IbnAbiDunya.TawaducWaKhumul.Shia001936-ara1,0.94213,RELEASE
Shamela026474.txt,0.94211,raw_ShamelaY19
Sham30K0044088,0.94189,RAWrabica030000
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.94174,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.94168,RELEASE
Shamela026425.txt,0.94163,raw_ShamelaY19
33984.json,0.94152,RAWrabicaShamAY2
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.94152,RELEASE
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.94151,RELEASE
