unknown,TFIDF_cosine,libVar
Sham30K0008241,0.96719,RAWrabica010000
8241.json,0.96647,RAWrabicaShamAY1
0281IbnAbiDunya.DhammGhiba.Shamela0008241-ara1,0.9655,RELEASE
38151.json,0.95324,RAWrabicaShamAY3
0281IbnAbiDunya.DhammGhiba.ShamAY0038151-ara1,0.94927,RELEASE
0281IbnAbiDunya.Samt.Shia001943-ara3,0.93433,RELEASE
38093.json,0.93417,RAWrabicaShamAY3
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.93325,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.93324,RELEASE
13039.json,0.93319,RAWrabicaShamAY2
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.93317,RELEASE
Sham30K0033906,0.92227,RAWrabica020000
9595.json,0.92129,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.92073,RELEASE
9595.bok.json,0.92068,RAWrabicaSham19Y
38096.json,0.92049,RAWrabicaShamAY3
38104.json,0.91969,RAWrabicaShamAY3
38157.json,0.91871,RAWrabicaShamAY3
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.91861,RELEASE
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.91851,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.91847,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.9181,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.Shamela0013009-ara1,0.91766,RELEASE
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.91765,RELEASE
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.91742,RELEASE
13075.json,0.91698,RAWrabicaShamAY2
13009.json,0.91653,RAWrabicaShamAY2
Sham30K0038957,0.91639,RAWrabica025000
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.91616,RELEASE
0281IbnAbiDunya.Khumul.ShamAY0038157-ara1,0.91601,RELEASE
1401.json,0.91569,RAWrabicaShamAY1
Sham30K0039018,0.915,RAWrabica025000
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.9133,RELEASE
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.91322,RELEASE
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.91203,RELEASE
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.91186,RELEASE
38129.json,0.91151,RAWrabicaShamAY3
