unknown,TFIDF_cosine,libVar
38165.json,0.99938,RAWrabicaShamAY3
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.99541,RELEASE
9306.json,0.9875,RAWrabicaShamAY1
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.94364,RELEASE
0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1,0.94316,RELEASE
0281IbnAbiDunya.Warac.ShamAY0038098-ara1,0.94313,RELEASE
38098.json,0.94246,RAWrabicaShamAY3
38175.json,0.94243,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.JK000019-ara1,0.94212,RELEASE
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.94166,RELEASE
0281IbnAbiDunya.IshrafFiManazil.Shamela0012994-ara1,0.94072,RELEASE
13078.json,0.93962,RAWrabicaShamAY2
13078.bok.json,0.93892,RAWrabicaSham19Y
0281IbnAbiDunya.IshrafFiManazil.ShamAY0038145-ara1,0.93848,RELEASE
38145.json,0.93742,RAWrabicaShamAY3
0281IbnAbiDunya.QasrAmal.Shamela0006899-ara1,0.93173,RELEASE
6899.json,0.93166,RAWrabicaShamAY1
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.93154,RELEASE
0322AbuJacfarCuqayli.DucafaKabir.Shamela0013041-ara1,0.92761,RELEASE
13041.bok.json,0.92757,RAWrabicaSham19Y
0281IbnAbiDunya.Muhtadarin.JK001153-ara1,0.927,RELEASE
13041.json,0.92684,RAWrabicaShamAY2
13058.bok.json,0.92674,RAWrabicaSham19Y
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.92636,RELEASE
0281IbnAbiDunya.Muhtadarin.ShamAY0038114-ara1,0.92635,RELEASE
0327AbuBakrKharaiti.IctilalQulub.Shamela0001304-ara1,0.92613,RELEASE
1304.json,0.926,RAWrabicaShamAY1
0322AbuJacfarCuqayli.DucafaKabir.ShamAY0034141-ara1,0.92591,RELEASE
0327AbuBakrKharaiti.IctilalQulub.JK011273-ara1,0.92521,RELEASE
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.92511,RELEASE
34141.json,0.9249,RAWrabicaShamAY2
13058.json,0.92437,RAWrabicaShamAY2
38114.json,0.92394,RAWrabicaShamAY3
0410IbnCumarDimashqi.Fawaid.Shamela0004003-ara1,0.92367,RELEASE
38131.json,0.92345,RAWrabicaShamAY3
0322AbuJacfarCuqayli.DucafaKabir.Shia003078Vols-ara1,0.9234,RELEASE
4003.json,0.92337,RAWrabicaShamAY1
0322AbuJacfarCuqayli.DucafaKabir.JK000524-ara1,0.92336,RELEASE
4003.bok.json,0.92323,RAWrabicaSham19Y
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.92284,RELEASE
32959.json,0.92256,RAWrabicaShamAY2
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.92254,RELEASE
31641.json,0.92161,RAWrabicaShamAY2
Sham30K0008266,0.9214,RAWrabica010000
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.92011,RELEASE
12994.json,0.91979,RAWrabicaShamAY2
8266.json,0.91954,RAWrabicaShamAY1
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.91939,RELEASE
38163.json,0.91909,RAWrabicaShamAY3
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.91899,RELEASE
12749.json,0.91788,RAWrabicaShamAY2
38057.json,0.91663,RAWrabicaShamAY3
0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1,0.9155,RELEASE
0279IbnAbiKhaythama.TarikhKabir.Shamela0008477-ara1,0.91539,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032750-ara1,0.91517,RELEASE
8477.json,0.91516,RAWrabicaShamAY1
32750.json,0.91429,RAWrabicaShamAY2
002296Vols.automARkdown,0.91393,RAW_Masaha
0281IbnAbiDunya.IslahMal.JK001040-ara1,0.91384,RELEASE
0281IbnAbiDunya.IslahMal.Shamela0013187-ara1,0.91362,RELEASE
13187.json,0.91231,RAWrabicaShamAY2
0281IbnAbiDunya.Cuzla.ShamAY0038169-ara1,0.91077,RELEASE
38169.json,0.91028,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.Shia001939-ara1,0.90946,RELEASE
0281IbnAbiDunya.DhammDunya.ShamAY0038174-ara1,0.90916,RELEASE
33976.json,0.90912,RAWrabicaShamAY2
38174.json,0.90907,RAWrabicaShamAY3
0465IbnMuhtadi.Fawaid.ShamAY0032765-ara1,0.90895,RELEASE
0327AbuBakrKharaiti.FadilatShukr.JK000048-ara1,0.90882,RELEASE
0398IbnCaliHamadhani.Hadith.Shamela0021685-ara1,0.90871,RELEASE
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.90868,RELEASE
32765.json,0.90838,RAWrabicaShamAY2
0439IbnMuhammadKhallal.DhikrManLamYakunLahuIllaHadithWahid.Shamela0012546-ara1,0.90792,RELEASE
0463KhatibBaghdadi.KifayaFiCilmRiwaya.ShamAY0033976-ara1,0.90787,RELEASE
98.json,0.90778,RAW_ABLibrary
Sham30K0034083,0.90761,RAWrabica020000
