unknown,TFIDF_cosine,libVar
240.json,0.99993,RAWrabicaShamAY1
9897.json,0.96607,RAW_ABLibrary
9898.json,0.83089,RAW_ABLibrary
9915.json,0.80217,RAW_ABLibrary
9905.json,0.80033,RAW_ABLibrary
9906.json,0.78716,RAW_ABLibrary
9916.json,0.78693,RAW_ABLibrary
9918.json,0.78407,RAW_ABLibrary
9907.json,0.78225,RAW_ABLibrary
9925.json,0.77524,RAW_ABLibrary
9899.json,0.76824,RAW_ABLibrary
9919.json,0.76794,RAW_ABLibrary
9913.json,0.76487,RAW_ABLibrary
9923.json,0.75953,RAW_ABLibrary
9902.json,0.75639,RAW_ABLibrary
9904.json,0.75548,RAW_ABLibrary
9917.json,0.74346,RAW_ABLibrary
9924.json,0.74157,RAW_ABLibrary
9909.json,0.74049,RAW_ABLibrary
9908.json,0.72955,RAW_ABLibrary
9914.json,0.72711,RAW_ABLibrary
9922.json,0.72438,RAW_ABLibrary
9903.json,0.72279,RAW_ABLibrary
9912.json,0.71582,RAW_ABLibrary
9900.json,0.70093,RAW_ABLibrary
9926.json,0.6973,RAW_ABLibrary
7942.json,0.68962,RAW_ABLibrary
9921.json,0.68691,RAW_ABLibrary
9920.json,0.68553,RAW_ABLibrary
2923.html,0.68375,RAWrabicaRafed
9932.json,0.67804,RAW_ABLibrary
9198.json,0.67542,RAW_ABLibrary
9884.json,0.67257,RAW_ABLibrary
9816.json,0.67052,RAW_ABLibrary
9888.json,0.66948,RAW_ABLibrary
0260IbnSahlTabari.FirdawsHikmaFiTibb.Shia004667-ara1,0.66837,RELEASE
7943.json,0.66636,RAW_ABLibrary
9911.json,0.66577,RAW_ABLibrary
2927.html,0.66227,RAWrabicaRafed
8430.json,0.66204,RAW_ABLibrary
9878.json,0.66101,RAW_ABLibrary
9880.json,0.66085,RAW_ABLibrary
9934.json,0.6607,RAW_ABLibrary
9867.json,0.66038,RAW_ABLibrary
9987.json,0.66018,RAW_ABLibrary
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.66013,RELEASE
9885.json,0.65924,RAW_ABLibrary
9839.json,0.6592,RAW_ABLibrary
9830.json,0.65918,RAW_ABLibrary
9848.json,0.65904,RAW_ABLibrary
9977.json,0.65883,RAW_ABLibrary
9879.json,0.65768,RAW_ABLibrary
7944.json,0.65726,RAW_ABLibrary
725.html,0.65702,RAWrabicaRafed
9910.json,0.65575,RAW_ABLibrary
1376.html,0.65549,RAWrabicaRafed
9892.json,0.65539,RAW_ABLibrary
9933.json,0.65503,RAW_ABLibrary
9877.json,0.65436,RAW_ABLibrary
32338.json,0.65343,RAWrabicaShamAY2
3152.html,0.6534,RAWrabicaRafed
8187.json,0.65314,RAWrabicaShamAY1
8520.json,0.65242,RAW_ABLibrary
8187.bok.json,0.65241,RAWrabicaSham19Y
