unknown,TFIDF_cosine,libVar
38175.json,0.99948,RAWrabicaShamAY3
0281IbnAbiDunya.QasrAmal.Shamela0006899-ara1,0.96675,RELEASE
6899.json,0.96643,RAWrabicaShamAY1
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.96602,RELEASE
0281IbnAbiDunya.IshrafFiManazil.JK001039-ara1,0.94433,RELEASE
0281IbnAbiDunya.IshrafFiManazil.Shamela0012994-ara1,0.94362,RELEASE
0281IbnAbiDunya.Juc.ShamAY0038165-ara1,0.94316,RELEASE
0281IbnAbiDunya.IshrafFiManazil.ShamAY0038145-ara1,0.94253,RELEASE
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.94248,RELEASE
38145.json,0.94164,RAWrabicaShamAY3
38165.json,0.9413,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.ShamAY0038098-ara1,0.93992,RELEASE
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.9396,RELEASE
0281IbnAbiDunya.Muhtadarin.ShamAY0038114-ara1,0.9395,RELEASE
38098.json,0.93872,RAWrabicaShamAY3
0281IbnAbiDunya.Warac.JK000019-ara1,0.93863,RELEASE
9306.json,0.93834,RAWrabicaShamAY1
38114.json,0.93757,RAWrabicaShamAY3
38174.json,0.93753,RAWrabicaShamAY3
0281IbnAbiDunya.DhammDunya.ShamAY0038174-ara1,0.93734,RELEASE
13078.bok.json,0.93617,RAWrabicaSham19Y
13078.json,0.93558,RAWrabicaShamAY2
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.93122,RELEASE
38163.json,0.93081,RAWrabicaShamAY3
38057.json,0.93033,RAWrabicaShamAY3
0281IbnAbiDunya.Qanaca.ShamAY0038057-ara1,0.92999,RELEASE
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.92976,RELEASE
13058.bok.json,0.92936,RAWrabicaSham19Y
0281IbnAbiDunya.Muhtadarin.JK001153-ara1,0.92892,RELEASE
12994.json,0.92826,RAWrabicaShamAY2
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.9281,RELEASE
38131.json,0.92747,RAWrabicaShamAY3
13058.json,0.92653,RAWrabicaShamAY2
0327AbuBakrKharaiti.IctilalQulub.Shamela0001304-ara1,0.92524,RELEASE
0281IbnAbiDunya.Cuzla.ShamAY0038169-ara1,0.92461,RELEASE
1304.json,0.92451,RAWrabicaShamAY1
