unknown,TFIDF_cosine,libVar
0281IbnAbiDunya.Rida.Shamela0013024-ara1,0.99853,RELEASE
34117.json,0.99844,RAWrabicaShamAY2
13024.json,0.99752,RAWrabicaShamAY2
0281IbnAbiDunya.Rida.JK000700-ara1,0.99217,RELEASE
0281IbnAbiDunya.Rida.Shia001942-ara3,0.97036,RELEASE
6899.json,0.94144,RAWrabicaShamAY1
0281IbnAbiDunya.QasrAmal.Shamela0006899-ara1,0.94144,RELEASE
0281IbnAbiDunya.QasrAmal.JK009174-ara1,0.94025,RELEASE
0281IbnAbiDunya.Muhtadarin.JK001153-ara1,0.93199,RELEASE
0281IbnAbiDunya.Muhtadarin.Shamela0013058-ara1,0.93147,RELEASE
0281IbnAbiDunya.Cuqubat.Shamela0008266-ara1,0.93143,RELEASE
Sham30K0008266,0.93108,RAWrabica010000
13058.bok.json,0.93047,RAWrabicaSham19Y
8266.json,0.93045,RAWrabicaShamAY1
13058.json,0.9295,RAWrabicaShamAY2
Sham30K0008230,0.9241,RAWrabica010000
0281IbnAbiDunya.DhammMalahi.Shamela0008230-ara1,0.92187,RELEASE
8230.json,0.92131,RAWrabicaShamAY1
38081.json,0.90887,RAWrabicaShamAY3
0277IbnSufyanFasawi.Mashyakha.Shamela0021670-ara1,0.90479,RELEASE
21670.bok.json,0.90276,RAWrabicaSham19Y
21670.json,0.90265,RAWrabicaShamAY2
38165.json,0.90222,RAWrabicaShamAY3
0387IbnBattaCukbari.IbanaKubra.Shamela0008206-ara1,0.9022,RELEASE
Shamela021670.txt,0.90203,raw_ShamelaY19
0281IbnAbiDunya.Juc.ShamAY0038165-ara1,0.9011,RELEASE
31641.json,0.90095,RAWrabicaShamAY2
0281IbnAbiDunya.Rida.ShamAY0038081-ara2,0.90044,RELEASE
0281IbnAbiDunya.Juc.Shamela0009306-ara1,0.89862,RELEASE
0281IbnAbiDunya.IstinacMacruf.Shamela0006022-ara1,0.89627,RELEASE
1406.json,0.89598,RAWrabicaShamAY1
38175.json,0.89408,RAWrabicaShamAY3
0400IbnMuhammadLihyani.Hadith.Shamela0021672-ara1,0.89344,RELEASE
21672.json,0.89309,RAWrabicaShamAY2
0444AbuCamrDani.SunanWarida.Shamela0013034-ara1,0.89267,RELEASE
Shamela021672.txt,0.8926,raw_ShamelaY19
0281IbnAbiDunya.QasrAmal.ShamAY0038175-ara1,0.89254,RELEASE
13034.bok.json,0.89234,RAWrabicaSham19Y
13034.json,0.89076,RAWrabicaShamAY2
0246HusaynMarwazi.BirrWaSila.Shamela0013007-ara1,0.89004,RELEASE
98.json,0.88991,RAW_ABLibrary
0457IbnAhmadSayrafi.Mashyakha.Shamela0012749-ara1,0.88966,RELEASE
0246HusaynMarwazi.BirrWaSila.JK000033-ara1,0.88915,RELEASE
13007.json,0.8891,RAWrabicaShamAY2
33939.json,0.88855,RAWrabicaShamAY2
9306.json,0.88838,RAWrabicaShamAY1
0360AbuBakrAjurri.Sharica.JK009158-ara1,0.88753,RELEASE
0368IbnJacfarQatici.Fawaid.Shamela0013099-ara1,0.88549,RELEASE
0281IbnAbiDunya.Cuqubat.ShamAY0038131-ara1,0.88539,RELEASE
38131.json,0.88472,RAWrabicaShamAY3
1304.json,0.88399,RAWrabicaShamAY1
0327AbuBakrKharaiti.IctilalQulub.Shamela0001304-ara1,0.88396,RELEASE
8494.json,0.88391,RAWrabicaShamAY1
0282IbnIshaqJahdami.AhkamQuran.Shamela0006206-ara1,0.88365,RELEASE
0241IbnHanbal.Zuhd.Shamela0008494-ara1,0.88361,RELEASE
0330IbnIsmacilMahamili.SalatCidayn.ShamAY0038154-ara1,0.8836,RELEASE
0256Bukhari.AdabMufrad.Shia001922-ara1,0.8836,RELEASE
12749.json,0.88356,RAWrabicaShamAY2
6206.json,0.88299,RAWrabicaShamAY1
0281IbnAbiDunya.Warac.Shamela0013078-ara1,0.8828,RELEASE
0465IbnMuhtadi.Mashyakha.ShamAY0032959-ara1,0.8827,RELEASE
0241IbnHanbal.Zuhd.JK000084-ara2,0.88265,RELEASE
32959.json,0.88244,RAWrabicaShamAY2
38154.json,0.88241,RAWrabicaShamAY3
0256Bukhari.AdabMufrad.JK000011-ara1,0.88197,RELEASE
0327AbuBakrKharaiti.FadilatShukr.Shamela0013140-ara1,0.88196,RELEASE
