unknown,TFIDF_cosine,libVar
30427.json,0.99974,RAWrabicaShamAY2
Shamela030427.txt,0.99743,raw_ShamelaY19
12847.json,0.82543,RAWrabicaShamAY2
0636IbnAbiMucammarAbuKhayrTabrizi.NasihaLiRaci.Shamela0012847-ara1,0.82453,RELEASE
Shamela030617.txt,0.79556,raw_ShamelaY19
30617.json,0.78491,RAWrabicaShamAY2
0600CabdGhaniMuqaddasi.TawhidLiLlah.JK001277-ara1,0.77275,RELEASE
Shamela029794.txt,0.75843,raw_ShamelaY19
29794.bok.json,0.75656,RAWrabicaSham19Y
29794.json,0.75527,RAWrabicaShamAY2
0571IbnCasakir.Tawba.JK000068-ara1,0.74559,RELEASE
32922.json,0.74217,RAWrabicaShamAY2
32887.json,0.74172,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.JuzMuntakaMinHadithMakki.ShamAY0032922-ara1,0.73909,RELEASE
0620IbnQudamaMaqdisi.IthbatSifatCuluww.Shamela0007268-ara1,0.73886,RELEASE
33615.json,0.7376,RAWrabicaShamAY2
0413IbnTalhaNaccali.Fawaid.Shamela0030435-ara1,0.7375,RELEASE
Shamela030346.txt,0.73721,raw_ShamelaY19
0620IbnQudamaMaqdisi.Fawaid.ShamAY0032887-ara1,0.73655,RELEASE
Shamela030435.txt,0.73625,raw_ShamelaY19
9381.json,0.73579,RAWrabicaShamAY1
0600CabdGhaniMuqaddasi.AhadithJamacili.Shamela0030346-ara1,0.73549,RELEASE
0413IbnTalhaNaccali.Fawaid.Shamela0030435-ara1,0.73475,RELEASE
30346.json,0.73377,RAWrabicaShamAY2
Shamela030657.txt,0.73331,raw_ShamelaY19
30435.json,0.73037,RAWrabicaShamAY2
0600CabdGhaniMuqaddasi.MisbahFiCuyunSihah.Shamela0030657-ara1,0.73007,RELEASE
30657.json,0.72995,RAWrabicaShamAY2
0533IbnTahirAbuQasimShahhami.Ahadith.ShamAY0032798-ara1,0.72983,RELEASE
32798.json,0.72977,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.RuwatArbacatCashar.Shamela0021626-ara1,0.72921,RELEASE
9388.json,0.72911,RAWrabicaShamAY1
Shamela030055.txt,0.72824,raw_ShamelaY19
0533IbnTahirAbuQasimShahhami.Ahadith.ShamAY0032798-ara1,0.72708,RELEASE
0571IbnCasakir.Tawba.ShamAY0033615-ara1,0.72627,RELEASE
0623IbnCabWahidBukhariMuqaddasi.MajmucTakhrij.Shamela0030055-ara1,0.7253,RELEASE
Shamela021626.txt,0.7239,raw_ShamelaY19
21626.json,0.72324,RAWrabicaShamAY2
0852IbnHajarCasqalani.NazmLaali.Shamela0012865-ara1,0.72236,RELEASE
12865.json,0.72095,RAWrabicaShamAY2
30055.json,0.71884,RAWrabicaShamAY2
0303Nasai.SunanKubra.JK000475-ara1,0.71569,RELEASE
0303Nasai.SunanKubra.ShamAY0033958-ara1,0.71494,RELEASE
6749.json,0.71355,RAWrabicaShamAY1
0571IbnCasakir.HadiWaKhamsunMinAmali.Shamela0029789-ara1,0.7126,RELEASE
0303Nasai.SunanKubra.JK000475-ara1,0.70984,RELEASE
32764.json,0.7092,RAWrabicaShamAY2
0294IbnNasrMarwazi.Sunna.Shamela0013032-ara1,0.70873,RELEASE
0571IbnCasakir.HadiWaKhamsunMinAmali.Shamela0029789-ara1,0.70858,RELEASE
0600CabdGhaniMuqaddasi.TarghibFiDuca.JK001266-ara1,0.70797,RELEASE
0294IbnNasrMarwazi.Sunna.JK000659-ara1,0.70762,RELEASE
13032.json,0.70727,RAWrabicaShamAY2
0303Nasai.SunanKubra.Shia001964Vols-ara1,0.70514,RELEASE
33625.json,0.70494,RAWrabicaShamAY2
0294IbnNasrMarwazi.Sunna.Shamela0013032-ara1,0.70432,RELEASE
2262.html,0.70287,RAWrabicaRafed
0550IbnBahramHarami.Fawaid.ShamAY0032764-ara1,0.70206,RELEASE
0600CabdGhaniMuqaddasi.FadailCumarIbnKhattab.Shamela0030266-ara1,0.70055,RELEASE
Shia003157Vols_b,0.69958,RAWrabica045000
Shamela030266.txt,0.69885,raw_ShamelaY19
0511IbnMandahYahya.Amali.Shamela0030027-ara1,0.69796,RELEASE
0550IbnBahramHarami.Fawaid.ShamAY0032764-ara1,0.69761,RELEASE
32903.json,0.6975,RAWrabicaShamAY2
30266.bok.json,0.69662,RAWrabicaSham19Y
30027.json,0.69654,RAWrabicaShamAY2
30266.json,0.69644,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.BulghatTalibHathith.Shamela0030294-ara1,0.69639,RELEASE
30294.json,0.69615,RAWrabicaShamAY2
Shamela030294.txt,0.69577,raw_ShamelaY19
Shamela030027.txt,0.69558,raw_ShamelaY19
32856.json,0.69532,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.CawaliAsanid.ShamAY0032903-ara1,0.69495,RELEASE
32928.json,0.69494,RAWrabicaShamAY2
11417.json,0.69416,RAWrabicaShamAY2
0511IbnMandahYahya.Amali.Shamela0030027-ara1,0.69351,RELEASE
0620IbnQudamaMaqdisi.BulghatTalibHathith.Shamela0011417-ara1,0.69205,RELEASE
33958.json,0.6896,RAWrabicaShamAY2
34010.json,0.687,RAWrabicaShamAY2
0536IbnAhmadAbuQasimSamarqandi.FawaidCawali.ShamAY0032928-ara1,0.68691,RELEASE
0197IbnWahbQurashi.Qadar.JK000316-ara1,0.68683,RELEASE
0458Bayhaqi.BacthWaNushur.Shamela0009292-ara1,0.6864,RELEASE
0458Bayhaqi.BacthWaNushur.ShamAY0034010-ara1,0.68586,RELEASE
9292.bok.json,0.68582,RAWrabicaSham19Y
33704.json,0.68576,RAWrabicaShamAY2
1384.json,0.68518,RAWrabicaShamAY1
0571IbnCasakir.DhammManLaYacmaluBiCilmihi.Shamela0026501-ara1,0.68511,RELEASE
Shamela038202.txt,0.68489,raw_ShamelaY19
0536IbnAhmadAbuQasimSamarqandi.FawaidCawali.ShamAY0032928-ara1,0.68478,RELEASE
0465IbnHawazinQushayri.Arbacina.ShamAY0033704-ara1,0.6845,RELEASE
33907.json,0.68392,RAWrabicaShamAY2
26892.json,0.68374,RAWrabicaShamAY2
9292.json,0.68339,RAWrabicaShamAY1
Shamela029789.txt,0.6831,raw_ShamelaY19
0600CabdGhaniMuqaddasi.NihayatMurad.Shamela0038202-ara1,0.6825,RELEASE
0533IbnTahirAbuQasimShahhami.AhadithSubaciyyat.Shamela0010444-ara1,0.68243,RELEASE
0458Bayhaqi.BacthWaNushur.Shamela0009292-ara1,0.68197,RELEASE
Shamela029922.txt,0.68188,raw_ShamelaY19
0571IbnCasakir.DhammManLaYacmaluBiCilmihi.Shamela0026501-ara1,0.68168,RELEASE
0470CaliIbnGhanaim.Fawaid.Shamela0029922-ara1,0.68153,RELEASE
29789.json,0.68147,RAWrabicaShamAY2
29922.json,0.68146,RAWrabicaShamAY2
0465IbnHawazinQushayri.Arbacina.ShamAY0033704-ara1,0.6812,RELEASE
10444.json,0.68096,RAWrabicaShamAY1
0197IbnWahbQurashi.Qadar.JK000316-ara1,0.68091,RELEASE
5721.json,0.68083,RAWrabicaShamAY1
0581AbuMusaMadini.RubaciTabicin.Shamela0029793-ara1,0.6803,RELEASE
0533IbnTahirAbuQasimShahhami.AhadithSubaciyyat.Shamela0010444-ara1,0.67996,RELEASE
5721.bok.json,0.67976,RAWrabicaSham19Y
0597IbnJawzi.Muqliq.Shamela0026892-ara1,0.67965,RELEASE
Shia001964Vols,0.67965,RAWrabica040000
Shamela026892.txt,0.6782,raw_ShamelaY19
0470CaliIbnGhanaim.Fawaid.Shamela0029922-ara1,0.67758,RELEASE
32881.json,0.6771,RAWrabicaShamAY2
0581AbuMusaMadini.RubaciTabicin.Shamela0029793-ara1,0.67669,RELEASE
0451AbuCuthmanBuhayri.Fawaid.Shamela0029952-ara1,0.67668,RELEASE
0749AbuFathIbnMuhibb.Juz.ShamAY0032856-ara1,0.67663,RELEASE
10076.json,0.67653,RAWrabicaShamAY1
26501.json,0.6763,RAWrabicaShamAY2
29793.json,0.67597,RAWrabicaShamAY2
0643DiyaDinMuqaddasi.FadailBaytMaqdis.JK000508-ara1,0.67509,RELEASE
38135.json,0.6747,RAWrabicaShamAY3
Shamela029793.txt,0.67452,raw_ShamelaY19
32782.json,0.67435,RAWrabicaShamAY2
33860.json,0.67425,RAWrabicaShamAY2
0597IbnJawzi.IclamMacalim.Shamela0009369-ara1,0.67309,RELEASE
30306.json,0.67299,RAWrabicaShamAY2
32956.json,0.67297,RAWrabicaShamAY2
29793.bok.json,0.67265,RAWrabicaSham19Y
0648IbnKhalilHalabi.AhadithSubaciyyat.ShamAY0032956-ara1,0.67166,RELEASE
0429IbnIbrahimSarakhsiQarrab.FadailRamy.Shamela0010269-ara1,0.67142,RELEASE
29952.json,0.67051,RAWrabicaShamAY2
0854IbnDiyaMakki.Juz.Shamela0030306-ara1,0.67012,RELEASE
0507IbnQaysarani.AhadithMia.ShamAY0038135-ara1,0.67002,RELEASE
Shamela030306.txt,0.66982,raw_ShamelaY19
