unknown,TFIDF_cosine,libVar
Sham30K0033835,0.9996,RAWrabica020000
0285IbnYazidMubarrad.Fadil.JK010735-ara1,0.99691,RELEASE
0285IbnYazidMubarrad.Fadil.Shamela0010508-ara1,0.99458,RELEASE
10508.json,0.99403,RAWrabicaShamAY1
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.8462,RELEASE
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.8455,RELEASE
558.json,0.84264,RAWrabicaShamAY1
0255Jahiz.MahasinWaAddad.Shamela0010511-ara2,0.84203,RELEASE
10511.bok.json,0.84064,RAWrabicaSham19Y
002334.automARkdown,0.84045,RAW_Masaha
10511.json,0.83979,RAWrabicaShamAY1
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.83893,RELEASE
0562IbnHamdun.TadhkiraHamduniyya.JK009325-ara1,0.8362,RELEASE
0285IbnYazidMubarrad.TacaziWaMarai.ShamIbadiyya0000610-ara1,0.83354,RELEASE
0285IbnYazidMubarrad.Tacazi.JK009367-ara1,0.83258,RELEASE
0285IbnYazidMubarrad.Tacazi.Shamela0021554-ara1,0.83247,RELEASE
21554.bok.json,0.83136,RAWrabicaSham19Y
0584IbnMunqidhShayzari.LubabAdab.JK010729-ara1,0.8309,RELEASE
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.83017,RELEASE
0320IbnMuhammadBayhaqi.Mahasin.Shamela0000564-ara1,0.82949,RELEASE
Shamela021554.txt,0.82938,raw_ShamelaY19
0320IbnMuhammadBayhaqi.Mahasin.JK009291-ara1,0.82936,RELEASE
002349.automARkdown,0.82933,RAW_Masaha
002985Vols.automARkdown,0.8288,RAW_Masaha
0562IbnHamdun.TadhkiraHamduniyya.Shamela0010646-ara1,0.82839,RELEASE
21554.json,0.82806,RAWrabicaShamAY2
Sham30K0033856,0.82773,RAWrabica020000
564.json,0.82767,RAWrabicaShamAY1
0276IbnQutaybaDinawari.CuyunAkhbar.JK010342-ara1,0.82734,RELEASE
0584IbnMunqidhShayzari.LubabAdab.Shamela0010496-ara1,0.82669,RELEASE
23789.json,0.82562,RAWrabicaShamAY2
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1,0.82531,RELEASE
10496.json,0.82473,RAWrabicaShamAY1
Shamela023789.txt,0.8247,raw_ShamelaY19
0285IbnYazidMubarrad.KamilFiLugha.Shamela0008505-ara1,0.82429,RELEASE
0285IbnYazidMubarrad.KamilFiLugha.ShamIbadiyya0000642-ara1,0.82399,RELEASE
7240.json,0.82348,RAWrabicaShamAY1
0405CabdKarimNahshaliQayrawani.Mumtic.Sham19Y0014786-ara1,0.82156,RELEASE
0255Jahiz.MahasinWaAddad.ShamAY0033780-ara1,0.82079,RELEASE
0414AbuHayyanTawhidi.Basair.JK009288-ara1,0.82021,RELEASE
0414AbuHayyanTawhidi.Basair.Shamela0026423-ara1,0.81997,RELEASE
0520IbnMuhammadTurtushi.SirajMuluk.JK010572-ara2,0.81993,RELEASE
0520IbnMuhammadTurtushi.SirajMuluk.Shamela0001585-ara1,0.81988,RELEASE
0436SharifMurtada.Amali.Shia001326Vols-ara1,0.81967,RELEASE
33780.json,0.8193,RAWrabicaShamAY2
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.81907,RELEASE
