unknown,TFIDF_cosine,libVar
8208.json,0.99995,RAWrabicaShamAY1
Sham30K0008208,0.99971,RAWrabica010000
8208.bok.json,0.99964,RAWrabicaSham19Y
0286IbnWaddahQurtubi.Bidac.ShamAY0033904-ara1,0.99879,RELEASE
33904.json,0.99878,RAWrabicaShamAY2
0286IbnWaddahQurtubi.Bidac.JK011317-ara1,0.95657,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.ShamAY0032846-ara1,0.91196,RELEASE
32846.json,0.91058,RAWrabicaShamAY2
0322AbuBakrZubayri.Fawaid.Shamela0030384-ara1,0.90875,RELEASE
Shamela030384.txt,0.90748,raw_ShamelaY19
0322AbuBakrZubayri.Fawaid.Shamela0030384-ara1,0.90649,RELEASE
7351.json,0.90647,RAWrabicaShamAY1
0597IbnJawzi.CilalMutanahiyya.Shamela0007351-ara1,0.90308,RELEASE
30384.json,0.89728,RAWrabicaShamAY2
915.json,0.89469,RAWrabicaShamAY1
Shamela021494.txt,0.89405,raw_ShamelaY19
0340IbnAcrabiBasri.Mucjam.Shamela0021494-ara1,0.89357,RELEASE
Shamela026426.txt,0.89232,raw_ShamelaY19
0578IbnBashkuwal.AtharMarwiyya.Shamela0026426-ara1,0.89213,RELEASE
8215.json,0.89168,RAWrabicaShamAY1
0578IbnBashkuwal.AtharMarwiyya.Shamela0026426-ara1,0.89018,RELEASE
0275AbuDawudSijistani.Zuhd.Shamela0008215-ara1,0.89014,RELEASE
0347IbnHazlam.Juz.ShamAY0033707-ara1,0.88878,RELEASE
Sham30K0008215,0.88873,RAWrabica010000
33707.json,0.88801,RAWrabicaShamAY2
0307IbnHarunRuyani.Musnad.Shamela0013161-ara1,0.88801,RELEASE
26426.json,0.888,RAWrabicaShamAY2
8716.json,0.88761,RAW_ABLibrary
0340IbnAcrabiBasri.Mucjam.JK011633-ara1,0.88742,RELEASE
13161.json,0.88645,RAWrabicaShamAY2
0347IbnHazlam.Juz.ShamAY0033707-ara1,0.8861,RELEASE
0340IbnAcrabiBasri.Mucjam.JK011633-ara1,0.88569,RELEASE
0275AbuDawudSijistani.Zuhd.JK011358-ara1,0.88556,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.Shamela0013180-ara1,0.88325,RELEASE
0275AbuDawudSijistani.Zuhd.JK011358-ara1,0.88234,RELEASE
13180.json,0.88192,RAWrabicaShamAY2
0463IbnCabdBarr.JamicBayan.Shamela0022367-ara1,0.8806,RELEASE
Shamela029933.txt,0.88023,raw_ShamelaY19
34003.json,0.88014,RAWrabicaShamAY2
Shamela022367.txt,0.87946,raw_ShamelaY19
0333IbnMarwanDinawari.MujalasaWaJawahirCilm.Shamela0009948-ara1,0.87941,RELEASE
22367.json,0.87936,RAWrabicaShamAY2
5583.json,0.87931,RAWrabicaShamAY1
