unknown,TFIDF_cosine,libVar
13001.json,0.99222,RAWrabicaShamAY2
0287IbnAbiCasim.Awail.Shamela0013001-ara1,0.98998,RELEASE
Shia001959,0.9819,RAWrabica040000
0287IbnAbiCasim.Awail.JK000633-ara1,0.95876,RELEASE
0273IbnMaja.Sunan.JK000141-ara1,0.94239,RELEASE
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.94174,RELEASE
0273IbnMaja.Sunan.Shia001731Vols-ara1,0.94168,RELEASE
10492.json,0.93926,RAWrabicaShamAY1
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.93862,RELEASE
0359AbuCaliSawwaf.Fawaid.Shamela0010492-ara1,0.93832,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.93727,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.93658,RELEASE
5930.json,0.93643,RAWrabicaShamAY1
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.93636,RELEASE
0287IbnAbiCasim.Sunna.Shamela0005930-ara1,0.93599,RELEASE
0313IbnIshaqSarraj.Musnad.Shamela0001383-ara1,0.93541,RELEASE
31639.json,0.9354,RAWrabicaShamAY2
0313IbnIshaqSarraj.Musnad.JK009385-ara1,0.93507,RELEASE
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.93494,RELEASE
8243.json,0.9349,RAWrabicaShamAY1
0324IbnMuhammadNaysaburi.Fawaid.ShamAY0032904-ara1,0.93475,RELEASE
Sham30K0008243,0.93422,RAWrabica010000
32904.json,0.93396,RAWrabicaShamAY2
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.93396,RELEASE
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.93351,RELEASE
33948.json,0.93247,RAWrabicaShamAY2
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.93211,RELEASE
0353IbnAbiCaqabHamadani.Fawaid.ShamAY0032749-ara1,0.93198,RELEASE
0287IbnAbiCasim.Sunna.JK000630-ara1,0.93189,RELEASE
32824.json,0.93161,RAWrabicaShamAY2
32749.json,0.93079,RAWrabicaShamAY2
0359AbuBakrNasibi.Fawaid.ShamAY0032824-ara1,0.93063,RELEASE
0325IbnCabdSamadBaghdadi.Amali.Shamela0009305-ara1,0.93021,RELEASE
0325IbnCabdSamadBaghdadi.Amali.Shamela0009305-ara1,0.92957,RELEASE
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.92872,RELEASE
8209.json,0.92861,RAWrabicaShamAY1
0360Tabarani.MucjamKabir.Shamela0001353-ara1,0.92841,RELEASE
Sham30K0008209,0.92834,RAWrabica010000
