unknown,TFIDF_cosine,libVar
0287IbnAbiCasim.Mudhakkir.Shia001958-ara1,0.98202,RELEASE
0287IbnAbiCasim.Mudhakkir.Shamela0013062-ara1,0.94392,RELEASE
33656.json,0.93913,RAWrabicaShamAY2
13062.json,0.93691,RAWrabicaShamAY2
0287IbnAbiCasim.Mudhakkir.ShamAY0033656-ara1,0.91867,RELEASE
Sham30K0043863,0.90648,RAWrabica030000
4289.json,0.72253,RAWrabicaShamAY1
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.72176,RELEASE
0282HarithHaythami.BughyaBahith.Shia001949-ara1,0.72046,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0010631-ara2,0.72008,RELEASE
0294IbnNasrMarwazi.TaczimQadrSalat.Shamela0013087-ara1,0.71874,RELEASE
0282HarithHaythami.BughyaBahith.Shamela0013160-ara1,0.71744,RELEASE
13160.bok.json,0.71698,RAWrabicaSham19Y
13087.json,0.71665,RAWrabicaShamAY2
86.json,0.71592,RAW_ABLibrary
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0013170-ara1,0.71557,RELEASE
13160.json,0.71517,RAWrabicaShamAY2
33926.json,0.71473,RAWrabicaShamAY2
13170.json,0.71339,RAWrabicaShamAY2
0249CabdIbnHamid.MuntakhabMinMusnad.Shia001920-ara1,0.71287,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.JK000486-ara1,0.71189,RELEASE
Shia001958,0.71083,RAWrabica040000
Shamela022804.txt,0.71076,raw_ShamelaY19
0311IbnKhuzaymaNaysaburi.Tawhid.Shamela0013011-ara1,0.71052,RELEASE
13011.json,0.70949,RAWrabicaShamAY2
22804.bok.json,0.70946,RAWrabicaSham19Y
85.json,0.70757,RAW_ABLibrary
22804.json,0.70752,RAWrabicaShamAY2
0458Bayhaqi.Ictiqad.ShamAY0034009-ara1,0.70509,RELEASE
0458Bayhaqi.Ictiqad.Shamela0012997-ara1,0.70496,RELEASE
9697.json,0.70437,RAWrabicaShamAY1
0256Bukhari.KhalqAfcal.Shamela0009697-ara1,0.70428,RELEASE
0581IbnKharratIshbili.AhkamSharciyya.JK009141-ara1,0.70408,RELEASE
34009.json,0.7034,RAWrabicaShamAY2
0256Bukhari.KhalqAfcal.JK000546-ara1,0.70335,RELEASE
0294IbnNasrMarwazi.TaczimQadrSalat.JK000724-ara1,0.70289,RELEASE
0458Bayhaqi.Ictiqad.JK000698-ara1,0.70286,RELEASE
0294IbnNasrMarwazi.Sunna.JK000659-ara1,0.70264,RELEASE
0294IbnNasrMarwazi.Sunna.Shamela0013032-ara1,0.7019,RELEASE
0275AbuDawudSijistani.Sunan.Shia001733Vols-ara1,0.70186,RELEASE
12997.json,0.70185,RAWrabicaShamAY2
29779.bok.json,0.70175,RAWrabicaSham19Y
9886.json,0.70108,RAWrabicaShamAY1
0256Bukhari.KhalqAfcal.Shia001923-ara1,0.70095,RELEASE
0307IbnJarudNaysaburi.Muntaqa.Shamela0013071-ara1,0.70088,RELEASE
0275AbuDawudSijistani.Sunan.JK000142-ara1,0.70058,RELEASE
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033949-ara1,0.7001,RELEASE
13032.json,0.69978,RAWrabicaShamAY2
29779.json,0.69897,RAWrabicaShamAY2
0255CabdAllahDarimi.Sunan.Shia001713Vols-ara2,0.69883,RELEASE
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.69879,RELEASE
13071.json,0.69842,RAWrabicaShamAY2
6449.json,0.69835,RAWrabicaShamAY1
33949.json,0.69798,RAWrabicaShamAY2
0255CabdAllahDarimi.Sunan.ShamAY0033961-ara2,0.69781,RELEASE
Shamela022800.txt,0.69679,raw_ShamelaY19
8221.json,0.69677,RAWrabicaShamAY1
0360AbuBakrAjurri.FawaidMuntakhaba.ShamAY0032929-ara1,0.69676,RELEASE
