unknown,TFIDF_cosine,libVar
33656.json,0.98744,RAWrabicaShamAY2
13062.json,0.98229,RAWrabicaShamAY2
0287IbnAbiCasim.Mudhakkir.ShamAY0033656-ara1,0.96597,RELEASE
0287IbnAbiCasim.Mudhakkir.JK000597-ara1,0.94392,RELEASE
0287IbnAbiCasim.Mudhakkir.Shia001958-ara1,0.92426,RELEASE
Sham30K0043863,0.84421,RAWrabica030000
0307AbuYaclaMawsili.Musnad.Shia001976Vols-ara1,0.76656,RELEASE
0307AbuYaclaMawsili.Musnad.JK000485-ara1,0.76341,RELEASE
887.json,0.76101,RAW_ABLibrary
1161.json,0.76045,RAWrabicaShamAY1
0261Muslim.Sahih.Shamela0001727-ara1,0.76017,RELEASE
0261Muslim.Sahih.JK000109-ara1,0.76002,RELEASE
Shamela149015.txt,0.75992,raw_ShamelaY19
0282HarithHaythami.BughyaBahith.JK000483-ara1,0.75956,RELEASE
0261Muslim.Sahih.ShamAY0033938-ara1,0.7594,RELEASE
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.75928,RELEASE
0261Muslim.Sahih.Shia001723Vols-ara1,0.75898,RELEASE
Sham30K0038957,0.75824,RAWrabica025000
1401.json,0.75823,RAWrabicaShamAY1
33938.json,0.75805,RAWrabicaShamAY2
33985.json,0.75761,RAWrabicaShamAY2
33984.json,0.75721,RAWrabicaShamAY2
34284.json,0.75673,RAWrabicaShamAY3
0301AbuBakrFaryabi.Qadar.Shamela0013051-ara1,0.75658,RELEASE
0262CumarIbnShabba.TarikhMadina.Shamela0013086-ara1,0.75655,RELEASE
0262CumarIbnShabba.TarikhMadina.ShamAY0033814-ara1,0.75651,RELEASE
0301AbuBakrFaryabi.Qadar.Shamela0011333-ara1,0.7565,RELEASE
38092.json,0.75638,RAWrabicaShamAY3
0287IbnAbiCasim.Diyat.ShamAY0034284-ara1,0.75628,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.75625,RELEASE
33852.json,0.75622,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.75595,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.7558,RELEASE
38104.json,0.75553,RAWrabicaShamAY3
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1,0.75534,RELEASE
0321AbuJacfarTahawi.AhkamQuran.Shamela0010765-ara1,0.75514,RELEASE
0311IbnKhuzaymaNaysaburi.Sahih.ShamAY0033968-ara1,0.75503,RELEASE
13051.json,0.75469,RAWrabicaShamAY2
98.json,0.75464,RAW_ABLibrary
33814.json,0.75455,RAWrabicaShamAY2
Shamela029857.txt,0.7545,raw_ShamelaY19
13175.bok.json,0.75447,RAWrabicaSham19Y
0287IbnAbiCasim.Diyat.JK000178-ara1,0.75414,RELEASE
13086.json,0.75375,RAWrabicaShamAY2
13075.json,0.7537,RAWrabicaShamAY2
0287IbnAbiCasim.Diyat.Shamela0013018-ara1,0.75366,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.75357,RELEASE
9567.json,0.75344,RAWrabicaShamAY1
Shamela098138.txt,0.75294,raw_ShamelaY19
33968.json,0.75283,RAWrabicaShamAY2
21570.bok.json,0.75279,RAWrabicaSham19Y
Shamela021570.txt,0.75271,raw_ShamelaY19
10765.json,0.75266,RAWrabicaShamAY2
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.75247,RELEASE
0273IbnMaja.Sunan.Shamela0098138-ara1,0.75239,RELEASE
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.7521,RELEASE
9567.bok.json,0.7519,RAWrabicaSham19Y
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.75167,RELEASE
0241IbnHanbal.Musnad.ShamAY0033963-ara5,0.7515,RELEASE
13175.json,0.7514,RAWrabicaShamAY2
21570.json,0.75097,RAWrabicaShamAY2
0241IbnHanbal.Musnad.Shamela0013157-ara1,0.75049,RELEASE
0241IbnHanbal.Musnad.Shamela0025794-ara1,0.7501,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.74957,RELEASE
13091.json,0.74944,RAWrabicaShamAY2
1198.json,0.74936,RAWrabicaShamAY1
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.7493,RELEASE
38093.json,0.74902,RAWrabicaShamAY3
0281IbnAbiDunya.Ciyal.JK000866-ara1,0.74881,RELEASE
33963.json,0.74866,RAWrabicaShamAY2
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1,0.74861,RELEASE
13092.json,0.74836,RAWrabicaShamAY2
1719.json,0.74835,RAWrabicaShamAY1
Shamela030305.txt,0.74823,raw_ShamelaY19
13157.json,0.7481,RAWrabicaShamAY2
9595.json,0.748,RAWrabicaShamAY1
0287IbnAbiCasim.Jihad.Shamela0013013-ara1,0.74768,RELEASE
149015.bok.json,0.74756,RAWrabicaSham19Y
13039.json,0.74755,RAWrabicaShamAY2
1160.json,0.74755,RAWrabicaShamAY1
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.74728,RELEASE
1198.bok.json,0.74725,RAWrabicaSham19Y
0463IbnCabdBarr.TamhidMuwatta.Shia002131Vols-ara1,0.74704,RELEASE
13018.json,0.747,RAWrabicaShamAY2
0273IbnMaja.Sunan.Shamela0001198-ara1,0.74699,RELEASE
0463IbnCabdBarr.TamhidMuwatta.Shamela0001719-ara1,0.74697,RELEASE
9595.bok.json,0.74664,RAWrabicaSham19Y
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.74663,RELEASE
0301AbuBakrFaryabi.Qadar.JK001214-ara1,0.7466,RELEASE
33960.json,0.74655,RAWrabicaShamAY2
30305.json,0.74646,RAWrabicaShamAY2
0360Tabarani.Duca.ShamAY0033982-ara1,0.74645,RELEASE
0256Bukhari.AdabMufrad.Shia001922-ara1,0.74633,RELEASE
33864.json,0.74616,RAWrabicaShamAY2
1405.json,0.74583,RAWrabicaShamAY1
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.7458,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.74558,RELEASE
0311IbnKhuzaymaNaysaburi.Tawhid.ShamAY0033974-ara1,0.74555,RELEASE
13013.json,0.74551,RAWrabicaShamAY2
78.json,0.74546,RAWrabicaShamAY1
33959.json,0.74542,RAWrabicaShamAY2
0281IbnAbiDunya.MaradWaKaffarat.ShamAY0038113-ara1,0.74533,RELEASE
12520.bok.json,0.74531,RAWrabicaSham19Y
38163.json,0.74523,RAWrabicaShamAY3
0256Bukhari.AdabMufrad.JK000011-ara1,0.74519,RELEASE
38113.json,0.74492,RAWrabicaShamAY3
