unknown,TFIDF_cosine,libVar
3018.json,0.99565,RAWrabicaShamAY1
0291IbnYahyaThaclab.QawacidShicr.JK007122-ara1,0.97894,RELEASE
0322IbnTabataba.CiyarShicr.Shamela0006911-ara1,0.59411,RELEASE
0322IbnTabataba.CiyarShicr.Shamela0006911-ara1,0.58838,RELEASE
0322IbnTabataba.CiyarShicr.JK007023-ara1,0.58793,RELEASE
6911.json,0.58514,RAWrabicaShamAY1
6911.bok.json,0.58459,RAWrabicaSham19Y
0659SadrDinBasri.Hamasa.JK006907-ara1,0.53544,RELEASE
6901.bok.json,0.53279,RAWrabicaSham19Y
6901.json,0.53145,RAWrabicaShamAY1
1299IbnMuhammadNajafiQurashi.Hamasa.Shamela0002512-ara1,0.51602,RELEASE
Sham30K0002512,0.5132,RAWrabica005000
2512.bok.json,0.51299,RAWrabicaSham19Y
0656IbnFadlMuzaffarCiraqi.NagratIghrid.JK010629-ara1,0.51298,RELEASE
2512.json,0.51078,RAWrabicaShamAY1
0629.bok.json,0.51016,RAWrabicaSham19Y
629.json,0.50897,RAWrabicaShamAY1
0276IbnQutaybaDinawari.ShicrWaShucara.Shamela0023785-ara1,0.50638,RELEASE
0276IbnQutaybaDinawari.ShicrWaShucara.Shamela0023785-ara1,0.50446,RELEASE
0276IbnQutaybaDinawari.ShicrWaShucara.JK010554-ara2,0.50347,RELEASE
0622IbnShamsKhilafa.AdabNafica.Shamela0005433-ara1,0.50324,RELEASE
Sham30K0033802,0.50242,RAWrabica020000
5433.json,0.50151,RAWrabicaShamAY1
0429AbuMansurThacalibi.Muntahal.Shamela0021105-ara1,0.49729,RELEASE
0429AbuMansurThacalibi.Muntahal.Shamela0021105-ara1,0.49647,RELEASE
0429AbuMansurThacalibi.Muntahal.JK010736-ara1,0.49644,RELEASE
0710IbnAydamurMustacsimi.DurrFarid.Sham19Y0020762-ara1,0.49432,RELEASE
Shamela021105.txt,0.49404,raw_ShamelaY19
0255Jahiz.BayanWaTabyin.ShamAY0033779-ara1,0.49197,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033801-ara1,0.49178,RELEASE
0322IbnAbiCawn.Tashbihat.JK010734-ara1,0.49178,RELEASE
0500AbuNasrMaqdisi.LataifWaZaraif.Shamela0010509-ara1,0.49164,RELEASE
0500AbuNasrMaqdisi.LataifWaZaraif.Shamela0010509-ara1,0.49159,RELEASE
0255Jahiz.BayanWaTabyin.Zaydiyya0000478-ara1,0.49145,RELEASE
0431IbnMuhammadZuzani.HamasatZurafa.Shamela0000752-ara1,0.49124,RELEASE
0255Jahiz.BayanWaTabyin.JK001009-ara1,0.49105,RELEASE
0322IbnAbiCawn.Tashbihat.Shamela0000734-ara1,0.4907,RELEASE
0322IbnAbiCawn.Tashbihat.JK010734-ara1,0.49061,RELEASE
21105.json,0.48983,RAWrabicaShamAY2
Shamela020762.txt,0.48979,raw_ShamelaY19
0431IbnMuhammadZuzani.HamasatZurafa.Shamela0000752-ara1,0.48979,RELEASE
0476AclamShantamari.AshcarShucara.Shamela0005449-ara1,0.48965,RELEASE
0431IbnMuhammadZuzani.HamasatZurafa.JK010752-ara1,0.48939,RELEASE
0734.bok.json,0.48914,RAWrabicaSham19Y
0476AclamShantamari.AshcarShucara.Shamela0005449-ara1,0.4881,RELEASE
Shamela023785.txt,0.48785,raw_ShamelaY19
734.json,0.48741,RAWrabicaShamAY1
0297IbnDawudZahiri.Zahra.Shamela0000738-ara1,0.48693,RELEASE
752.json,0.48668,RAWrabicaShamAY1
