unknown,TFIDF_cosine,libVar
0259HunaynIbnIshaq.SinacaSaghiraLiJalinus.GRAR000038-ara1,0.6305,RELEASE
0259HunaynIbnIshaq.SinacaSaghiraLiJalinus.GRAR000038-ara1,0.62905,RELEASE
0300IshaqRuhawi.AdabTabib.GRAR000078-ara1,0.6289,RELEASE
0300IshaqRuhawi.AdabTabib.GRAR000078-ara1,0.62798,RELEASE
9878.json,0.62632,RAW_ABLibrary
9879.json,0.62425,RAW_ABLibrary
9816.json,0.61903,RAW_ABLibrary
10026.automARkdown,0.61752,RAW_Ghbook
9933.json,0.61245,RAW_ABLibrary
9877.json,0.60889,RAW_ABLibrary
9880.json,0.60754,RAW_ABLibrary
0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba.GRAR000083-ara1,0.60534,RELEASE
0259HunaynIbnIshaq.JalinusFiMihnatAfdalAtibba.GRAR000083-ara1,0.60428,RELEASE
9987.json,0.60422,RAW_ABLibrary
9814.json,0.6033,RAW_ABLibrary
0421Miskawayh.TahdhibAkhlaq.Shamela0012720-ara1,0.60209,RELEASE
12720.bok.json,0.60028,RAWrabicaSham19Y
0595IbnRushdHafid.TalkhisKhitaba.JK010698-ara1,0.60009,RELEASE
0421Miskawayh.TahdhibAkhlaq.Shamela0012720-ara1,0.59893,RELEASE
0421Miskawayh.TahdhibAkhlaq.JK010252-ara1,0.59892,RELEASE
698.json,0.5978,RAWrabicaShamAY1
12720.json,0.5963,RAWrabicaShamAY2
9861.json,0.59621,RAW_ABLibrary
0668IbnAbiUsaybica.CuyunAnba.Shamela0006687-ara1,0.5959,RELEASE
8335.json,0.59075,RAW_ABLibrary
8431.json,0.58982,RAW_ABLibrary
6687.json,0.58925,RAWrabicaShamAY1
8577.json,0.58818,RAW_ABLibrary
0260IbnSahlTabari.FirdawsHikmaFiTibb.Shia004667-ara1,0.58705,RELEASE
000513.automARkdown,0.58633,RAW_Masaha
0421Miskawayh.HawamilWaShawamil.Shamela0004135-ara1,0.58603,RELEASE
4135.bok.json,0.58565,RAWrabicaSham19Y
0260IbnSahlTabari.FirdawsHikmaFiTibb.Shia004667-ara1,0.5856,RELEASE
4135.json,0.58445,RAWrabicaShamAY1
74.html,0.58439,RAWrabicaRafed
8649.json,0.58398,RAW_ABLibrary
Sham30K0034005,0.58396,RAWrabica020000
0421Miskawayh.HawamilWaShawamil.Shamela0004135-ara1,0.58394,RELEASE
Shamela073350.txt,0.58389,raw_ShamelaY19
0421Miskawayh.HawamilWaShawamil.JK009255-ara1,0.58368,RELEASE
001740.automARkdown,0.58277,RAW_Masaha
Shamela022664.txt,0.58064,raw_ShamelaY19
9884.json,0.58051,RAW_ABLibrary
9932.json,0.57988,RAW_ABLibrary
8876.json,0.5798,RAW_ABLibrary
Shamela095660.txt,0.57968,raw_ShamelaY19
Shamela121375.txt,0.57893,raw_ShamelaY19
893.json,0.57799,RAWrabicaShamAY1
8617.json,0.57796,RAW_ABLibrary
0300HubayshIbnHasan.JalinusFiAsmaTibbiyya.GRAR000048-ara1,0.57795,RELEASE
9831.json,0.57794,RAW_ABLibrary
823.html,0.57792,RAWrabicaRafed
0300HubayshIbnHasan.JalinusFiAsmaTibbiyya.GRAR000048-ara1,0.57588,RELEASE
34687.json,0.57575,RAWrabicaShamAY3
1040.json,0.57499,RAWrabicaShamAY1
34078.json,0.57451,RAWrabicaShamAY2
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.5744,RELEASE
0471CabdQahirJurjani.DalailIcjaz.Shamela0022664-ara1,0.57388,RELEASE
8485.json,0.57377,RAW_ABLibrary
35258.json,0.57368,RAWrabicaShamAY3
8430.json,0.5735,RAW_ABLibrary
0328AbuBishrIbnYunus.KitabAristutalisFiShicr.GRAR000016-ara1,0.57328,RELEASE
725.html,0.57317,RAWrabicaRafed
Shamela023794.txt,0.57315,raw_ShamelaY19
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.5731,RELEASE
8521.json,0.5723,RAW_ABLibrary
1572.json,0.57176,RAWrabicaShamAY1
0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya.GRAR000086-ara1,0.57137,RELEASE
Shamela021784.txt,0.57091,raw_ShamelaY19
9834.json,0.57053,RAW_ABLibrary
004555.automARkdown,0.57037,RAW_Masaha
9826.json,0.57034,RAW_ABLibrary
32247.json,0.57021,RAWrabicaShamAY2
8668.json,0.57019,RAW_ABLibrary
9848.json,0.57013,RAW_ABLibrary
Shamela026523.txt,0.57001,raw_ShamelaY19
9106.json,0.56962,RAW_ABLibrary
9103.json,0.56955,RAW_ABLibrary
6947.json,0.56941,RAWrabicaShamAY1
0259HunaynIbnIshaq.SharhJalinusLiIfidhimiya.GRAR000086-ara1,0.56926,RELEASE
31682.json,0.569,RAWrabicaShamAY2
2081.html,0.56889,RAWrabicaRafed
3669.html,0.56873,RAWrabicaRafed
