unknown,TFIDF_cosine,libVar
8235.json,0.99982,RAWrabicaShamAY1
8235.bok.json,0.99745,RAWrabicaSham19Y
Sham30K0008235,0.99744,RAWrabica010000
0301AbuBakrFaryabi.SifatNifaq.JK000044-ara1,0.99525,RELEASE
0301AbuBakrFaryabi.SifatNifaq.ShamAY0033868-ara1,0.99401,RELEASE
33868.json,0.99038,RAWrabicaShamAY2
21485.bok.json,0.92946,RAWrabicaSham19Y
21485.json,0.92862,RAWrabicaShamAY2
Shamela021485.txt,0.92827,raw_ShamelaY19
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.92766,RELEASE
0430AbuNucaymIsbahani.SifatNifaq.Shamela0021485-ara1,0.9275,RELEASE
9595.json,0.90786,RAWrabicaShamAY1
9595.bok.json,0.90673,RAWrabicaSham19Y
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.90649,RELEASE
Sham30K0039018,0.90437,RAWrabica025000
Shamela026429.txt,0.90144,raw_ShamelaY19
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.90004,RELEASE
0430AbuNucaymIsbahani.TibbNabawi.Shamela0026429-ara1,0.8998,RELEASE
26429.json,0.89909,RAWrabicaShamAY2
Sham30K0044088,0.89712,RAWrabica030000
Sham30K0038957,0.89711,RAWrabica025000
1325.json,0.89709,RAWrabicaShamAY1
Shamela021476.txt,0.89668,raw_ShamelaY19
38094.json,0.89652,RAWrabicaShamAY3
Shamela026474.txt,0.89627,raw_ShamelaY19
1401.json,0.89604,RAWrabicaShamAY1
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.89556,RELEASE
21476.bok.json,0.89545,RAWrabicaSham19Y
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.89532,RELEASE
38096.json,0.89529,RAWrabicaShamAY3
0387IbnSamcunBaghdadi.Amali.Shamela0021476-ara1,0.89529,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.89515,RELEASE
Shamela026577.txt,0.89483,raw_ShamelaY19
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.89479,RELEASE
0371AhmadJurjani.Mucjam.JK000760-ara1,0.89476,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.89462,RELEASE
35229.json,0.89459,RAWrabicaShamAY3
38104.json,0.89457,RAWrabicaShamAY3
21476.json,0.89435,RAWrabicaShamAY2
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.89349,RELEASE
Shamela098138.txt,0.89321,raw_ShamelaY19
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.89316,RELEASE
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.89314,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.89287,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.89271,RELEASE
33959.json,0.89268,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.89264,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.89242,RELEASE
0273IbnMaja.Sunan.Shamela0098138-ara1,0.89183,RELEASE
32931.json,0.89175,RAWrabicaShamAY2
32934.json,0.89107,RAWrabicaShamAY2
13075.json,0.89102,RAWrabicaShamAY2
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.88968,RELEASE
0386IbnCumarHarbi.Hadith.ShamAY0032931-ara1,0.88955,RELEASE
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.88864,RELEASE
38157.json,0.88862,RAWrabicaShamAY3
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.88852,RELEASE
0369AbuShaykhIsbahani.Fawaid.JK011487-ara1,0.8885,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.88839,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.88829,RELEASE
38139.json,0.88802,RAWrabicaShamAY3
0281IbnAbiDunya.TawaducWaKhumul.JK000002-ara1,0.88773,RELEASE
