unknown,TFIDF_cosine,libVar
34604.json,0.99925,RAWrabicaShamAY3
0303Nasai.DucafaWaMatrukin.JK000509-ara2,0.99906,RELEASE
0303Nasai.DucafaWaMatrukin.Shamela0010805-ara2,0.9989,RELEASE
10805.json,0.99821,RAWrabicaShamAY2
0303Nasai.DucafaWaMatrukin.Shia003076-ara1,0.99078,RELEASE
34605.json,0.99051,RAWrabicaShamAY3
38019.json,0.95339,RAWrabicaShamAY3
Shia003076,0.85938,RAWrabica045000
0385Daraqutni.Ducafa.Shamela0010802-ara1,0.72336,RELEASE
38028.json,0.71897,RAWrabicaShamAY3
Sham30K0038819,0.70565,RAWrabica025000
10802.json,0.70337,RAWrabicaShamAY2
0426IbnMuhammadBarqani.SualatLiDaraqutni.JK000506-ara1,0.67174,RELEASE
2052.json,0.65605,RAWrabicaShamAY1
10542.json,0.65309,RAWrabicaShamAY1
5881.json,0.65259,RAWrabicaShamAY1
5881.bok.json,0.65097,RAWrabicaSham19Y
38203.json,0.65071,RAWrabicaShamAY3
0385Daraqutni.DhikrAsmaTabicin.Shamela0005881-ara1,0.65,RELEASE
0256Bukhari.DucafaSaghir.Shamela0010542-ara1,0.64976,RELEASE
0256Bukhari.DucafaSaghir.JK000507-ara1,0.64964,RELEASE
Sham30K0039090,0.64853,RAWrabica025000
Shamela096955.txt,0.64781,raw_ShamelaY19
0256Bukhari.DucafaSaghir.Shia003070-ara1,0.64663,RELEASE
0405HakimNaysaburi.TasmiyatManAkhrajahum.JK000759-ara1,0.64383,RELEASE
0405HakimNaysaburi.TasmiyatManAkhrajahum.Shamela0005853-ara1,0.64376,RELEASE
0385Daraqutni.DhikrAsmaTabicin.JK001323-ara1,0.64366,RELEASE
2612.html,0.64224,RAWrabicaRafed
0426IbnMuhammadBarqani.SualatLiDaraqutni.Shamela0011237-ara1,0.6411,RELEASE
34594.json,0.64055,RAWrabicaShamAY3
34014.json,0.6398,RAWrabicaShamAY2
38186.json,0.63666,RAWrabicaShamAY3
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.63648,RELEASE
5893.json,0.63501,RAWrabicaShamAY1
Shamela096233.txt,0.63434,raw_ShamelaY19
5853.json,0.63397,RAWrabicaShamAY1
2467.html,0.63287,RAWrabicaRafed
0256Bukhari.Ducafa.Shamela0008632-ara1,0.63241,RELEASE
5830.json,0.63228,RAWrabicaShamAY1
0234AbuHasanSacdi.TasmiyatManRuwiya.JK000504-ara1,0.63114,RELEASE
34158.json,0.63112,RAWrabicaShamAY2
0234AbuHasanSacdi.TasmiyatManRuwiya.Shamela0005893-ara1,0.63102,RELEASE
8258.json,0.63073,RAW_ABLibrary
