unknown,TFIDF_cosine,libVar
0303Nasai.IbnAbiCaruba.Shia001971BK4-ara3,0.9107,RELEASE
0303Nasai.IbnAbiCaruba.JK000697BK4-ara3,0.88196,RELEASE
0303Nasai.IbnAbiCaruba.JK011235BK2-ara1,0.74562,RELEASE
0303Nasai.IbnAbiCaruba.Shamela0005839BK2-ara2,0.72793,RELEASE
0303Nasai.IbnAbiCaruba.Shia003077BK2-ara1,0.68611,RELEASE
0303Nasai.IbnAbiCaruba.JK000510BK2-ara2,0.64042,RELEASE
Shia001971,0.59713,RAWrabica040000
Sham30K0002649,0.59591,RAWrabica005000
6004.bok.json,0.5696,RAWrabicaSham19Y
34019.json,0.55319,RAWrabicaShamAY2
6004.json,0.54687,RAWrabicaShamAY1
1290.json,0.54601,RAWrabicaShamAY1
0327IbnAbiHatimRazi.CilalHadith.Shamela0001350-ara1,0.54503,RELEASE
0327IbnAbiHatimRazi.Marasil.Shamela0006046-ara1,0.54479,RELEASE
2137.html,0.54098,RAWrabicaRafed
2139.html,0.54089,RAWrabicaRafed
12317.json,0.5399,RAWrabicaShamAY2
2294.html,0.53966,RAWrabicaRafed
0562Samcani.Ansab.Sham30K0012317-ara1,0.53909,RELEASE
0562Samcani.Ansab.Shamela0012317-ara1,0.53873,RELEASE
1135.json,0.53802,RAWrabicaShamAY1
Shia003077,0.53723,RAWrabica045000
Sham30K0044039,0.53626,RAWrabica030000
0488IbnFutuhHumaydi.JadhwatMuqtabis.Shamela0005742-ara1,0.53404,RELEASE
0488IbnFutuhHumaydi.JadhwatMuqtabis.JK010310-ara1,0.53396,RELEASE
819.json,0.53388,RAW_ABLibrary
5742.json,0.53382,RAWrabicaShamAY1
811.json,0.53378,RAW_ABLibrary
2138.html,0.53376,RAWrabicaRafed
2149.html,0.53365,RAWrabicaRafed
3214.html,0.53301,RAWrabicaRafed
813.json,0.53166,RAW_ABLibrary
0562Samcani.Ansab.Sham30K0002009-ara1,0.53164,RELEASE
0562Samcani.Ansab.ShamAY0034668-ara1,0.53114,RELEASE
33059.json,0.53107,RAWrabicaShamAY2
0562Samcani.Ansab.Shia003430Vols-ara1,0.5308,RELEASE
002338.automARkdown,0.5302,RAW_Masaha
2366.html,0.53017,RAWrabicaRafed
2314.html,0.53014,RAWrabicaRafed
Shamela026726.txt,0.52917,raw_ShamelaY19
34668.json,0.52891,RAWrabicaShamAY3
Sham30K0002786,0.52827,RAWrabica005000
12404.bok.json,0.52785,RAWrabicaSham19Y
Shia003430Vols,0.5278,RAWrabica045000
0562Samcani.Ansab.Sham30K0045603-ara1,0.52779,RELEASE
0576AbuTahirSilafi.Mashyakha.JK000649-ara1,0.52775,RELEASE
0562Samcani.Ansab.JK000952-ara1,0.52769,RELEASE
0576AbuTahirSilafi.Mashyakha.Shamela0005728-ara1,0.52769,RELEASE
0362AbuFarajIsbahani.MaqatilTalibiyyin.Shamela0012404-ara1,0.52738,RELEASE
11746.json,0.52706,RAWrabicaShamAY2
12404.json,0.52682,RAWrabicaShamAY2
8958.json,0.52676,RAW_ABLibrary
26726.json,0.52674,RAWrabicaShamAY2
35817.json,0.52646,RAWrabicaShamAY3
8978.json,0.52624,RAW_ABLibrary
5728.bok.json,0.5259,RAWrabicaSham19Y
812.json,0.52556,RAW_ABLibrary
5728.json,0.52506,RAWrabicaShamAY1
002923Vols.automARkdown,0.52392,RAW_Masaha
Sham30K0034129,0.52333,RAWrabica020000
0362AbuFarajIsbahani.MaqatilTalibiyyin.Zaydiyya0000224-ara1,0.52332,RELEASE
0362AbuFarajIsbahani.MaqatilTalibiyyin.Shia001277-ara1,0.52286,RELEASE
2982.html,0.52257,RAWrabicaRafed
12532.json,0.5224,RAWrabicaShamAY2
Shamela021475.txt,0.52228,raw_ShamelaY19
002303.automARkdown,0.52215,RAW_Masaha
817.json,0.5219,RAW_ABLibrary
Shamela122397.txt,0.52172,raw_ShamelaY19
0463KhatibBaghdadi.TarikhBaghdad.Sham30K0000736-ara1,0.52169,RELEASE
0463KhatibBaghdadi.Bukhala.Shamela0021475-ara1,0.52151,RELEASE
Shamela026857.txt,0.52149,raw_ShamelaY19
Shamela149213.txt,0.52098,raw_ShamelaY19
26813.json,0.52097,RAWrabicaShamAY2
0213IbnHisham.SiraNabawiyya.Shia003667Vols-ara1,0.52096,RELEASE
2331.json,0.52091,RAWrabicaShamAY1
8745.json,0.52088,RAW_ABLibrary
