unknown,TFIDF_cosine,libVar
Shamela026871.txt,0.99989,raw_ShamelaY19
0303Nasai.Ighrab.ShamAY0001371-ara1,0.99969,RELEASE
1371.json,0.99877,RAWrabicaShamAY1
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.92225,RELEASE
33999.json,0.92117,RAWrabicaShamAY2
901.json,0.92106,RAWrabicaShamAY1
0275AbuDawudSijistani.Marasil.ShamAY0033999-ara1,0.92062,RELEASE
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.91994,RELEASE
0303Nasai.SunanSughra.Shamela0000829-ara1,0.91983,RELEASE
0303Nasai.SunanKubra.Shamela0008361-ara1,0.91964,RELEASE
0303Nasai.CamalYawmWaLayla.Shamela0006772-ara1,0.91946,RELEASE
6772.json,0.91904,RAWrabicaShamAY1
1240.json,0.91881,RAWrabicaShamAY1
0275AbuDawudSijistani.Marasil.ShamAY0033999-ara1,0.91791,RELEASE
0303Nasai.SunanSughra.ShamAY0033998-ara1,0.91743,RELEASE
33998.json,0.91705,RAWrabicaShamAY2
Shamela029857.txt,0.91494,raw_ShamelaY19
0303Nasai.SunanSughra.JK000130-ara1,0.9139,RELEASE
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.91291,RELEASE
0303Nasai.SunanKubra.ShamAY0033997-ara1,0.91283,RELEASE
33910.json,0.91278,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.9127,RELEASE
33903.json,0.91233,RAWrabicaShamAY2
0303Nasai.SunanSughra.Shia001740Vols-ara1,0.91206,RELEASE
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.91186,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.91129,RELEASE
13175.json,0.91113,RAWrabicaShamAY2
0303Nasai.SunanSughra.JK000130-ara1,0.91095,RELEASE
13175.bok.json,0.91038,RAWrabicaSham19Y
0911Suyuti.SharhSunanNasai.ShamAY0033910-ara1,0.91015,RELEASE
0307IbnJarudNaysaburi.Muntaqa.JK000488-ara1,0.90799,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033947-ara1,0.90769,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033925-ara1,0.90738,RELEASE
33960.json,0.90738,RAWrabicaShamAY2
33947.json,0.90737,RAWrabicaShamAY2
33925.json,0.90708,RAWrabicaShamAY2
829.json,0.90612,RAWrabicaShamAY1
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.90576,RELEASE
0405AbuCabbasCasmi.Juz.Shamela0026563-ara1,0.90477,RELEASE
1401.json,0.90449,RAWrabicaShamAY1
26563.json,0.9043,RAWrabicaShamAY2
Shamela026563.txt,0.90398,raw_ShamelaY19
33959.json,0.90394,RAWrabicaShamAY2
1160.json,0.90376,RAWrabicaShamAY1
Sham30K0038957,0.9026,RAWrabica025000
0395IbnMandahMuhammad.Tawhid.Shamela0008210-ara1,0.90252,RELEASE
0405AbuCabbasCasmi.Juz.Shamela0026563-ara1,0.90238,RELEASE
8210.json,0.9021,RAWrabicaShamAY1
0287IbnAbiCasim.Diyat.ShamAY0034284-ara1,0.90178,RELEASE
0273IbnMaja.Sunan.Shamela0098138-ara1,0.90136,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.90115,RELEASE
0477BibiHarawiyya.Juz.Shamela0005668-ara1,0.90067,RELEASE
0477BibiHarawiyya.Juz.JK000643-ara1,0.90056,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.Shamela0023647-ara1,0.90051,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.90045,RELEASE
0395IbnMandahMuhammad.Tawhid.Shamela0008210-ara1,0.90025,RELEASE
0287IbnAbiCasim.Diyat.JK000178-ara1,0.90011,RELEASE
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.89953,RELEASE
0287IbnAbiCasim.Diyat.Shamela0013018-ara1,0.8995,RELEASE
Shamela098138.txt,0.89936,raw_ShamelaY19
5668.json,0.89935,RAWrabicaShamAY1
33984.json,0.8989,RAWrabicaShamAY2
0279Tirmidhi.ShamailMuhammadiyya.Shia001933-ara1,0.89888,RELEASE
13037.json,0.89871,RAWrabicaShamAY2
13182.json,0.89856,RAWrabicaShamAY2
0343IbnSulaymanAtrabulusi.Hadith.Shamela0013182-ara1,0.89822,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.ShamAY0038142-ara1,0.89808,RELEASE
0275AbuDawudSijistani.Marasil.Shamela0013063-ara1,0.898,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.898,RELEASE
33981.json,0.898,RAWrabicaShamAY2
0287IbnAbiCasim.Diyat.ShamAY0034284-ara1,0.89772,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.89766,RELEASE
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1,0.89742,RELEASE
0477BibiHarawiyya.Juz.Shamela0005668-ara1,0.8974,RELEASE
30305.json,0.89713,RAWrabicaShamAY2
0249CabdIbnHamid.MuntakhabMinMusnad.ShamAY0033973-ara1,0.89711,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.Shamela0023647-ara1,0.89707,RELEASE
33971.json,0.89686,RAWrabicaShamAY2
33852.json,0.89666,RAWrabicaShamAY2
0498IbnMuhammadAbuBakrIsbahani.Juz.Shamela0013105-ara1,0.89641,RELEASE
34284.json,0.8963,RAWrabicaShamAY3
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.89621,RELEASE
0273IbnMaja.Sunan.Shamela0001198-ara1,0.89595,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.ShamAY0033973-ara1,0.89528,RELEASE
Shamela030305.txt,0.89518,raw_ShamelaY19
Shamela098126.txt,0.89505,raw_ShamelaY19
33938.json,0.89493,RAWrabicaShamAY2
Shamela021809.txt,0.8944,raw_ShamelaY19
13063.json,0.89435,RAWrabicaShamAY2
0275AbuDawudSijistani.Marasil.JK000766-ara1,0.89396,RELEASE
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.89394,RELEASE
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.89384,RELEASE
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.89369,RELEASE
13039.json,0.89351,RAWrabicaShamAY2
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1,0.89346,RELEASE
35229.json,0.89322,RAWrabicaShamAY3
38092.json,0.89315,RAWrabicaShamAY3
0281IbnAbiDunya.Samt.ShamAY0038093-ara2,0.89309,RELEASE
0432Mustaghfiri.DalailNubuwwa.ShamAY0034438-ara1,0.89306,RELEASE
0261Muslim.Sahih.Shamela0001727-ara1,0.89293,RELEASE
0261Muslim.Sahih.ShamAY0033938-ara1,0.89287,RELEASE
0774IbnKathir.JamicMasanid.Shamela0021809-ara1,0.89279,RELEASE
0311IbnKhuzaymaNaysaburi.Sahih.ShamAY0033968-ara1,0.89255,RELEASE
1381.json,0.89251,RAWrabicaShamAY1
0261Muslim.Sahih.Shia001723Vols-ara1,0.89215,RELEASE
33968.json,0.89208,RAWrabicaShamAY2
Shamela038194.txt,0.89208,raw_ShamelaY19
0498IbnMuhammadAbuBakrIsbahani.Juz.JK000572-ara1,0.89198,RELEASE
33701.json,0.89192,RAWrabicaShamAY2
34438.json,0.89191,RAWrabicaShamAY3
13105.json,0.8917,RAWrabicaShamAY2
13092.json,0.8914,RAWrabicaShamAY2
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.89134,RELEASE
13018.json,0.89116,RAWrabicaShamAY2
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.8911,RELEASE
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.89106,RELEASE
0432Mustaghfiri.DalailNubuwwa.ShamAY0034438-ara1,0.89094,RELEASE
0261Muslim.Sahih.JK000109-ara1,0.89088,RELEASE
9383.json,0.89067,RAWrabicaShamAY1
0281IbnAbiDunya.Samt.Shamela0013039-ara1,0.89062,RELEASE
38142.json,0.89058,RAWrabicaShamAY3
0381IbnMuqriIsbahani.Arbacuna.Shamela0021473-ara1,0.89043,RELEASE
Sham30K0008210,0.89036,RAWrabica010000
0261Muslim.Sahih.ShamAY0033938-ara1,0.88961,RELEASE
38093.json,0.88958,RAWrabicaShamAY3
0307AbuYaclaMawsili.Musnad.JK000485-ara1,0.88943,RELEASE
Shamela026425.txt,0.88936,raw_ShamelaY19
Shamela021473.txt,0.88891,raw_ShamelaY19
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.88888,RELEASE
0281IbnAbiDunya.DhammGhiba.ShamAY0038151-ara1,0.88873,RELEASE
0807NurDinHaythami.MawaridZaman.Shia002231Vols-ara1,0.88873,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.88868,RELEASE
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.8886,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.88842,RELEASE
78.json,0.88839,RAWrabicaShamAY1
0307IbnHarunRuyani.Musnad.JK000653-ara1,0.88836,RELEASE
21570.json,0.88835,RAWrabicaShamAY2
38151.json,0.88806,RAWrabicaShamAY3
0307AbuYaclaMawsili.Musnad.Shia001976Vols-ara1,0.88787,RELEASE
0303Nasai.SunanKubra.JK000475-ara1,0.88775,RELEASE
0303Nasai.SunanKubra.ShamAY0033958-ara1,0.88765,RELEASE
13075.json,0.88762,RAWrabicaShamAY2
21570.bok.json,0.88761,RAWrabicaSham19Y
1405.json,0.88741,RAWrabicaShamAY1
0287IbnAbiCasim.Jihad.Shamela0013013-ara1,0.88717,RELEASE
0381IbnMuqriIsbahani.Arbacuna.Shamela0021473-ara1,0.88691,RELEASE
0303Nasai.SunanKubra.Shia001964Vols-ara1,0.88688,RELEASE
32799.json,0.88654,RAWrabicaShamAY2
9567.bok.json,0.88629,RAWrabicaSham19Y
0360Tabarani.Duca.ShamAY0033982-ara1,0.88608,RELEASE
33982.json,0.88568,RAWrabicaShamAY2
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.88552,RELEASE
Shamela021570.txt,0.88545,raw_ShamelaY19
Shamela149015.txt,0.88543,raw_ShamelaY19
13013.json,0.88516,RAWrabicaShamAY2
0256Bukhari.Sahih.JK000110-ara1,0.88508,RELEASE
0433AbuSacdNasruyi.Amali.ShamAY0032799-ara1,0.88506,RELEASE
9567.json,0.88497,RAWrabicaShamAY1
937.json,0.88496,RAW_ABLibrary
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.88485,RELEASE
0307AbuYaclaMawsili.Musnad.Shia001976Vols-ara1,0.88459,RELEASE
32953.json,0.8845,RAWrabicaShamAY2
0303Nasai.SunanKubra.JK000475-ara1,0.88447,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.88446,RELEASE
33576.json,0.88441,RAWrabicaShamAY2
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1,0.8842,RELEASE
13086.json,0.8842,RAWrabicaShamAY2
0458Bayhaqi.FadailAwqat.JK000024-ara1,0.88414,RELEASE
1320.json,0.88399,RAWrabicaShamAY1
0371AhmadJurjani.Mucjam.JK000760-ara1,0.88394,RELEASE
0307IbnHarunRuyani.Musnad.JK000653-ara1,0.88379,RELEASE
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.88354,RELEASE
Shamela026390.txt,0.88353,raw_ShamelaY19
0807NurDinHaythami.GhayatMaqsad.Shamela0009567-ara1,0.88352,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.88348,RELEASE
0470IbnMuhammadKufi.Cawali.Shamela0029769-ara1,0.88342,RELEASE
0433AbuSacdNasruyi.Amali.ShamAY0032799-ara1,0.88324,RELEASE
38104.json,0.88319,RAWrabicaShamAY3
38107.json,0.88277,RAWrabicaShamAY3
0256Bukhari.Sahih.JK000110-ara1,0.88263,RELEASE
0600CabdGhaniMuqaddasi.AkhbarSalat.Shamela0026390-ara1,0.88261,RELEASE
0458Bayhaqi.FadailAwqat.JK000024-ara1,0.88221,RELEASE
0375IbnCabdAllahAbhari.FawaidGharaibHisan.Shamela0022381-ara1,0.88199,RELEASE
0470IbnMuhammadKufi.Cawali.Shamela0029769-ara1,0.88192,RELEASE
0235IbnAbiShayba.Adab.Shamela0000638-ara1,0.88145,RELEASE
0371AhmadJurjani.Mucjam.Shamela0013176-ara1,0.88128,RELEASE
1325.json,0.88111,RAWrabicaShamAY1
0432IbnMuhammadNasafi.FadailQuran.Shamela0021315-ara1,0.88089,RELEASE
22381.json,0.8808,RAWrabicaShamAY2
21315.json,0.88071,RAWrabicaShamAY2
Shamela026474.txt,0.88056,raw_ShamelaY19
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.88018,RELEASE
26577.json,0.88002,RAWrabicaShamAY2
Shamela021315.txt,0.88001,raw_ShamelaY19
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.88001,RELEASE
0256Bukhari.Sahih.Shamela0001681-ara1,0.87975,RELEASE
0360Tabarani.JuzHadithAhlBasra.Shamela0026474-ara1,0.87952,RELEASE
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.87951,RELEASE
Shamela022381.txt,0.87947,raw_ShamelaY19
0303Nasai.CishratNisa.ShamAY0035249-ara1,0.87944,RELEASE
0256Bukhari.AdabMufrad.JK000011-ara1,0.87927,RELEASE
0256Bukhari.AdabMufrad.Shia001922-ara1,0.87914,RELEASE
0256Bukhari.TakhrijAhadithMarfuca.Shamela0008223-ara1,0.87907,RELEASE
0262CumarIbnShabba.TarikhMadina.Shamela0013086-ara1,0.87896,RELEASE
9595.bok.json,0.8789,RAWrabicaSham19Y
32784.json,0.87884,RAWrabicaShamAY2
0432IbnMuhammadNasafi.FadailQuran.Shamela0021315-ara1,0.87873,RELEASE
0262CumarIbnShabba.TarikhMadina.ShamAY0033814-ara1,0.8787,RELEASE
0303Nasai.KhasaisAmirMumininCali.Shamela0005645-ara1,0.87868,RELEASE
0366IbnNajidNaysaburi.Juz.Shamela0009397-ara1,0.87862,RELEASE
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.87855,RELEASE
33814.json,0.87846,RAWrabicaShamAY2
0287IbnAbiCasim.Salat.Shamela0026823-ara1,0.87819,RELEASE
33935.json,0.87813,RAWrabicaShamAY2
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.87813,RELEASE
0375IbnCabdAllahAbhari.FawaidGharaibHisan.Shamela0022381-ara1,0.8781,RELEASE
0458Bayhaqi.DacawatKabir.JK007124-ara1,0.87804,RELEASE
Shamela026577.txt,0.87783,raw_ShamelaY19
0235IbnAbiShayba.Adab.Shamela0000638-ara1,0.87781,RELEASE
0303Nasai.KhasaisAmirMumininCali.JK000669-ara1,0.87754,RELEASE
0385IbnShahin.NasikhHadithWaMansukhuh.JK000424-ara1,0.8772,RELEASE
0303Nasai.CishratNisa.ShamAY0035249-ara1,0.87718,RELEASE
9595.json,0.87716,RAWrabicaShamAY1
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1,0.87712,RELEASE
8970.json,0.87697,RAWrabicaShamAY1
Sham30K0033991,0.87693,RAWrabica020000
0458Bayhaqi.DacawatKabir.Shamela0008970-ara1,0.8768,RELEASE
0369AbuShaykhIsbahani.DhikrAqran.Shamela0026577-ara1,0.87678,RELEASE
0458Bayhaqi.Adab.Shamela0008203-ara1,0.87666,RELEASE
21473.json,0.87664,RAWrabicaShamAY2
1161.json,0.87644,RAWrabicaShamAY1
0458Bayhaqi.MacrifatSunanWaAthar.Shia002108Vols-ara1,0.87644,RELEASE
