unknown,TFIDF_cosine,libVar
0303Nasai.SunanSughra.Shamela0000829-ara1,0.9957,RELEASE
33910.json,0.99131,RAWrabicaShamAY2
0303Nasai.SunanSughra.ShamAY0033998-ara1,0.99065,RELEASE
33998.json,0.99028,RAWrabicaShamAY2
0303Nasai.SunanSughra.JK000130-ara1,0.98881,RELEASE
829.json,0.98184,RAWrabicaShamAY1
0303Nasai.SunanKubra.Shamela0008361-ara1,0.97727,RELEASE
1240.json,0.97686,RAWrabicaShamAY1
0303Nasai.SunanKubra.ShamAY0033997-ara1,0.97654,RELEASE
0303Nasai.CamalYawmWaLayla.JK000735-ara1,0.94929,RELEASE
0303Nasai.CamalYawmWaLayla.Shamela0006772-ara1,0.94561,RELEASE
33999.json,0.94527,RAWrabicaShamAY2
6772.json,0.94524,RAWrabicaShamAY1
0275AbuDawudSijistani.Marasil.ShamAY0033999-ara1,0.94507,RELEASE
0303Nasai.SunanKubra.Shia001964Vols-ara1,0.94369,RELEASE
0303Nasai.SunanKubra.ShamAY0033958-ara1,0.94334,RELEASE
0303Nasai.SunanKubra.JK000475-ara1,0.94297,RELEASE
0256Bukhari.Sahih.JK000110-ara1,0.93243,RELEASE
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.9313,RELEASE
0256Bukhari.Sahih.Shamela0001681-ara1,0.93107,RELEASE
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.93105,RELEASE
0303Nasai.CishratNisa.ShamAY0035249-ara1,0.93082,RELEASE
0256Bukhari.Sahih.Shia001715Vols-ara1,0.92909,RELEASE
Sham30K0033991,0.92853,RAWrabica020000
0249CabdIbnHamid.MuntakhabMinMusnad.ShamAY0033973-ara1,0.92818,RELEASE
Shia001964Vols,0.9265,RAWrabica040000
33960.json,0.92647,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.9264,RELEASE
33903.json,0.92625,RAWrabicaShamAY2
1160.json,0.92186,RAWrabicaShamAY1
0303Nasai.KhasaisAmirMumininCali.Shamela0005645-ara1,0.92177,RELEASE
0307IbnJarudNaysaburi.Muntaqa.JK000488-ara1,0.92165,RELEASE
0303Nasai.KhasaisAmirMumininCali.JK000669-ara1,0.9216,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033947-ara1,0.92114,RELEASE
33947.json,0.92109,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033925-ara1,0.92088,RELEASE
33925.json,0.92042,RAWrabicaShamAY2
0261Muslim.Sahih.Shamela0001727-ara1,0.91749,RELEASE
33938.json,0.91748,RAWrabicaShamAY2
0261Muslim.Sahih.ShamAY0033938-ara1,0.91688,RELEASE
0261Muslim.Sahih.Shia001723Vols-ara1,0.91622,RELEASE
5645.json,0.9155,RAWrabicaShamAY1
33971.json,0.91429,RAWrabicaShamAY2
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.91417,RELEASE
13175.json,0.91399,RAWrabicaShamAY2
0204Shafici.Musnad.Shamela0009344-ara1,0.9135,RELEASE
937.json,0.91346,RAW_ABLibrary
13175.bok.json,0.91333,RAWrabicaSham19Y
901.json,0.91274,RAWrabicaShamAY1
13182.json,0.91257,RAWrabicaShamAY2
0343IbnSulaymanAtrabulusi.Hadith.Shamela0013182-ara1,0.91235,RELEASE
0303Nasai.Ighrab.Shamela0026871-ara1,0.91206,RELEASE
2075.json,0.91155,RAWrabicaShamAY1
0303Nasai.Ighrab.ShamAY0001371-ara1,0.91128,RELEASE
Shamela026871.txt,0.91097,raw_ShamelaY19
0261Muslim.Sahih.JK000109-ara1,0.90959,RELEASE
0204Shafici.Musnad.Shia001706-ara1,0.90947,RELEASE
0204Shafici.Musnad.JK000494-ara1,0.9094,RELEASE
13037.json,0.90926,RAWrabicaShamAY2
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.90858,RELEASE
Shamela149015.txt,0.90849,raw_ShamelaY19
9567.bok.json,0.90685,RAWrabicaSham19Y
33950.json,0.90599,RAWrabicaShamAY2
0458Bayhaqi.MacrifatSunanWaAthar.ShamAY0033950-ara1,0.90545,RELEASE
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.90517,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.90511,RELEASE
9567.json,0.90504,RAWrabicaShamAY1
33997.json,0.90437,RAWrabicaShamAY2
13170.json,0.90385,RAWrabicaShamAY2
33935.json,0.90373,RAWrabicaShamAY2
0249CabdIbnHamid.MuntakhabMinMusnad.Shamela0013170-ara1,0.9037,RELEASE
0241IbnHanbal.Musnad.Shamela0013157-ara1,0.90288,RELEASE
