unknown,TFIDF_cosine,libVar
0303Nasai.TasmiyatManLamYarwi.JK000510BK1-ara2,0.98689,RELEASE
0303Nasai.TasmiyatManLamYarwi.Shia003077BK1-ara1,0.97472,RELEASE
0303Nasai.TasmiyatManLamYarwi.Shamela0006004BK3-ara3,0.95982,RELEASE
0303Nasai.TasmiyatManLamYarwi.JK011235BK1-ara1,0.95725,RELEASE
0303Nasai.TasmiyatManLamYarwi.Shia001971BK3-ara3,0.95645,RELEASE
0303Nasai.TasmiyatManLamYarwi.JK000697BK3-ara3,0.94489,RELEASE
Shia003077,0.65993,RAWrabica045000
Sham30K0044039,0.65357,RAWrabica030000
Sham30K0002649,0.63399,RAWrabica005000
5839.bok.json,0.60888,RAWrabicaSham19Y
5839.json,0.60042,RAWrabicaShamAY1
34019.json,0.59893,RAWrabicaShamAY2
6004.json,0.59855,RAWrabicaShamAY1
6004.bok.json,0.59755,RAWrabicaSham19Y
38025.json,0.59078,RAWrabicaShamAY3
0405AbuFadlHarawi.MucjamFiMushtabah.Shamela0005804-ara1,0.58987,RELEASE
Shia001971,0.587,RAWrabica040000
0374IbnHusaynAzdi.DhikrIsmKullAshab.Shamela0026918-ara1,0.58099,RELEASE
Shamela026918.txt,0.57883,raw_ShamelaY19
26918.json,0.57852,RAWrabicaShamAY2
5843.json,0.57819,RAWrabicaShamAY1
5804.json,0.5778,RAWrabicaShamAY1
0430AbuNucaymIsbahani.Ducafa.Shamela0005843-ara1,0.57743,RELEASE
5847.json,0.57736,RAWrabicaShamAY1
5804.bok.json,0.57715,RAWrabicaSham19Y
0430AbuNucaymIsbahani.Ducafa.JK000502-ara1,0.57691,RELEASE
0256Bukhari.DucafaSaghir.Shamela0010542-ara1,0.57681,RELEASE
0256Bukhari.DucafaSaghir.JK000507-ara1,0.57656,RELEASE
10542.json,0.57604,RAWrabicaShamAY1
0256Bukhari.TarikhKabir.JK000518-ara1,0.57537,RELEASE
0256Bukhari.DucafaSaghir.Shia003070-ara1,0.57519,RELEASE
38198.json,0.57457,RAWrabicaShamAY3
0256Bukhari.Ducafa.Shamela0008632-ara1,0.57195,RELEASE
38186.json,0.57188,RAWrabicaShamAY3
2857.html,0.5716,RAWrabicaRafed
0463KhatibBaghdadi.GhunyatMultamis.Shamela0005777-ara1,0.57156,RELEASE
0463KhatibBaghdadi.GhunyatMultamis.JK007120-ara1,0.57155,RELEASE
Sham30K0034100,0.57143,RAWrabica020000
5777.json,0.56879,RAWrabicaShamAY1
34620.json,0.56872,RAWrabicaShamAY3
10843.json,0.56813,RAWrabicaShamAY2
5777.bok.json,0.56805,RAWrabicaSham19Y
0580IbnCaliIbnAbiYacla.TajridAsmaWaKuna.Shamela0096233-ara1,0.56788,RELEASE
5837.json,0.56562,RAWrabicaShamAY1
6038.json,0.56523,RAWrabicaShamAY1
5837.bok.json,0.56499,RAWrabicaSham19Y
0261Muslim.Munfaridat.Shamela0005837-ara1,0.5646,RELEASE
6038.bok.json,0.56457,RAWrabicaSham19Y
0261Muslim.Munfaridat.JK000512-ara1,0.56434,RELEASE
0385Daraqutni.TacliqatCalaMajruhin.Shamela0010843-ara1,0.56391,RELEASE
Shamela096233.txt,0.56376,raw_ShamelaY19
0234CaliIbnMadini.Cilal.Shamela0006038-ara1,0.56362,RELEASE
34653.json,0.56359,RAWrabicaShamAY3
0261Muslim.Munfaridat.Shia001925-ara1,0.56205,RELEASE
Sham30K0038877,0.56124,RAWrabica025000
0405AbuFadlHarawi.MucjamFiMushtabah.JK000867-ara1,0.5612,RELEASE
0405HakimNaysaburi.MadkhalIlaSahih.ShamAY0034014-ara1,0.56036,RELEASE
0261Muslim.KunaWaAsma.Shamela0007340-ara1,0.56014,RELEASE
34014.json,0.55935,RAWrabicaShamAY2
0261Muslim.KunaWaAsma.JK000826-ara1,0.55752,RELEASE
2642.automARkdown,0.55483,RAW_Ghbook
0385Daraqutni.Ducafa.Shamela0010802-ara1,0.55423,RELEASE
0385Daraqutni.MutalifWaMukhtalif.Shamela0012581-ara1,0.55331,RELEASE
1893.json,0.55318,RAWrabicaShamAY1
1293.json,0.55286,RAWrabicaShamAY1
12581.bok.json,0.55276,RAWrabicaSham19Y
34606.json,0.55136,RAWrabicaShamAY3
38185.json,0.55133,RAWrabicaShamAY3
0409CabdGhaniAzdi.MutalifWaMukhtalif.ShamAY0034573-ara1,0.55044,RELEASE
5851.json,0.54864,RAWrabicaShamAY1
0475IbnMakula.IkmalFiRafcIrtiyab.Shamela0022659-ara1,0.54863,RELEASE
0234CaliIbnMadini.Cilal.ShamAY0034150-ara1,0.54855,RELEASE
38184.json,0.54821,RAWrabicaShamAY3
34150.json,0.54814,RAWrabicaShamAY2
12063.json,0.54774,RAWrabicaShamAY2
5798.json,0.54725,RAWrabicaShamAY1
0474IbnKhalafBaji.TacdilWaTajrih.Shamela0005851-ara1,0.54719,RELEASE
0474IbnKhalafBaji.TacdilWaTajrih.JK000499-ara1,0.54709,RELEASE
0475IbnMakula.TahdhibMustamirr.JK000773-ara1,0.54663,RELEASE
0475IbnMakula.TahdhibMustamirr.Shamela0005798-ara1,0.54656,RELEASE
34601.json,0.54599,RAWrabicaShamAY3
5836.json,0.54568,RAWrabicaShamAY1
Shamela022659.txt,0.54565,raw_ShamelaY19
0256Bukhari.TarikhKabir.Shia003071-ara1,0.54544,RELEASE
34652.json,0.54536,RAWrabicaShamAY3
Shamela096956.txt,0.54522,raw_ShamelaY19
2054.json,0.54432,RAWrabicaShamAY1
0256Bukhari.TarikhKabir.JK000133-ara1,0.54362,RELEASE
0584IbnMusaHazimi.FaysalFiMushtabihNisba.ShamAY0034667-ara1,0.54343,RELEASE
1041.json,0.54311,RAWrabicaShamAY1
12993.json,0.54311,RAWrabicaShamAY2
1064.json,0.54276,RAWrabicaShamAY1
34667.json,0.54223,RAWrabicaShamAY3
9076.json,0.5422,RAWrabicaShamAY1
0301Bardiji.TabaqatAsma.Shamela0001590-ara1,0.54174,RELEASE
0463KhatibBaghdadi.MuttafiqWaMuftariq.Shamela0009076-ara1,0.54173,RELEASE
0385Daraqutni.CilalWarida.Shia003117Vols-ara1,0.54141,RELEASE
6027.json,0.54106,RAWrabicaShamAY1
0234CaliIbnMadini.Cilal.JK000708-ara1,0.54094,RELEASE
1692.json,0.54084,RAWrabicaShamAY1
0405HakimNaysaburi.MadkhalIlaSahih.Shamela0006027-ara1,0.54083,RELEASE
Shamela026033.txt,0.5408,raw_ShamelaY19
1590.json,0.54078,RAWrabicaShamAY1
Shamela036357.txt,0.54053,raw_ShamelaY19
0475IbnMakula.IkmalFiRafcIrtiyab.JK000582-ara1,0.54049,RELEASE
0405HakimNaysaburi.MadkhalIlaSahih.JK000719-ara1,0.54049,RELEASE
1290.json,0.54008,RAWrabicaShamAY1
0446AbuYaclaKhalili.IrshadFiMacrifaCulama.Shamela0012993-ara1,0.5398,RELEASE
0463IbnCabdBarr.Istighna.Sham19Y0132971-ara1,0.53967,RELEASE
Shamela132971.txt,0.53924,raw_ShamelaY19
1731.json,0.53895,RAWrabicaShamAY1
0354IbnHibbanBusti.Majruhin.Shamela0005834-ara1,0.53698,RELEASE
Sham30K0034021,0.53695,RAWrabica020000
0446AbuYaclaKhalili.IrshadFiMacrifaCulama.JK000732-ara1,0.53684,RELEASE
0354IbnHibbanBusti.Majruhin.JK000514-ara1,0.53684,RELEASE
5834.bok.json,0.53599,RAWrabicaSham19Y
34573.json,0.53589,RAWrabicaShamAY3
5850.json,0.53585,RAWrabicaShamAY1
5834.json,0.53528,RAWrabicaShamAY1
5850.bok.json,0.53525,RAWrabicaSham19Y
0475IbnMakula.IkmalFiRafcIrtiyab.Shia003146Vols-ara1,0.53507,RELEASE
2052.json,0.53499,RAWrabicaShamAY1
Shamela096955.txt,0.53471,raw_ShamelaY19
0385Daraqutni.AhadithAllatiKhulifaFihaMalikIbnAnas.Shamela0005651-ara1,0.53468,RELEASE
Shia003071,0.53456,RAWrabica045000
0256Bukhari.TarikhKabir.Shamela0012823-ara1,0.53405,RELEASE
12823.json,0.5339,RAWrabicaShamAY2
9389.json,0.5338,RAWrabicaShamAY1
0385Daraqutni.AhadithAllatiKhulifaFihaMalikIbnAnas.JK000928-ara1,0.53377,RELEASE
32970.json,0.53374,RAWrabicaShamAY2
33699.json,0.53303,RAWrabicaShamAY2
26471.bok.json,0.53302,RAWrabicaSham19Y
0463KhatibBaghdadi.TaliTalkhisMutashabih.JK000617-ara1,0.5325,RELEASE
0463KhatibBaghdadi.TaliTalkhisMutashabih.Shamela0006003-ara1,0.53249,RELEASE
5651.json,0.53244,RAWrabicaShamAY1
1518.bok.json,0.53239,RAWrabicaSham19Y
0385Daraqutni.CilalWarida.ShamAY0034177-ara2,0.53215,RELEASE
0395IbnMandahMuhammad.FathBab.JK007024-ara1,0.53213,RELEASE
0395IbnMandahMuhammad.FathBab.Shamela0005813-ara1,0.53212,RELEASE
0327IbnAbiHatimRazi.BayanKhataBukhari.Shamela0001076-ara1,0.53197,RELEASE
6003.json,0.53195,RAWrabicaShamAY1
0385Daraqutni.CilalWarida.JK000522-ara1,0.53193,RELEASE
26471.json,0.53176,RAWrabicaShamAY2
0385Daraqutni.CilalWarida.Shamela0009082-ara1,0.53165,RELEASE
5813.bok.json,0.53159,RAWrabicaSham19Y
0385Daraqutni.CilalWarida.ShamAY0034171-ara3,0.53153,RELEASE
5813.json,0.53148,RAWrabicaShamAY1
0430AbuNucaymIsbahani.Ducafa.Shia003128-ara1,0.53135,RELEASE
0327IbnAbiHatimRazi.Marasil.Shamela0006046-ara1,0.53116,RELEASE
0256Bukhari.TarikhKabir.Shia003062Vols-ara1,0.53113,RELEASE
1518.json,0.5311,RAWrabicaShamAY1
Shamela026471.txt,0.53066,raw_ShamelaY19
0508NasibAbuQasim.Fawaid.ShamAY0032970-ara1,0.53057,RELEASE
34177.json,0.53042,RAWrabicaShamAY2
