unknown,TFIDF_cosine,libVar
0307AbuYaclaMawsili.Musnad.JK000485-ara1,0.99555,RELEASE
31634.json,0.97207,RAWrabicaShamAY2
12520.bok.json,0.97203,RAWrabicaSham19Y
21570.bok.json,0.96248,RAWrabicaSham19Y
21570.json,0.96226,RAWrabicaShamAY2
0807NurDinHaythami.MaqsadAli.Shamela0021570-ara1,0.96206,RELEASE
Shamela021570.txt,0.96193,raw_ShamelaY19
0241IbnHanbal.Musnad.ShamAY0033963-ara5,0.96175,RELEASE
0241IbnHanbal.Musnad.Shamela0013157-ara1,0.96137,RELEASE
0282HarithHaythami.BughyaBahith.JK000483-ara1,0.96133,RELEASE
33963.json,0.96107,RAWrabicaShamAY2
0241IbnHanbal.Musnad.Shamela0025794-ara1,0.96103,RELEASE
13157.json,0.96062,RAWrabicaShamAY2
0241IbnHanbal.Musnad.Shamela0025794-ara1,0.96046,RELEASE
33985.json,0.96033,RAWrabicaShamAY2
9567.bok.json,0.95781,RAWrabicaSham19Y
13175.bok.json,0.95773,RAWrabicaSham19Y
9567.json,0.95772,RAWrabicaShamAY1
0807NurDinHaythami.GhayatMaqsad.Shamela0009567-ara1,0.95712,RELEASE
0307AbuYaclaMawsili.Mucjam.Shamela0013175-ara1,0.9569,RELEASE
13175.json,0.95644,RAWrabicaShamAY2
Shamela029857.txt,0.95347,raw_ShamelaY19
13037.json,0.95153,RAWrabicaShamAY2
1401.json,0.95074,RAWrabicaShamAY1
0279Tirmidhi.ShamailMuhammadiyya.Shamela0013037-ara1,0.95073,RELEASE
Sham30K0038957,0.95017,RAWrabica025000
0261Muslim.Sahih.JK000109-ara1,0.9501,RELEASE
0320HakimTirmidhi.NawadirUsul.ShamAY0038092-ara1,0.94956,RELEASE
38092.json,0.94938,RAWrabicaShamAY3
0279Tirmidhi.ShamailMuhammadiyya.Shamela0023647-ara1,0.94846,RELEASE
0275AbuDawudSijistani.Marasil.Shamela0013063-ara1,0.94833,RELEASE
0287IbnAbiCasim.Sunna.ShamAY0033984-ara1,0.94829,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.Shamela0023647-ara1,0.94797,RELEASE
33984.json,0.94756,RAWrabicaShamAY2
0261Muslim.Sahih.Shamela0001727-ara1,0.94659,RELEASE
Shamela098138.txt,0.94645,raw_ShamelaY19
0273IbnMaja.Sunan.ShamAY0033959-ara1,0.94642,RELEASE
0273IbnMaja.Sunan.Shamela0098138-ara1,0.94641,RELEASE
0261Muslim.Sahih.ShamAY0033938-ara1,0.94625,RELEASE
13063.json,0.9462,RAWrabicaShamAY2
0279Tirmidhi.ShamailMuhammadiyya.Shia001933-ara1,0.94617,RELEASE
0261Muslim.Sahih.Shia001723Vols-ara1,0.94574,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.94553,RELEASE
0275AbuDawudSijistani.Sunan.Shamela0001726-ara1,0.94549,RELEASE
0287IbnAbiCasim.Jihad.Shamela0013013-ara1,0.94542,RELEASE
0241IbnHanbal.Musnad.ShamAY0033936-ara4,0.94533,RELEASE
0564IbnCabdWahidSamarqandi.Majlis.JK007025-ara1,0.94515,RELEASE
33852.json,0.94508,RAWrabicaShamAY2
0261Muslim.Sahih.ShamAY0033938-ara1,0.94488,RELEASE
33938.json,0.94484,RAWrabicaShamAY2
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.9447,RELEASE
0281IbnAbiDunya.Ciyal.ShamAY0038104-ara1,0.94468,RELEASE
0273IbnMaja.Sunan.Shamela0001198-ara1,0.94462,RELEASE
38104.json,0.94451,RAWrabicaShamAY3
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1,0.9445,RELEASE
0281IbnAbiDunya.Ciyal.Shamela0013075-ara1,0.94448,RELEASE
13013.json,0.94441,RAWrabicaShamAY2
0275AbuDawudSijistani.Sunan.ShamAY0033960-ara1,0.94433,RELEASE
13075.json,0.94406,RAWrabicaShamAY2
30305.json,0.94399,RAWrabicaShamAY2
33959.json,0.94379,RAWrabicaShamAY2
0307IbnHarunRuyani.Musnad.JK000653-ara1,0.94367,RELEASE
Shamela030305.txt,0.94332,raw_ShamelaY19
0256Bukhari.Sahih.JK000110-ara1,0.94324,RELEASE
0275AbuDawudSijistani.Marasil.JK000766-ara1,0.94324,RELEASE
0219IbnMuslimBasri.Ahadith.Shamela0030305-ara1,0.94291,RELEASE
34284.json,0.94287,RAWrabicaShamAY3
0287IbnAbiCasim.Diyat.JK000178-ara1,0.94266,RELEASE
0256Bukhari.Sahih.JK000110-ara1,0.9424,RELEASE
0287IbnAbiCasim.Diyat.ShamAY0034284-ara1,0.94233,RELEASE
0307IbnHarunRuyani.Musnad.JK000653-ara1,0.94208,RELEASE
0287IbnAbiCasim.Diyat.ShamAY0034284-ara1,0.94197,RELEASE
0287IbnAbiCasim.Diyat.Shamela0013018-ara1,0.9417,RELEASE
Shamela026425.txt,0.9415,raw_ShamelaY19
0330IbnIsmacilMahamili.Amali.Shamela0026425-ara1,0.94128,RELEASE
78.json,0.94089,RAWrabicaShamAY1
Shamela149015.txt,0.94051,raw_ShamelaY19
33981.json,0.94043,RAWrabicaShamAY2
33960.json,0.94009,RAWrabicaShamAY2
9595.bok.json,0.93986,RAWrabicaSham19Y
9595.json,0.93978,RAWrabicaShamAY1
0327AbuBakrKharaiti.MakarimAkhlaq.Shamela0009595-ara1,0.93944,RELEASE
887.json,0.93942,RAW_ABLibrary
0292IbnCaliMarwazi.MusnadAbiBakr.Shamela0013156-ara1,0.93936,RELEASE
0279Tirmidhi.ShamailMuhammadiyya.ShamAY0038142-ara1,0.9385,RELEASE
38142.json,0.93844,RAWrabicaShamAY3
1160.json,0.93832,RAWrabicaShamAY1
33936.json,0.93763,RAWrabicaShamAY2
0292IbnCaliMarwazi.MusnadAbiBakr.JK000693-ara1,0.93732,RELEASE
0292IbnCaliMarwazi.MusnadAbiBakr.JK000693-ara1,0.93726,RELEASE
13092.json,0.93701,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033903-ara1,0.93678,RELEASE
33903.json,0.93654,RAWrabicaShamAY2
0281IbnAbiDunya.MaradWaKaffarat.Shamela0013064-ara1,0.9363,RELEASE
38113.json,0.93629,RAWrabicaShamAY3
0281IbnAbiDunya.MaradWaKaffarat.ShamAY0038113-ara1,0.93628,RELEASE
901.json,0.93609,RAWrabicaShamAY1
1405.json,0.93609,RAWrabicaShamAY1
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1,0.93595,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.93587,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.JK007026-ara1,0.93582,RELEASE
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.9357,RELEASE
0339AbuJacfarIbnBukhturi.MajmucMusannafat.Shamela0005737-ara1,0.93563,RELEASE
0256Bukhari.Sahih.Shamela0001681-ara1,0.93562,RELEASE
33576.json,0.93553,RAWrabicaShamAY2
0311IbnKhuzaymaNaysaburi.Sahih.ShamAY0033968-ara1,0.93549,RELEASE
0281IbnAbiDunya.MaradWaKaffarat.JK000014-ara1,0.93547,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.ShamAY0033973-ara1,0.93541,RELEASE
98.json,0.93539,RAW_ABLibrary
0414HilalHaffar.Juz.ShamAY0033576-ara1,0.93513,RELEASE
0262CumarIbnShabba.TarikhMadina.Shamela0013086-ara1,0.93498,RELEASE
0249CabdIbnHamid.MuntakhabMinMusnad.ShamAY0033973-ara1,0.93491,RELEASE
33968.json,0.93488,RAWrabicaShamAY2
0262CumarIbnShabba.TarikhMadina.ShamAY0033814-ara1,0.93486,RELEASE
13086.json,0.93468,RAWrabicaShamAY2
13018.json,0.93468,RAWrabicaShamAY2
33814.json,0.93461,RAWrabicaShamAY2
33947.json,0.93417,RAWrabicaShamAY2
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033947-ara1,0.93374,RELEASE
0307IbnJarudNaysaburi.Muntaqa.ShamAY0033925-ara1,0.93346,RELEASE
0307IbnJarudNaysaburi.Muntaqa.JK000488-ara1,0.93342,RELEASE
1161.json,0.93337,RAWrabicaShamAY1
0256Bukhari.AdabMufrad.Shia001922-ara1,0.93321,RELEASE
33925.json,0.93313,RAWrabicaShamAY2
1198.json,0.93306,RAWrabicaShamAY1
0256Bukhari.AdabMufrad.JK000011-ara1,0.93292,RELEASE
33971.json,0.93267,RAWrabicaShamAY2
1198.bok.json,0.93225,RAWrabicaSham19Y
0360Tabarani.Duca.ShamAY0033982-ara1,0.93166,RELEASE
Sham30K0033991,0.93163,RAWrabica020000
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1,0.9315,RELEASE
33982.json,0.93138,RAWrabicaShamAY2
13156.json,0.93123,RAWrabicaShamAY2
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.93076,RELEASE
0281IbnAbiDunya.Ciyal.JK000866-ara1,0.93064,RELEASE
0262CumarIbnShabba.TarikhMadina.Shia003461Vols-ara1,0.93041,RELEASE
1381.json,0.93041,RAWrabicaShamAY1
0346AsammNaysaburi.Majmuc.Shamela0038194-ara1,0.93037,RELEASE
35229.json,0.93,RAWrabicaShamAY3
Shamela038194.txt,0.92987,raw_ShamelaY19
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.92981,RELEASE
0307AbuYaclaMawsili.Musnad.Shamela0012520-ara1,0.92938,RELEASE
0360Tabarani.MakarimAkhlaq.ShamAY0038139-ara3,0.92937,RELEASE
0204AbuDawudTayalisi.Musnad.ShamAY0033930-ara1,0.92921,RELEASE
9383.json,0.92917,RAWrabicaShamAY1
0204AbuDawudTayalisi.Musnad.JK000470-ara1,0.92912,RELEASE
38139.json,0.9291,RAWrabicaShamAY3
002047.automARkdown,0.929,RAW_Masaha
0256Bukhari.Sahih.Shia001715Vols-ara1,0.92886,RELEASE
0204AbuDawudTayalisi.Musnad.Shia001885-ara1,0.92869,RELEASE
Shamela023647.txt,0.92867,raw_ShamelaY19
33935.json,0.92855,RAWrabicaShamAY2
Shamela021809.txt,0.92845,raw_ShamelaY19
13099.json,0.92809,RAWrabicaShamAY2
0774IbnKathir.JamicMasanid.Shamela0021809-ara1,0.92779,RELEASE
0281IbnAbiDunya.MakarimAkhlaq.ShamAY0038163-ara2,0.92694,RELEASE
13182.json,0.9269,RAWrabicaShamAY2
13091.json,0.92685,RAWrabicaShamAY2
13051.json,0.92684,RAWrabicaShamAY2
0301AbuBakrFaryabi.Qadar.Shamela0013051-ara1,0.92669,RELEASE
0409CabdGhaniAzdi.Ghawamis.Shamela0026507-ara1,0.92664,RELEASE
38163.json,0.92661,RAWrabicaShamAY3
Shia001922,0.92659,RAWrabica040000
0343IbnSulaymanAtrabulusi.Hadith.Shamela0013182-ara1,0.9261,RELEASE
32784.json,0.92574,RAWrabicaShamAY2
0409CabdGhaniAzdi.Ghawamis.Shamela0026507-ara1,0.92562,RELEASE
Shamela098126.txt,0.92544,raw_ShamelaY19
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.92538,RELEASE
Shamela026507.txt,0.92518,raw_ShamelaY19
26507.json,0.92507,RAWrabicaShamAY2
0350MuhammadIbnIbrahim.Fawaid.ShamAY0032784-ara1,0.92493,RELEASE
0381IbnMuqriIsbahani.Arbacuna.Shamela0021473-ara1,0.92416,RELEASE
1456.bok.json,0.92414,RAWrabicaSham19Y
Shamela021473.txt,0.92414,raw_ShamelaY19
1456.json,0.92405,RAWrabicaShamAY1
0807NurDinHaythami.MawaridZaman.Shia002231Vols-ara1,0.92401,RELEASE
0360Tabarani.MucjamKabir.ShamAY0033908-ara2,0.92386,RELEASE
0204AbuDawudTayalisi.Musnad.Shamela0001456-ara1,0.92378,RELEASE
33908.json,0.92353,RAWrabicaShamAY2
0380AbuBakrKalabadhi.BahrFawaid.ShamAY0038096-ara2,0.9235,RELEASE
0381IbnMuqriIsbahani.Arbacuna.Shamela0021473-ara1,0.9235,RELEASE
33701.json,0.92329,RAWrabicaShamAY2
13105.json,0.92305,RAWrabicaShamAY2
0204AbuDawudTayalisi.Musnad.Shamela0001456-ara1,0.92305,RELEASE
38096.json,0.92302,RAWrabicaShamAY3
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.92253,RELEASE
0321AbuJacfarTahawi.AhkamQuran.Shamela0010765-ara1,0.92241,RELEASE
12852.json,0.92239,RAWrabicaShamAY2
0303Nasai.KhasaisAmirMumininCali.Shamela0005645-ara1,0.92219,RELEASE
0321AbuJacfarTahawi.AhkamQuran.Shamela0010765-ara1,0.92215,RELEASE
0370IbnRashiqMisri.Juz.Shamela0026564-ara1,0.92206,RELEASE
0246AhmadDawraqi.MusnadSacdIbnAbiWaqqas.Shamela0013166-ara1,0.92206,RELEASE
0415CaliIbnBishranUmawi.Fawaid.Shamela0009383-ara1,0.92193,RELEASE
