unknown,TFIDF_cosine,libVar
13161.json,0.99997,RAWrabicaShamAY2
Shamela021494.txt,0.96781,raw_ShamelaY19
915.json,0.96779,RAWrabicaShamAY1
0340IbnAcrabiBasri.Mucjam.Shamela0021494-ara1,0.96743,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.ShamAY0032846-ara1,0.96296,RELEASE
32846.json,0.96253,RAWrabicaShamAY2
0369AbuShaykhIsbahani.AkhlaqNabi.Shamela0012980-ara1,0.95907,RELEASE
0369AbuShaykhIsbahani.AkhlaqNabi.ShamAY0034449-ara2,0.95894,RELEASE
12980.json,0.9587,RAWrabicaShamAY2
34449.json,0.95863,RAWrabicaShamAY3
38637.json,0.95517,RAWrabicaShamAY3
0507AbuBakrShashi.ShamailNubuwwa.ShamAY0038637-ara1,0.95514,RELEASE
0322AbuBakrZubayri.Fawaid.Shamela0030384-ara1,0.93324,RELEASE
32763.json,0.93306,RAWrabicaShamAY2
0350AbuBakrAzdiQadiMawsili.Hadith.ShamAY0032815-ara1,0.9325,RELEASE
32815.json,0.93121,RAWrabicaShamAY2
Shamela030384.txt,0.93118,raw_ShamelaY19
0275AbuCaliShacrani.Hadith.ShamAY0032776-ara1,0.93098,RELEASE
32776.json,0.93069,RAWrabicaShamAY2
0396IbnJundi.Fawaid.ShamAY0032763-ara1,0.93046,RELEASE
0370IbnQasimKhayyat.Hadith.Shamela0029725-ara1,0.92865,RELEASE
1224.json,0.92854,RAWrabicaShamAY1
0454IbnAhmadRazi.FadailQuran.Shamela0001600-ara1,0.92799,RELEASE
30384.json,0.92766,RAWrabicaShamAY2
0385Daraqutni.Sunan.Shia002083Vols-ara1,0.92758,RELEASE
0385Daraqutni.Sunan.Shamela0009771-ara1,0.92723,RELEASE
0359AbuBakrNasibi.Hadith.Shamela0029897-ara1,0.92717,RELEASE
0235IbnAbiShayba.Musnad.Shamela0013155-ara1,0.92706,RELEASE
13155.json,0.92674,RAWrabicaShamAY2
0348IbnSalmanNajjad.Hadith.Shamela0029866-ara1,0.92621,RELEASE
Shamela029897.txt,0.92465,raw_ShamelaY19
0458Bayhaqi.SunanSaghir.ShamAY0033602-ara1,0.92415,RELEASE
0235IbnAbiShayba.Musnad.JK007049-ara1,0.92408,RELEASE
0340IbnAcrabiBasri.Mucjam.JK011633-ara1,0.92394,RELEASE
33602.json,0.92373,RAWrabicaShamAY2
1273.json,0.92277,RAWrabicaShamAY1
8227.bok.json,0.9226,RAWrabicaSham19Y
29897.json,0.92256,RAWrabicaShamAY2
0381IbnCabdRahmanZuhri.Hadith.Shamela0008227-ara1,0.9223,RELEASE
32775.json,0.92181,RAWrabicaShamAY2
12415.bok.json,0.92164,RAWrabicaSham19Y
0497AbuMuticMisri.Amali.ShamAY0032775-ara1,0.92154,RELEASE
0458Bayhaqi.SunanSaghir.Shamela0012415-ara1,0.92146,RELEASE
31633.json,0.92111,RAWrabicaShamAY2
Shamela029725.txt,0.92082,raw_ShamelaY19
5583.json,0.91964,RAWrabicaShamAY1
Shia002083Vols,0.91848,RAWrabica040000
0312IbnCaliTusi.MukhtasarAhkam.JK000929-ara1,0.91838,RELEASE
0312IbnCaliTusi.MukhtasarAhkam.Shamela0005583-ara1,0.91837,RELEASE
Shamela029866.txt,0.91779,raw_ShamelaY19
0385Daraqutni.Sunan.JK000477-ara1,0.91755,RELEASE
0385Daraqutni.Sunan.ShamAY0033927-ara1,0.91732,RELEASE
1600.json,0.91732,RAWrabicaShamAY1
1274.json,0.91607,RAWrabicaShamAY1
0430AbuNucaymIsbahani.RiyadatAbdan.Shamela0013118-ara1,0.91591,RELEASE
Sham30K0038961,0.91566,RAWrabica025000
29725.json,0.91512,RAWrabicaShamAY2
0379IbnMuzaffarBazzaz.GharaibHadithMalik.Shamela0008236-ara1,0.91495,RELEASE
Shamela026426.txt,0.91469,raw_ShamelaY19
0335IbnKulaybShashi.Musnad.Shamela0013066-ara1,0.91452,RELEASE
13066.json,0.91441,RAWrabicaShamAY2
34108.json,0.91338,RAWrabicaShamAY2
30631.json,0.91325,RAWrabicaShamAY2
0578IbnBashkuwal.AtharMarwiyya.Shamela0026426-ara1,0.91316,RELEASE
0327AbuBakrKharaiti.MuntaqaMinMakarim.Shamela0011930-ara1,0.91292,RELEASE
0327AbuBakrKharaiti.MuntaqaMinMakarim.JK001171-ara1,0.91288,RELEASE
33707.json,0.91287,RAWrabicaShamAY2
Shamela030131.txt,0.91257,raw_ShamelaY19
Shamela021634.txt,0.91243,raw_ShamelaY19
0576AbuTahirSilafi.MashyakhaBaghdadiyya.Shamela0030623Vols-ara1,0.9123,RELEASE
30131.json,0.91158,RAWrabicaShamAY2
0576AbuTahirSilafi.MashyakhaBaghdadiyya.Shamela0021634-ara1,0.91135,RELEASE
0430AbuNucaymIsbahani.RiyadatAbdan.JK000596-ara1,0.91123,RELEASE
0347IbnHazlam.Juz.ShamAY0033707-ara1,0.9112,RELEASE
21634.json,0.91091,RAWrabicaShamAY2
Shamela030631.txt,0.91052,raw_ShamelaY19
32869.json,0.90968,RAWrabicaShamAY2
11930.json,0.90872,RAWrabicaShamAY2
26426.json,0.90824,RAWrabicaShamAY2
0381IbnMuqriIsbahani.Rukhsa.Shamela0013021-ara1,0.90806,RELEASE
Shamela030625.txt,0.9073,raw_ShamelaY19
0381IbnMuqriIsbahani.Rukhsa.Shia002074-ara1,0.90723,RELEASE
0381IbnMuqriIsbahani.Rukhsa.JK000026-ara1,0.9067,RELEASE
30625.json,0.9067,RAWrabicaShamAY2
13048.json,0.90563,RAWrabicaShamAY2
Shamela029933.txt,0.90536,raw_ShamelaY19
32823.json,0.90528,RAWrabicaShamAY2
29866.json,0.90519,RAWrabicaShamAY2
0335IbnKulaybShashi.Musnad.JK000576-ara1,0.9045,RELEASE
0460AbuHasanHanifiZahid.Hadith.ShamAY0032869-ara1,0.90392,RELEASE
0463KhatibBaghdadi.FaqihWaMutafaqqih.Shamela0013048-ara1,0.90321,RELEASE
0439IbnMuhammadKhallal.Amali.Shamela0030446-ara1,0.903,RELEASE
Sham30K0033793,0.9029,RAWrabica020000
0450AbuCaliSaffar.MinFawaid.ShamAY0032823-ara1,0.90234,RELEASE
0347IbnHazlam.Mashyakha.Shamela0029933-ara1,0.90215,RELEASE
33927.json,0.90133,RAWrabicaShamAY2
Shamela030114.txt,0.90124,raw_ShamelaY19
Shamela030621.txt,0.90067,raw_ShamelaY19
30114.json,0.90032,RAWrabicaShamAY2
30114.bok.json,0.89962,RAWrabicaSham19Y
29933.json,0.89959,RAWrabicaShamAY2
30110.json,0.89919,RAWrabicaShamAY2
30626.json,0.89895,RAWrabicaShamAY2
Shamela030110.txt,0.89888,raw_ShamelaY19
30113.json,0.89887,RAWrabicaShamAY2
0351IbnQanic.MucjamSahaba.JK000725-ara1,0.89837,RELEASE
30621.json,0.89816,RAWrabicaShamAY2
30621.bok.json,0.89773,RAWrabicaSham19Y
32816.json,0.89693,RAWrabicaShamAY2
Shamela030113.txt,0.89664,raw_ShamelaY19
30126.json,0.89639,RAWrabicaShamAY2
Shamela030446.txt,0.89638,raw_ShamelaY19
Shamela030126.txt,0.8962,raw_ShamelaY19
Shamela030622.txt,0.89603,raw_ShamelaY19
30622.json,0.89595,RAWrabicaShamAY2
8716.json,0.89543,RAW_ABLibrary
0311IbnKhuzaymaNaysaburi.Sahih.JK000132-ara1,0.89496,RELEASE
0311IbnKhuzaymaNaysaburi.Sahih.Shia001993Vols-ara1,0.8945,RELEASE
Shamela030626.txt,0.89439,raw_ShamelaY19
1446.json,0.89437,RAWrabicaShamAY1
0333IbnMarwanDinawari.MujalasaWaJawahirCilm.Shamela0009948-ara1,0.89408,RELEASE
5723.json,0.89337,RAWrabicaShamAY1
32809.json,0.89304,RAWrabicaShamAY2
13178.bok.json,0.893,RAWrabicaSham19Y
Shamela030093.txt,0.89273,raw_ShamelaY19
0426IbnAhmadIbnShadhan.MashyakhaSughra.Shamela0005723-ara1,0.89212,RELEASE
