unknown,TFIDF_cosine,libVar
11772.json,0.99944,RAWrabicaShamAY2
9079.json,0.81806,RAW_ABLibrary
004121.automARkdown,0.81676,RAW_Masaha
0309IbnFadlan.Rihla.JK000408-ara1,0.80595,RELEASE
3770.html,0.62765,RAWrabicaRafed
0365IbnFaqihHamadhani.Buldan.Shamela0011685-ara1,0.62479,RELEASE
1745.html,0.62456,RAWrabicaRafed
1070MuhammadKibrit.RihlatShita.Shamela0037345-ara1,0.62345,RELEASE
2385.html,0.62323,RAWrabicaRafed
0365IbnFaqihHamadhani.Buldan.Shamela0011685-ara1,0.62156,RELEASE
0597IbnJawzi.SaydKhatir.Shamela0012028-ara1,0.62094,RELEASE
0900AbuCabdAllahHimyari.RawdMictar.Shamela0001043-ara1,0.62012,RELEASE
1356MustafaSadiqRafici.IcjazQuran.Shamela0008506-ara1,0.6196,RELEASE
11685.bok.json,0.61902,RAWrabicaSham19Y
1343MustafaManfaluti.Nazarat.Shamela0011400-ara1,0.61899,RELEASE
0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1,0.61819,RELEASE
1346LuisShikhuYasuci.MajaniAdab.Sham19Y0000259-ara1,0.61808,RELEASE
0346Mascudi.AkhbarZaman.Shia003483-ara1,0.61791,RELEASE
0346Mascudi.AkhbarZaman.JK011221-ara1,0.61738,RELEASE
0255Jahiz.Hayawan.Shamela0023775-ara1,0.6171,RELEASE
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.61709,RELEASE
8620.bok.json,0.61704,RAWrabicaSham19Y
1346CabdQadirBadran.Jawahir.Sham19Y0020643-ara1,0.617,RELEASE
1450MuhammadHadiYusufi.MawsucatTarikhIslam.Shia003656Vols-ara1,0.61697,RELEASE
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.61647,RELEASE
622.json,0.61619,RAWrabicaShamAY1
35859.json,0.61574,RAWrabicaShamAY3
0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1,0.61547,RELEASE
10551.json,0.61528,RAWrabicaShamAY1
443.json,0.61507,RAWrabicaShamAY1
0346Mascudi.AkhbarZaman.Shamela0008620-ara1,0.61507,RELEASE
1323MuhammadCabduh.RisalatTawhid.Shamela0006392-ara1,0.61485,RELEASE
1572.json,0.61477,RAWrabicaShamAY1
8620.json,0.61476,RAWrabicaShamAY1
37720.json,0.61451,RAWrabicaShamAY3
9797.json,0.61442,RAWrabicaShamAY1
464.json,0.61426,RAWrabicaShamAY1
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.61419,RELEASE
1450MuhammadHadiYusufi.MawsucatTarikhIslam.Shia003656Vols-ara1,0.61411,RELEASE
8506.json,0.61374,RAWrabicaShamAY1
0500Anonymous.MajmucatRasailJahiz.Shamela0010428BK1-ara1,0.6133,RELEASE
1102NurDinYusi.MuhadaratFiLugha.JK010473-ara1,0.61299,RELEASE
1250Shawkani.AdabTalab.JK006955-ara1,0.61263,RELEASE
0685IbnSacidMaghribi.Muqtataf.Shamela0009100-ara1,0.61231,RELEASE
3882.html,0.61231,RAWrabicaRafed
0255Jahiz.Hayawan.Shamela0023775-ara1,0.61219,RELEASE
0414AbuHayyanTawhidi.Imtac.Shamela0010521-ara1,0.61151,RELEASE
0414AbuHayyanTawhidi.Imtac.JK009314-ara2,0.61139,RELEASE
349.html,0.61116,RAWrabicaRafed
1826.html,0.61101,RAWrabicaRafed
3786.html,0.61072,RAWrabicaRafed
0255Jahiz.Bukhala.Shamela0010501-ara1,0.61071,RELEASE
2267.html,0.61064,RAWrabicaRafed
10428.json,0.61045,RAWrabicaShamAY1
0456IbnHazm.TawqHamama.Shamela0010518-ara1,0.61042,RELEASE
0456IbnHazm.TawqHamama.JK009337-ara1,0.61017,RELEASE
0346Mascudi.AkhbarZaman.Shamela0008620-ara1,0.61011,RELEASE
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.61009,RELEASE
1043.bok.json,0.60989,RAWrabicaSham19Y
0542IbnBassamShantarini.Dhakhira.Shamela0001035-ara1,0.60954,RELEASE
1031BahaDinCamili.Kashkul.JK009365-ara1,0.60932,RELEASE
0637IbnAthirDiyaDin.MathalSair.Shamela0010551-ara1,0.60901,RELEASE
0255Jahiz.Hayawan.ShamAY0033772-ara1,0.60899,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.60893,RELEASE
6392.json,0.60844,RAWrabicaShamAY1
10501.bok.json,0.60842,RAWrabicaSham19Y
259.json,0.60839,RAWrabicaShamAY1
0682ZakariyaQazwini.AtharBilad.Shamela0009631-ara1,0.60835,RELEASE
0255Jahiz.Hayawan.JK007068-ara1,0.60828,RELEASE
175.html,0.60824,RAWrabicaRafed
0346Mascudi.MurujDhahab.JK010344-ara1,0.60784,RELEASE
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.60767,RELEASE
1043.json,0.60766,RAWrabicaShamAY1
10521.json,0.60763,RAWrabicaShamAY1
876.html,0.60742,RAWrabicaRafed
10518.json,0.60731,RAWrabicaShamAY1
0255Jahiz.Bukhala.JK009201-ara1,0.6073,RELEASE
1368HasanAmin.MustadrakatAcyanShica.Shia003634Vols-ara1,0.60714,RELEASE
0449AbuCalaMacarri.RisalatSahilWaShajih.Shamela0000563-ara1,0.60686,RELEASE
6854.json,0.60669,RAWrabicaShamAY1
0854IbnCarabshah.FakihatKhulafa.JK010770-ara1,0.60654,RELEASE
0403AbuBakrBaqillani.IcjazQuran.JK001020-ara1,0.60647,RELEASE
0255Jahiz.Bukhala.Shamela0010501-ara1,0.60624,RELEASE
10501.json,0.60613,RAWrabicaShamAY1
1035.json,0.60613,RAWrabicaShamAY1
2566.html,0.60605,RAWrabicaRafed
473.json,0.60601,RAWrabicaShamAY1
Sham30K0002774_d,0.60599,RAWrabica005000
0764Safadi.NusratThair.Shamela0000514-ara1,0.60595,RELEASE
3616.html,0.60593,RAWrabicaRafed
0255Jahiz.Bukhala.JK007061-ara1,0.60575,RELEASE
0440AbuRayhanBiruni.Jamahir.Shamela0000699-ara1,0.60537,RELEASE
0542IbnBassamShantarini.Dhakhira.JK006900-ara1,0.60533,RELEASE
0471CabdQahirJurjani.AsrarBalagha.Sham19Y0017387-ara1,0.60531,RELEASE
0400CubaydAllahIbnHassan.MajmucatMukhtaratRasailJahiz.Shamela0010428BK2-ara1,0.60522,RELEASE
1041Maqqari.AzharRiyad.Shamela0026350-ara1,0.60517,RELEASE
3140.html,0.60511,RAWrabicaRafed
32247.json,0.60503,RAWrabicaShamAY2
0346Mascudi.MurujDhahab.JK010344-ara1,0.60456,RELEASE
1574.html,0.60446,RAWrabicaRafed
Sham30K0002774_a,0.60445,RAWrabica005000
1658.html,0.60445,RAWrabicaRafed
1356MustafaSadiqRafici.TahtaRayatQuran.Shamela0021784-ara1,0.60438,RELEASE
0456IbnHazm.Rasail.Shamela0001038-ara1,0.6042,RELEASE
1660.html,0.60419,RAWrabicaRafed
0543IbnCarabiIshbili.CawasimMinQawasim.Shamela0096180-ara1,0.60407,RELEASE
3267.html,0.60401,RAWrabicaRafed
9100.json,0.60389,RAWrabicaShamAY1
