unknown,TFIDF_cosine,libVar
33791.json,0.99613,RAWrabicaShamAY2
0309IbnMarzuban.FadlKilab.ShamAY0033791-ara1,0.99605,RELEASE
33790.json,0.96349,RAWrabicaShamAY2
0309IbnMarzuban.FadlKilab.ShamAY0033790-ara1,0.95827,RELEASE
0309IbnMarzuban.FadlKilab.Shamela0011342-ara1,0.95453,RELEASE
11342.json,0.95447,RAWrabicaShamAY2
0384IbnCaliTanukhi.FarajBacdaShidda.Shia001282Vols-ara1,0.66432,RELEASE
0276IbnQutaybaDinawari.CuyunAkhbar.JK010342-ara1,0.64934,RELEASE
0328IbnCabdRabbihi.CiqdFarid.Shamela0023789-ara1,0.64819,RELEASE
0384IbnCaliTanukhi.NishwarMuhadara.JK009297-ara1,0.64805,RELEASE
002985Vols.automARkdown,0.64757,RAW_Masaha
0255Jahiz.MahasinWaAddad.Shamela0010511-ara2,0.64739,RELEASE
0255Jahiz.MahasinWaAddad.JK009364-ara1,0.64679,RELEASE
002334.automARkdown,0.64645,RAW_Masaha
0255Jahiz.Bukhala.JK007061-ara1,0.64533,RELEASE
0255Jahiz.Bukhala.Shamela0010501-ara1,0.6453,RELEASE
0436SharifMurtada.Amali.Shia001326Vols-ara1,0.64521,RELEASE
0255Jahiz.Bukhala.JK009201-ara1,0.64511,RELEASE
10511.bok.json,0.64491,RAWrabicaSham19Y
7903.json,0.64465,RAW_ABLibrary
0328IbnCabdRabbihi.CiqdFarid.JK009200-ara1,0.64458,RELEASE
1349.json,0.64405,RAWrabicaShamAY1
0538JarAllahZamakhshari.RabicAbrar.JK010561-ara1,0.64362,RELEASE
0515IbnMuhammadAminDinTarabulusi.MajmucLatif.Shamela0009096-ara1,0.64339,RELEASE
0436SharifMurtada.Amali.ShamAY0034519-ara2,0.64335,RELEASE
10511.json,0.64269,RAWrabicaShamAY1
23789.json,0.64248,RAWrabicaShamAY2
0255Jahiz.Hayawan.ShamAY0033772-ara1,0.64216,RELEASE
0384IbnCaliTanukhi.NishwarMuhadara.Shamela0010275-ara1,0.64206,RELEASE
0255Jahiz.Hayawan.JK007068-ara1,0.64192,RELEASE
0480IbnHilalSabi.HafawatNadira.Shamela0005363-ara1,0.64187,RELEASE
11056.json,0.64148,RAWrabicaShamAY2
10501.bok.json,0.64133,RAWrabicaSham19Y
Shamela023789.txt,0.64119,raw_ShamelaY19
0453AbuIshaqHusri.JamcJawahir.JK010621-ara1,0.64098,RELEASE
0453AbuIshaqHusri.JamcJawahir.Shamela0000621-ara1,0.64093,RELEASE
0414AbuHayyanTawhidi.Basair.JK009288-ara1,0.64079,RELEASE
0414AbuHayyanTawhidi.Basair.Shamela0026423-ara1,0.64061,RELEASE
8746.json,0.64059,RAW_ABLibrary
8829.json,0.64055,RAW_ABLibrary
0538JarAllahZamakhshari.RabicAbrar.Shamela0010668-ara1,0.6403,RELEASE
0584IbnMunqidhShayzari.LubabAdab.Shamela0010496-ara1,0.63996,RELEASE
0276IbnQutaybaDinawari.CuyunAkhbar.Shamela0023790-ara1,0.63906,RELEASE
10501.json,0.63906,RAWrabicaShamAY1
0429AbuMansurThacalibi.ThimarQulub.Shamela0006896-ara1,0.63887,RELEASE
0429AbuMansurThacalibi.ThimarQulub.JK000982-ara1,0.63883,RELEASE
003390Vols.automARkdown,0.63879,RAW_Masaha
0335Suli.AdabKuttab.Shamela0001601-ara1,0.63854,RELEASE
96278.bok.json,0.63849,RAWrabicaSham19Y
0621.bok.json,0.63845,RAWrabicaSham19Y
0436SharifMurtada.Amali.Sham19Y0020937-ara1,0.63843,RELEASE
26423.bok.json,0.63842,RAWrabicaSham19Y
0335Suli.AdabKuttab.JK009312-ara1,0.63839,RELEASE
0255Jahiz.BayanWaTabyin.JK001009-ara1,0.6383,RELEASE
Sham30K0033843,0.63824,RAWrabica020000
35866.json,0.63822,RAWrabicaShamAY3
33772.json,0.63819,RAWrabicaShamAY2
0562IbnHamdun.TadhkiraHamduniyya.Shamela0010646-ara1,0.63807,RELEASE
0453AbuIshaqHusri.ZuhrAdab.Shamela0010768-ara1,0.63772,RELEASE
002332.automARkdown,0.63763,RAW_Masaha
0520IbnMuhammadTurtushi.SirajMuluk.JK010572-ara2,0.63734,RELEASE
0520IbnMuhammadTurtushi.SirajMuluk.Shamela0001585-ara1,0.63727,RELEASE
10275.json,0.63679,RAWrabicaShamAY1
1760.json,0.63658,RAWrabicaShamAY1
621.json,0.63629,RAWrabicaShamAY1
Shamela026423.txt,0.63616,raw_ShamelaY19
0255Jahiz.BayanWaTabyin.ShamAY0033801-ara1,0.63609,RELEASE
1509.json,0.63604,RAWrabicaShamAY1
0255Jahiz.BayanWaTabyin.Zaydiyya0000478-ara1,0.63594,RELEASE
0255Jahiz.BayanWaTabyin.ShamAY0033779-ara1,0.63593,RELEASE
10668.json,0.63578,RAWrabicaShamAY1
1528.json,0.63571,RAWrabicaShamAY1
0390IbnZakariyaNahrawani.JalisSalih.JK010552-ara1,0.63563,RELEASE
0390IbnZakariyaNahrawani.JalisSalih.Shamela0007301-ara1,0.63555,RELEASE
34599.json,0.63553,RAWrabicaShamAY3
10496.json,0.63539,RAWrabicaShamAY1
10768.bok.json,0.63529,RAWrabicaSham19Y
26423.json,0.63518,RAWrabicaShamAY2
Shamela021563.txt,0.63517,raw_ShamelaY19
004568Vols.automARkdown,0.63471,RAW_Masaha
34519.json,0.6347,RAWrabicaShamAY3
Shamela096278.txt,0.6344,raw_ShamelaY19
1601.json,0.63419,RAWrabicaShamAY1
824.json,0.63402,RAW_ABLibrary
23790.json,0.63371,RAWrabicaShamAY2
32557.json,0.63347,RAWrabicaShamAY2
1585.json,0.63293,RAWrabicaShamAY1
0562IbnHamdun.TadhkiraHamduniyya.JK009325-ara1,0.63268,RELEASE
002964Vols.automARkdown,0.63252,RAW_Masaha
819.json,0.63245,RAWrabicaShamAY1
10768.json,0.63199,RAWrabicaShamAY2
002979Vols.automARkdown,0.63182,RAW_Masaha
16411.automARkdown,0.63166,RAW_Ghbook
0584IbnMunqidhShayzari.LubabAdab.JK010729-ara1,0.63143,RELEASE
Shamela020937.txt,0.6314,raw_ShamelaY19
Shamela023790.txt,0.63121,raw_ShamelaY19
0414AbuHayyanTawhidi.AkhlaqWazirayn.JK009310-ara2,0.63107,RELEASE
7301.json,0.63102,RAWrabicaShamAY1
0296IbnMuctazz.TabaqatShucara.Shamela0007867-ara1,0.63077,RELEASE
9788.json,0.63077,RAWrabicaShamAY1
33801.json,0.63074,RAWrabicaShamAY2
Shamela036072.txt,0.63067,raw_ShamelaY19
33779.json,0.63059,RAWrabicaShamAY2
0414AbuHayyanTawhidi.AkhlaqWazirayn.Shamela0012541-ara1,0.63057,RELEASE
0453AbuIshaqHusri.ZuhrAdab.JK009230-ara1,0.63026,RELEASE
33737.json,0.62981,RAWrabicaShamAY2
Shamela120146.txt,0.62978,raw_ShamelaY19
8190.json,0.62959,RAWrabicaShamAY1
7240.json,0.62944,RAWrabicaShamAY1
32109.json,0.6294,RAWrabicaShamAY2
33781.json,0.62901,RAWrabicaShamAY2
002349.automARkdown,0.629,RAW_Masaha
8751.json,0.62892,RAW_ABLibrary
34556.json,0.62875,RAWrabicaShamAY3
0463IbnCabdBarr.BahjatMajalis.Shamela0000558-ara1,0.62826,RELEASE
0320IbnMuhammadBayhaqi.Mahasin.Shamela0000564-ara1,0.62815,RELEASE
0320IbnMuhammadBayhaqi.Mahasin.JK009291-ara1,0.62803,RELEASE
0255Jahiz.BayanWaTabyin.Shamela0010614-ara1,0.62783,RELEASE
002790Vols.automARkdown,0.62781,RAW_Masaha
0255Jahiz.MahasinWaAddad.ShamAY0033780-ara1,0.62748,RELEASE
5448.json,0.6271,RAWrabicaShamAY1
1022.json,0.62704,RAWrabicaShamAY1
0255Jahiz.Hayawan.Shamela0023775-ara1,0.62704,RELEASE
0425RaqiqQayruwani.QutbSurur.JK010672-ara1,0.62698,RELEASE
0425RaqiqQayruwani.QutbSurur.Shamela0000672-ara1,0.62695,RELEASE
7902.json,0.62682,RAW_ABLibrary
002494Vols.automARkdown,0.6263,RAW_Masaha
003365Vols.automARkdown,0.62614,RAW_Masaha
1450Milani.SharhMinhajKaramaLiHilli.Shia004014Vols-ara1,0.626,RELEASE
3897.html,0.62594,RAWrabicaRafed
Sham30K0008190,0.62583,RAWrabica010000
Shamela035888.txt,0.62572,raw_ShamelaY19
10512.bok.json,0.62566,RAWrabicaSham19Y
12541.json,0.62555,RAWrabicaShamAY2
Sham30K0002659,0.62542,RAWrabica005000
809.json,0.62538,RAW_ABLibrary
23802.json,0.62536,RAWrabicaShamAY2
7867.json,0.62484,RAWrabicaShamAY1
473.json,0.62455,RAWrabicaShamAY1
Shamela023802.txt,0.62451,raw_ShamelaY19
23775.json,0.62445,RAWrabicaShamAY2
0672.bok.json,0.62432,RAWrabicaSham19Y
