unknown,TFIDF_cosine,libVar
0311IbnSariZajjaj.TafsirAsmaAllah.Shamela0006468-ara1,0.99721,RELEASE
6468.json,0.99692,RAWrabicaShamAY1
6468.bok.json,0.99384,RAWrabicaSham19Y
3485.html,0.76152,RAWrabicaRafed
8454.json,0.7575,RAW_ABLibrary
Shamela020854.txt,0.73791,raw_ShamelaY19
0733IbnJamacaBadrDinHamawi.IdahDalil.Shamela0006547-ara1,0.73749,RELEASE
20854.json,0.73567,RAWrabicaShamAY2
6547.json,0.73417,RAWrabicaShamAY1
9610.json,0.73311,RAWrabicaShamAY1
0330IbnCuzayrSijistani.Ishtiqaq.ShamAY0036737-ara1,0.72728,RELEASE
8913.json,0.72605,RAW_ABLibrary
0330IbnCuzayrSijistani.Ishtiqaq.ShamAY0036737-ara1,0.72549,RELEASE
8352.json,0.72253,RAWrabicaShamAY1
8411.json,0.72229,RAW_ABLibrary
Shamela023080.txt,0.72158,raw_ShamelaY19
1657.json,0.72138,RAWrabicaShamAY1
913.json,0.72123,RAWrabicaShamAY1
Shamela031076.txt,0.71955,raw_ShamelaY19
3914.html,0.7194,RAWrabicaRafed
1188ShamsDinSaffarini.LawamicAnwar.Shamela0008353-ara1,0.71871,RELEASE
8353.json,0.71851,RAWrabicaShamAY1
Sham30K0008352,0.71803,RAWrabica010000
8353.bok.json,0.7178,RAWrabicaSham19Y
12059.json,0.7172,RAWrabicaShamAY2
Shamela022922.txt,0.71717,raw_ShamelaY19
3178.html,0.7167,RAWrabicaRafed
3451.html,0.71582,RAWrabicaRafed
1033MarciKarmi.AqawilThiqat.Shamela0006454-ara1,0.71479,RELEASE
22922.json,0.71463,RAWrabicaShamAY2
6454.json,0.71454,RAWrabicaShamAY1
8481.json,0.7141,RAW_ABLibrary
8488.json,0.71405,RAWrabicaShamAY1
9108.json,0.7138,RAWrabicaShamAY1
Sham30K0008353,0.71336,RAWrabica010000
8783.json,0.71324,RAW_ABLibrary
0388AbuSulaymanKhattabi.ShanDuca.Shamela0095700-ara1,0.71313,RELEASE
8804.json,0.71312,RAW_ABLibrary
0800IbnCadilHanbali.LubabFiCulumKitab.JK009266-ara1,0.71298,RELEASE
33107.json,0.71255,RAWrabicaShamAY2
16235.automARkdown,0.71251,RAW_Ghbook
Shamela023088.txt,0.7118,raw_ShamelaY19
0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,0.71101,RELEASE
35615.json,0.71081,RAWrabicaShamAY3
3960.html,0.7108,RAWrabicaRafed
Shamela022835.txt,0.71073,raw_ShamelaY19
3437.html,0.71046,RAWrabicaRafed
14.json,0.71024,RAWrabicaShamAY1
3293.html,0.71016,RAWrabicaRafed
0388AbuSulaymanKhattabi.ShanDuca.Shamela0095700-ara1,0.71002,RELEASE
0541IbnCatiyyaAndalusi.MuharrarWajiz.JK001447-ara1,0.71,RELEASE
0429AbuMansurThacalibi.Jawahir.ShamAY0034066-ara1,0.70989,RELEASE
8836.json,0.70971,RAW_ABLibrary
1228IbnSulaymanHalabiRihawi.NukhbatLaali.Shia004047-ara1,0.70965,RELEASE
1342MahmudShukriAlusi.RawhMacani.ShamAY0034055-ara1,0.70961,RELEASE
0541IbnCatiyyaAndalusi.MuharrarWajiz.Shia002565Vols-ara1,0.70948,RELEASE
3496.html,0.70937,RAWrabicaRafed
1147IbnSharafDinKhalili.FatawaKhalili.Shamela0008648-ara1,0.70932,RELEASE
1742.json,0.70904,RAWrabicaShamAY1
8597.json,0.70877,RAW_ABLibrary
Shamela096252.txt,0.70864,raw_ShamelaY19
1317KhayrDinAlusi.FathAllahHamid.Sham19Y0011326-ara1,0.70847,RELEASE
1126.json,0.70835,RAWrabicaShamAY1
8412.json,0.70781,RAW_ABLibrary
0456IbnHazm.IhkamFiUsulAhkam.JK000122-ara1,0.70728,RELEASE
0502RaghibIsbahani.DharicaFiMakarimSharica.Shamela0001390-ara1,0.70715,RELEASE
33116.json,0.70704,RAWrabicaShamAY2
439.json,0.70701,RAWrabicaShamAY1
11326.json,0.70688,RAWrabicaShamAY2
3448.html,0.70684,RAWrabicaRafed
1390.json,0.70675,RAWrabicaShamAY1
1307Qannawji.FathBayan.Shamela0037458-ara1,0.70673,RELEASE
1327AhmadIbrahimCisa.TawdihMaqasid.JK000098-ara1,0.70661,RELEASE
000150Vols.automARkdown,0.70644,RAW_Masaha
0541IbnCatiyyaAndalusi.MuharrarWajiz.Shamela0023632-ara1,0.70637,RELEASE
Shamela037458.txt,0.70617,raw_ShamelaY19
0502RaghibIsbahani.Tafsir.Shamela0009231-ara1,0.70617,RELEASE
37071.bok.json,0.70602,RAWrabicaSham19Y
0456IbnHazm.IhkamFiUsulAhkam.Shia002905Vols-ara1,0.70592,RELEASE
67.html,0.70583,RAWrabicaRafed
660.json,0.70579,RAWrabicaShamAY1
8686.json,0.70578,RAW_ABLibrary
0548IbnHasanTabarsi.TafsirMajmacBayan.Shia002359Vols-ara1,0.70572,RELEASE
6362.json,0.7056,RAWrabicaShamAY1
1031CabdRaufMunawi.Ittihafat.Shamela0007266-ara1,0.70557,RELEASE
1480.json,0.70554,RAWrabicaShamAY1
7707.json,0.7052,RAWrabicaShamAY1
0541IbnCatiyyaAndalusi.MuharrarWajiz.Shamela0023632-ara1,0.70517,RELEASE
0502RaghibIsbahani.DharicaFiMakarimSharica.Shamela0001390-ara1,0.70516,RELEASE
6362.bok.json,0.70507,RAWrabicaSham19Y
11688.json,0.705,RAWrabicaShamAY2
8837.json,0.70499,RAW_ABLibrary
1581.html,0.70495,RAWrabicaRafed
