unknown,TFIDF_cosine,libVar
21618.bok.json,0.99942,RAWrabicaSham19Y
21618.json,0.99941,RAWrabicaShamAY2
0316IbnIshaqIsfaraini.Mustrakhraj.Shamela0021618-ara1,0.99939,RELEASE
Shamela021618.txt,0.9992,raw_ShamelaY19
0517AbuNucaymHaddadIsbahani.JamicSahihayn.ShamAY0034005-ara1,0.95783,RELEASE
34005.json,0.95743,RAWrabicaShamAY2
0330IbnIsmacilMahamili.Amali.Shamela0013081-ara1,0.94225,RELEASE
13081.bok.json,0.94151,RAWrabicaSham19Y
31636.json,0.94096,RAWrabicaShamAY2
0330IbnIsmacilMahamili.Amali.JK000706-ara1,0.9409,RELEASE
0321AbuJacfarTahawi.SharhMacaniAthar.Shamela0021108-ara1,0.93725,RELEASE
Shamela021108.txt,0.93707,raw_ShamelaY19
21108.json,0.93621,RAWrabicaShamAY2
0246AbuCaliIbnShadhdhan.Hadith.Shamela0029707-ara1,0.93565,RELEASE
Shamela029707.txt,0.93551,raw_ShamelaY19
29707.json,0.93451,RAWrabicaShamAY2
0354IbnCabdAllahBazzaz.Hadith.ShamAY0032840-ara1,0.93247,RELEASE
32840.json,0.93246,RAWrabicaShamAY2
0321AbuJacfarTahawi.SharhMacaniAthar.JK000469-ara1,0.93151,RELEASE
0487AbuQasimMasisi.HadithSabuni.ShamAY0032870-ara1,0.92815,RELEASE
32870.json,0.92799,RAWrabicaShamAY2
13011.json,0.92585,RAWrabicaShamAY2
0330IbnIsmacilMahamili.Amali.Shia002009-ara1,0.92568,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.JK009153-ara1,0.92547,RELEASE
0354IbnCabdAllahBazzaz.Fawaid.Shamela0000772-ara1,0.92515,RELEASE
0292Bahshal.TarikhWasit.Shamela0011766-ara1,0.92514,RELEASE
31639.json,0.92358,RAWrabicaShamAY2
003960.automARkdown,0.9213,RAW_Masaha
0307AbuYaclaMawsili.Mucjam.JK000691-ara1,0.92035,RELEASE
9012.json,0.91814,RAW_ABLibrary
0581IbnKharratIshbili.AhkamSharciyya.Shamela0004289-ara1,0.91805,RELEASE
11766.json,0.91796,RAWrabicaShamAY2
Sham30K0008243,0.91776,RAWrabica010000
4289.json,0.91761,RAWrabicaShamAY1
5803.json,0.91755,RAWrabicaShamAY1
8243.json,0.91731,RAWrabicaShamAY1
0578IbnBashkuwal.GhawamidAsma.Shamela0005803-ara1,0.91726,RELEASE
0578IbnBashkuwal.GhawamidAsma.JK000726-ara1,0.9172,RELEASE
2350.html,0.91662,RAWrabicaRafed
0327AbuBakrKharaiti.MasawiAkhlaq.Shamela0008243-ara1,0.91624,RELEASE
0292Bahshal.TarikhWasit.JK000661-ara1,0.91613,RELEASE
5930.json,0.91598,RAWrabicaShamAY1
0287IbnAbiCasim.Sunna.Shamela0005930-ara1,0.91524,RELEASE
0327AbuBakrKharaiti.MakarimAkhlaq.ShamAY0033948-ara1,0.91485,RELEASE
33948.json,0.91417,RAWrabicaShamAY2
0311IbnKhuzaymaNaysaburi.Tawhid.Shamela0013011-ara1,0.91356,RELEASE
0287IbnAbiCasim.Sunna.JK000630-ara1,0.913,RELEASE
10637.json,0.91211,RAWrabicaShamAY1
0430AbuNucaymIsbahani.DalailNubuwwa.Shamela0010637-ara1,0.91197,RELEASE
5732.json,0.91183,RAWrabicaShamAY1
0581IbnKharratIshbili.AhkamSharciyya.JK009141-ara1,0.91107,RELEASE
0379IbnMuzaffarBazzaz.HadithShucba.JK007105-ara1,0.91091,RELEASE
0379IbnMuzaffarBazzaz.HadithShucba.Shamela0005732-ara1,0.91087,RELEASE
0272Fakihi.AkhbarMakka.Shamela0022579-ara1,0.91044,RELEASE
0290IbnAhmadIbnHanbal.FadailCuthman.Shamela0009322-ara1,0.90941,RELEASE
0272Fakihi.AkhbarMakka.JK000934-ara1,0.90926,RELEASE
9322.json,0.90911,RAWrabicaShamAY1
0238MuhammadBarjlani.KaramWaJawd.JK000047-ara1,0.90892,RELEASE
