unknown,TFIDF_cosine,libVar
27106.json,0.9997,RAWrabicaShamAY2
Shamela027106.txt,0.99776,raw_ShamelaY19
5791.json,0.77351,RAWrabicaShamAY1
0379IbnZabrRabci.TarikhMulidCulama.JK000651-ara1,0.76042,RELEASE
0379IbnZabrRabci.TarikhMulidCulama.Shamela0005791-ara1,0.76011,RELEASE
0379IbnZabrRabci.TarikhMulidCulama.JK000651-ara1,0.75822,RELEASE
0498AbuCaliJayyani.TasmiyatShuyukhAbiDawud.ShamAY0034581-ara1,0.72507,RELEASE
0498AbuCaliJayyani.TasmiyatShuyukhAbiDawud.ShamAY0034581-ara1,0.723,RELEASE
34581.json,0.72163,RAWrabicaShamAY3
0354IbnHibbanBusti.MashahirCulamaAmsar.Shia003104-ara1,0.6568,RELEASE
0354IbnHibbanBusti.MashahirCulamaAmsar.ShamAY0034623-ara1,0.65588,RELEASE
0354IbnHibbanBusti.MashahirCulamaAmsar.Shamela0000896-ara1,0.65565,RELEASE
0354IbnHibbanBusti.MashahirCulamaAmsar.JK000515-ara1,0.65553,RELEASE
0354IbnHibbanBusti.MashahirCulamaAmsar.JK000515-ara1,0.65363,RELEASE
896.json,0.65325,RAWrabicaShamAY1
5823.json,0.65109,RAWrabicaShamAY1
0911Suyuti.TabaqatHuffaz.JK000753-ara1,0.6493,RELEASE
38187.json,0.64735,RAWrabicaShamAY3
0395IbnMandahMuhammad.Asami.Shamela0026889-ara1,0.64715,RELEASE
34623.json,0.64671,RAWrabicaShamAY3
Shamela026889.txt,0.64585,raw_ShamelaY19
0395IbnMandahMuhammad.Asami.Shamela0026889-ara1,0.64528,RELEASE
26889.json,0.64149,RAWrabicaShamAY2
0398AbuNasrKalabadhi.HidayaWaIrshad.Shamela0010902-ara1,0.63911,RELEASE
0398AbuNasrKalabadhi.HidayaWaIrshad.Shamela0010902-ara1,0.6371,RELEASE
10902.json,0.63592,RAWrabicaShamAY2
Shamela020870.txt,0.63195,raw_ShamelaY19
0398AbuNasrKalabadhi.HidayaWaIrshad.JK000689-ara1,0.62939,RELEASE
Shia003104,0.62427,RAWrabica045000
34571.json,0.62105,RAWrabicaShamAY3
0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,0.61838,RELEASE
6234.bok.json,0.61691,RAWrabicaSham19Y
6234.json,0.61685,RAWrabicaShamAY1
0277IbnSufyanFasawi.MacrifaWaTarikh.Shamela0012403-ara1,0.61609,RELEASE
0514HibatAllahSajzi.MuntakhabMinSabciyyat.ShamAY0032843-ara1,0.60642,RELEASE
32843.json,0.60471,RAWrabicaShamAY2
0514HibatAllahSajzi.MuntakhabMinSabciyyat.ShamAY0032843-ara1,0.60405,RELEASE
0852IbnHajarCasqalani.DurarKamina.Shamela0006674-ara1,0.60234,RELEASE
6674.bok.json,0.60204,RAWrabicaSham19Y
7640.json,0.60193,RAWrabicaShamAY1
0911Suyuti.TabaqatMufassirin.Shamela0006234-ara1,0.60138,RELEASE
6674.json,0.60022,RAWrabicaShamAY1
8677.json,0.59951,RAWrabicaShamAY1
004774Vols.automARkdown,0.59895,RAW_Masaha
0463KhatibBaghdadi.SabiqWaLahiq.Shamela0007640-ara1,0.59753,RELEASE
0347IbnYunusSadafi.Tarikh.Shamela0011686-ara1,0.59726,RELEASE
0463KhatibBaghdadi.SabiqWaLahiq.Shamela0007640-ara1,0.59531,RELEASE
0879IbnQutlubugha.TajTarajim.Shamela0010925-ara1,0.59509,RELEASE
1127.json,0.59499,RAWrabicaShamAY1
0347IbnYunusSadafi.Tarikh.Shamela0011686-ara1,0.59451,RELEASE
11686.json,0.59449,RAWrabicaShamAY2
38015.json,0.59362,RAWrabicaShamAY3
11036.bok.json,0.59337,RAWrabicaSham19Y
0476AbuIshaqShirazi.TabaqatFuqaha.Shamela0001031-ara1,0.59154,RELEASE
0476AbuIshaqShirazi.TabaqatFuqaha.Shamela0001031-ara1,0.5906,RELEASE
1031.json,0.5906,RAWrabicaShamAY1
11036.json,0.59057,RAWrabicaShamAY2
38027.json,0.58891,RAWrabicaShamAY3
0879IbnQutlubugha.Thiqat.Shamela0096165-ara1,0.58704,RELEASE
Sham30K0033963,0.58668,RAWrabica020000
0832AbuTayyibFasi.DhaylTaqyid.Shamela0008884-ara1,0.58648,RELEASE
12403.json,0.58602,RAWrabicaShamAY2
0748Dhahabi.AsmaManCashThamaninSana.ShamAY0034571-ara1,0.58566,RELEASE
0806IbnHusaynZaynDinCiraqi.TarhTarthib.Shamela0011036-ara1,0.58456,RELEASE
0775IbnAbiWafa.JawahirMudiya.JK000806-ara1,0.58405,RELEASE
0817MajdDinFiruzabadi.BulghaFiTarajim.Shamela0009984-ara1,0.58334,RELEASE
951.json,0.58285,RAW_ABLibrary
0911Suyuti.RafcBas.ShamAY0035870-ara1,0.58276,RELEASE
